slug,category,lap_rate,cones,speed_kmh,delta_lap_pp,delta_cones
abl_sac_te_default,Baseline,60,3.2,67,0,0
abl_sac_no_alignment,Recompensa,68,2.7,71,+8,-0.5
abl_sac_no_persistent_knockdown,Recompensa,66,3.1,73,+6,-0.1
abl_sac_no_dr,Domain Rand.,68,4.5,77,+8,+1.3
abl_sac_no_sensor_noise,Sensor,76,4.9,76,+16,+1.7
abl_sac_fov_90,Sensor,84,9.2,71,+24,+6.0
abl_sac_fov_360,Sensor,84,17.4,79,+24,+14.2
abl_sac_range_8,Sensor,98,16.3,52,+38,+13.1
abl_sac_speed_60,Dinamica,52,3.5,73,-8,+0.3
abl_sac_legacy_obs,Observacao,64,3.1,77,+4,-0.1
abl_sac_lr_low,Hiperparams,68,4.9,68,+8,+1.7
abl_sac_buffer_1M,Hiperparams,68,3.2,73,+8,+0.0
abl_sac_batch_512,Hiperparams,74,3.2,71,+14,-0.0
abl_sac_te_intermediate,Hiperparams,60,2.8,72,+0,-0.4
abl_sac_te_aggressive,Hiperparams,72,3.0,76,+12,-0.2
