label,algo,dropout,n_seeds,lap_rate,cones,speed
SAC,sac,0.05,3,59.333333333333336,2.2866666666666666,75.082383054692
SAC,sac,0.2,3,58.0,3.82,74.99191529969669
SAC,sac,0.4,3,32.0,9.373333333333333,68.20984534449879
SAC,sac,0.6,3,4.0,10.14,50.760667878122035
SAC,sac,0.8,3,0.6666666666666666,4.08,18.050741870983646
PPO,ppo,0.05,3,68.0,5.3,79.57763559265254
PPO,ppo,0.2,3,52.666666666666664,8.42,76.4898477170875
PPO,ppo,0.4,3,13.333333333333334,11.440000000000003,63.647263590317316
PPO,ppo,0.6,3,0.6666666666666666,10.88,44.75733782137189
PPO,ppo,0.8,3,0.6666666666666666,4.713333333333334,18.45463411922648
SAC+Mirror,sac,0.05,1,78.0,2.8600000000000003,66.63169490374945
SAC+Mirror,sac,0.2,1,68.0,3.1599999999999997,65.69714837149907
SAC+Mirror,sac,0.4,1,54.0,6.040000000000001,57.92871270401854
SAC+Mirror,sac,0.6,1,10.0,12.02,37.081721407932505
SAC+Mirror,sac,0.8,1,0.0,3.7399999999999998,0.4932910075625901
