label,algo,dropout,n_seeds,lap_rate,cones,speed
SAC,sac,0.0,3,56.666666666666664,2.12,74.35569586385488
SAC,sac,0.05,3,59.333333333333336,2.2333333333333334,75.5477597201192
SAC,sac,0.1,3,62.666666666666664,2.66,74.75444299770795
SAC,sac,0.15,3,64.0,3.2533333333333334,75.41653312420617
PPO,ppo,0.0,3,68.0,4.666666666666667,79.03216041652449
PPO,ppo,0.05,3,68.0,5.053333333333334,78.77660841408232
PPO,ppo,0.1,3,62.0,5.693333333333334,78.034009764517
PPO,ppo,0.15,3,61.333333333333336,6.913333333333333,78.08656880880858
SAC+Mirror,sac,0.0,1,80.0,3.06,67.43054038202256
SAC+Mirror,sac,0.05,1,74.0,2.9,66.26824747978569
SAC+Mirror,sac,0.1,1,80.0,2.84,67.38928985928742
SAC+Mirror,sac,0.15,1,68.0,3.1799999999999997,65.13702101303775
