label,algo,dropout,n_seeds,lap_rate,cones,speed
SAC,sac,0.0,3,62.666666666666664,2.473333333333333,75.39908160893778
SAC,sac,0.05,3,36.666666666666664,5.073333333333333,65.79454680933911
SAC,sac,0.1,3,17.333333333333332,3.9533333333333336,55.92457177283834
SAC,sac,0.2,3,6.0,2.2466666666666666,39.285517920181825
SAC,sac,0.4,3,1.3333333333333333,1.1066666666666667,20.879861415857395
PPO,ppo,0.0,3,66.0,5.333333333333333,79.85519718709712
PPO,ppo,0.05,3,26.666666666666668,7.6000000000000005,65.9623033667828
PPO,ppo,0.1,3,10.0,5.026666666666666,51.686647872460206
PPO,ppo,0.2,3,4.666666666666667,2.626666666666667,26.546519111016313
PPO,ppo,0.4,3,2.0,1.3,11.974356506642344
SAC+Mirror,sac,0.0,1,86.0,3.22,67.7601319152821
SAC+Mirror,sac,0.05,1,42.0,3.5799999999999996,57.94027217584612
SAC+Mirror,sac,0.1,1,30.0,2.08,46.91165141418174
SAC+Mirror,sac,0.2,1,12.0,2.08,32.32332293971798
SAC+Mirror,sac,0.4,1,2.0,0.9,20.298031731643324
