#{"t_start": 1778013075.4379435, "env_id": "None"}
r,l,t
-6.43716,318,3.904516
-18.635274,469,8.136893
-4.694416,149,9.448991
-8.559974,241,11.577296
1.650341,102,12.53606
7.227562,232,14.704157
-16.037014,1,14.737485
2.77152,146,16.026881
-10.41255,254,18.231934
-14.714084,206,20.035123
-15.328323,294,22.454282
-0.430458,28,22.705479
-5.664468,338,28.930644
-2.079669,49,29.375849
-18.61128,470,33.304837
-28.856317,574,38.350651
-7.518946,69,38.953609
-2.506518,69,39.515002
-12.774519,183,41.035893
-9.661442,176,42.494842
-47.020195,579,47.311969
-42.80684,600,55.495632
-60.668066,600,60.446163
-45.778248,600,65.526491
-29.340084,381,68.84617
-21.337871,300,71.475965
-62.592195,709,80.399551
-99.219959,1257,90.472528
-47.39949,600,95.522903
-24.590095,300,101.946664
-8.062684,1,101.979794
-48.607726,600,106.738146
-84.779334,900,114.253894
-24.420146,373,117.175118
-40.221432,600,128.029169
-30.390336,381,131.018077
-24.268355,399,134.267854
-10.975701,301,136.698785
-44.692772,600,141.551826
-27.345841,419,144.899095
-6.050055,48,145.311534
3.415925,386,152.892172
-7.381682,141,154.103859
-8.225699,167,155.494123
-22.025613,496,159.391803
-7.875794,164,160.931835
-29.7527,742,166.888726
-44.198013,600,175.725636
-6.716926,45,176.122679
-11.258164,100,177.070816
10.746608,186,178.599988
-5.377357,31,178.869957
-5.76991,30,179.162181
6.995256,171,180.588832
-6.895313,63,181.156293
0.36835,38,181.532808
-8.555166,53,182.095815
-3.308325,21,182.27573
2.043024,94,183.148469
-24.554517,456,187.040523
-5.280913,103,187.881827
-5.23859,130,188.953325
-7.532316,93,189.766513
-49.829631,600,194.731987
-32.725149,900,205.434751
31.4542,188,207.126955
-37.290397,600,212.637114
-39.705994,600,217.755295
-6.166544,380,220.877018
-26.974111,490,232.62212
-12.209222,1200,243.060397
-9.695268,600,248.110182
31.797214,333,261.189596
114.363114,1500,275.027882
51.162962,287,277.537376
70.168775,356,280.770745
135.184335,1500,299.10485
65.864194,409,302.629567
84.533207,333,305.497396
18.374162,123,306.52898
33.850467,337,309.506725
11.62779,89,315.93273
3.234837,58,316.454157
25.744831,182,317.974196
28.279882,146,319.232948
42.091781,185,320.772244
46.358985,171,322.257017
89.645767,400,325.71729
46.89545,141,326.930494
19.739708,123,328.127558
46.539369,130,329.235762
51.430237,200,331.217808
42.696869,197,333.023579
40.047786,163,334.473943
47.656664,134,335.65509
64.732776,216,337.501061
39.140699,255,343.082406
89.38253,322,346.065918
93.337001,391,349.474479
-30.816083,600,354.4972
73.231179,216,356.436998
28.047024,134,357.762484
86.068196,340,360.738145
88.494492,512,367.475987
40.094596,120,368.584039
75.29544,191,370.172501
93.891879,450,373.969807
97.471681,508,378.319328
3.039148,53,378.78847
13.53503,62,379.300441
21.707619,93,380.065234
41.557129,102,380.946608
13.996141,900,390.55487
80.412861,241,392.672585
-96.626031,134,393.842114
44.517835,115,394.818891
48.271153,170,396.288707
40.974334,105,397.16162
93.408354,536,401.807705
66.642846,159,403.19058
60.30545,207,405.031385
35.628507,600,412.954729
54.122278,238,414.997776
70.629152,175,416.555871
42.554031,106,417.525777
33.267848,100,418.341048
-8.059624,1,418.371974
44.153781,145,419.580483
64.718886,138,420.742347
13.395694,53,421.218705
45.367994,93,421.988177
191.216627,274,424.206554
63.349618,105,425.005222
42.777472,100,425.837421
43.437,90,426.682955
48.884981,147,427.947761
43.195068,156,429.279202
45.232403,131,430.447079
46.01324,100,431.305308
13.116524,68,431.895143
65.381045,132,433.111509
70.305923,142,437.111515
42.475438,101,437.961199
68.733307,132,439.127607
38.997186,125,440.200794
61.639871,133,441.400868
44.865718,132,442.596058
47.155886,78,443.29477
63.325489,110,444.232001
41.282691,109,445.128373
20.191094,89,445.943152
43.926261,99,446.847
76.334692,152,448.108591
42.693111,92,448.897278
94.511784,170,450.339134
