#{"t_start": 1778007879.4223936, "env_id": "None"}
r,l,t
-30.242142,600,23.058036
-34.169314,600,23.734228
-18.155347,300,24.11935
-16.34764,300,24.480103
-71.333052,600,25.267226
-45.662426,600,26.028838
6.222959,72,26.150059
-26.711359,300,26.518938
5.224337,57,26.618856
-17.841081,600,27.342623
-28.803291,300,49.793012
-44.092174,600,50.398953
-46.91323,600,51.097331
-45.019256,600,51.786393
-18.42736,300,52.114781
-23.817568,300,52.455796
-45.210785,600,53.142788
-15.796746,300,53.482991
-72.046218,600,54.1635
-22.596469,300,54.491391
-17.986426,300,77.821168
-27.652577,300,78.116406
-18.218269,300,78.417552
-17.637422,300,78.713108
-26.381125,300,79.054017
-27.965351,300,79.36283
-19.804229,300,79.67579
-20.709584,300,79.992295
-20.304343,300,80.317418
-16.34985,300,80.621529
-18.058552,300,102.046493
-24.456871,300,102.38023
-17.440595,300,102.795733
-20.204829,300,103.200822
-28.021445,300,103.577887
-23.925442,300,104.001724
-18.419207,300,104.361138
-21.636781,300,104.713553
-18.795564,300,105.059229
-18.710325,300,105.389138
-38.571373,600,127.807
-40.296463,600,128.46352
-38.748517,600,129.121425
-18.180079,300,129.509438
-35.726601,600,130.237358
-23.38876,300,130.620739
-14.166292,300,131.008203
-8.012852,1,131.03023
-44.946936,600,131.751399
-17.20408,300,132.119549
27.641488,825,153.810481
-24.04694,300,154.11458
-45.345856,600,154.679599
28.382305,839,155.494265
-26.459018,300,155.825177
-43.094353,600,156.399759
-28.847147,300,156.731777
-27.229966,300,157.073789
-42.388802,600,157.761661
-16.761399,300,158.128826
15.560239,925,182.507371
-37.513558,600,183.081761
-26.681715,300,183.378984
-52.882901,600,183.950624
-32.700817,600,184.512334
-32.183954,600,185.125479
18.447536,446,185.555878
-6.923207,600,186.173614
-5.506603,600,186.782965
-5.435764,600,187.410606
-7.751863,1500,211.452767
19.870696,134,211.599825
41.876644,174,211.786503
-5.889984,591,212.347107
-32.198783,1071,213.367173
65.951626,427,213.799739
20.30674,260,214.118391
40.800249,179,214.317194
-166.708723,511,214.835896
73.668052,294,215.143822
12.530208,89,238.710795
40.551601,166,238.906284
17.265743,900,239.827758
13.242359,96,239.952762
61.364421,290,240.28197
-8.740262,1500,242.041417
0.352639,181,242.247255
42.922674,396,242.663261
21.500524,302,242.981299
-34.541351,1500,244.466184
-16.056274,1,267.508838
-0.113346,29,267.555974
64.074981,328,267.926596
42.388142,156,268.112362
32.632911,293,268.458082
-12.407682,332,268.882611
-32.36799,648,269.623317
43.186667,147,269.809682
22.094162,451,270.355625
-26.799878,698,271.133824
39.217277,177,294.656458
36.082556,146,294.812315
31.984631,107,294.945823
22.026383,314,295.275769
10.643737,267,295.538002
22.4354,73,295.632559
-6.610828,1500,297.343029
-43.181578,600,298.02333
26.27394,112,298.189653
-16.066664,1,298.216074
10.858084,900,321.913328
-18.243415,1200,323.15981
5.408595,33,323.212188
82.875458,333,323.567958
20.344254,111,323.698364
-9.707504,704,324.431957
80.046985,401,324.853059
10.792142,285,325.150801
19.902577,558,325.709339
77.658194,442,326.171905
-5.368341,600,349.657694
42.054933,600,350.455991
-0.672883,600,351.174735
0.670005,600,351.785103
-10.100473,600,352.474306
174.317307,1500,354.072633
-0.168816,600,354.68666
31.846737,600,355.314365
-26.135926,600,355.914434
-2.271404,600,356.525663
28.835003,900,379.632356
50.736066,600,380.367243
-26.223851,600,381.062093
13.919691,43,381.127468
2.196972,600,381.726697
9.119494,900,382.667969
50.772109,600,383.277474
-4.960055,600,383.891342
3.268743,600,384.500662
4.098972,600,385.100324
41.153059,600,408.285582
21.127686,96,408.413851
-2.596949,600,409.121069
14.674029,61,409.221647
13.703384,600,409.956253
41.416719,600,410.696522
37.819881,361,411.152292
-2.995424,600,411.864267
15.055763,59,411.940745
54.171171,600,412.546257
-4.685821,600,433.137405
42.739974,600,433.816339
182.319473,1408,435.581837
44.056339,103,435.694639
60.474069,256,435.971642
107.919772,516,436.539082
86.964885,376,436.972445
14.71211,60,437.046697
21.41386,506,437.518592
44.879917,222,437.780062
178.12741,1200,462.024226
14.853093,49,462.094012
216.453547,900,463.093693
37.719719,600,463.712905
78.181011,247,463.993703
178.553324,1200,465.478694
4.524105,30,465.534361
33.480903,336,465.954598
20.128343,600,466.648573
78.002249,247,466.98296
249.128644,447,489.287207
60.538746,178,489.456301
298.408276,707,490.144562
100.170476,325,490.495392
44.432727,88,490.594377
100.503863,315,490.93289
109.546873,358,491.300608
99.476908,331,491.628153
128.364413,900,492.480927
100.234485,314,492.789057
86.33873,224,516.613354
78.611978,193,516.833994
677.283492,1500,518.491488
78.940934,199,518.701246
73.871487,186,518.889196
59.81992,127,519.040498
-8.063272,1,519.063176
237.835897,378,519.461552
58.556313,120,519.59893
72.296939,190,519.799132
235.292752,404,543.325899
131.319671,349,543.706646
131.273432,343,544.103291
14.737442,60,544.183326
32.714881,112,544.323533
55.263784,133,544.480665
34.683454,102,544.617016
59.271392,134,544.791355
15.076132,62,544.876582
72.623323,168,545.100395
-16.024961,1,568.993861
61.575137,126,569.127126
46.007126,100,569.23716
14.330281,74,569.323387
79.017358,187,569.512043
304.105485,719,570.244669
303.647342,740,571.036944
610.869512,1500,572.661469
99.657472,232,572.932339
99.148926,239,573.199168
-5.997218,15,596.100988
606.730075,1404,597.838824
80.033858,164,598.015826
125.531514,267,598.312768
33.886002,110,598.443735
370.468267,771,599.307827
269.94305,534,599.860347
103.639808,226,600.108292
371.118398,767,600.973139
222.216261,389,601.382287
46.543419,84,625.331781
46.694408,98,625.465915
68.703618,126,625.636008
46.384137,87,625.771706
