#{"t_start": 1778063515.716814, "env_id": "None"}
r,l,t
2.880125,278,3.319855
-1.192525,28,3.542033
-5.018036,94,4.25403
-11.212811,265,6.224124
2.270481,95,6.936722
-18.745231,826,13.162771
-13.918244,284,15.385572
-1.937698,184,16.80015
-2.221083,146,17.898429
-4.307638,13,18.031185
0.584433,180,19.390046
-5.129041,27,19.636168
-37.54117,1036,29.799955
-3.164635,352,32.611535
-40.570838,497,36.394754
-8.208846,56,36.831192
-75.104334,1200,49.843774
-11.191699,339,52.299161
-63.7301,900,58.976569
-21.972029,300,61.192187
-27.464633,300,63.512446
-21.577027,300,69.068512
-37.388749,600,73.506071
-86.655021,900,80.131531
-80.766042,900,90.219628
-23.522461,300,92.500952
-41.834284,578,96.697268
-68.404992,900,103.329752
-60.325515,900,114.144361
-43.136368,600,118.61212
3.465382,283,120.765424
-29.018319,784,126.541838
7.863682,1325,140.850391
-30.810225,1500,151.943049
-3.153424,600,158.963773
-8.56247,213,160.527303
-17.658294,468,164.158659
3.643713,53,164.560479
-4.35277,40,164.892087
17.616173,187,166.307887
13.477278,59,166.769501
-46.640934,600,171.410668
5.355201,44,171.806386
4.950814,336,174.694929
17.105262,174,177.67698
-1.150745,35,178.000719
4.860854,44,178.36569
23.471768,580,182.820682
21.871147,437,186.449447
30.652054,358,189.134137
13.734038,88,189.789146
12.720956,85,190.41606
-44.833769,600,194.887635
-70.859039,1200,209.708628
0.381882,70,210.2455
-39.287587,600,214.70021
-37.068678,600,219.355338
-0.568307,329,228.647698
36.662397,711,233.958001
-54.174861,600,238.398195
13.349057,253,240.304587
-23.685012,329,242.800481
15.027403,161,244.04253
27.838813,120,244.977445
15.253444,147,246.07991
-6.409686,490,255.267362
1.732472,97,255.99532
-48.334506,450,259.493151
9.195065,311,261.828805
-18.771831,314,264.168826
41.007873,246,266.016974
13.903479,267,268.017745
-6.813627,600,278.202579
3.352288,31,278.45285
20.467973,127,279.493485
42.501312,268,281.507671
-5.16074,15,281.6405
-48.027451,900,288.409244
-16.090532,600,292.839292
11.022851,245,294.745912
-42.653106,600,301.933533
55.439314,256,303.83509
32.890431,173,305.120055
23.107529,75,305.709797
3.959204,30,305.949995
-42.300147,600,310.386269
-59.654228,600,315.082496
19.684472,65,315.626217
37.965204,233,317.42599
18.69519,91,320.112785
18.984615,63,320.624734
93.314898,301,322.951885
19.141192,83,323.60537
22.908947,73,324.164295
-7.282468,600,328.638762
9.450366,44,328.997441
-8.30649,436,332.501315
40.328685,146,333.691915
-8.040081,1,333.725016
21.01333,47,334.108427
20.454447,58,334.564673
36.034642,105,335.413842
35.796684,114,336.331518
17.389066,177,337.712089
24.351931,74,338.34122
39.517635,191,342.627852
-41.291238,600,347.15106
