#{"t_start": 1777998169.8385582, "env_id": "None"}
r,l,t
-5.424726,157,2.937531
-18.483985,788,10.122906
5.171175,341,13.694698
5.950569,211,15.789195
15.821218,316,18.420497
-20.693591,690,26.517262
-1.029019,138,27.593015
-5.480579,524,31.766289
-13.433993,844,38.327041
-18.538195,347,40.985516
-1.177933,43,41.383033
-23.33262,862,51.880562
-4.234666,34,52.191948
-15.647926,299,54.54094
-58.130776,695,59.987355
-8.051777,1,60.020216
-8.032845,1,60.052315
0.570324,33,60.33231
-9.134772,193,61.836483
-54.4084,814,68.231891
-33.005238,478,74.684795
-23.810854,535,78.859407
-92.277138,1500,90.386039
-25.293849,300,96.569148
-92.687406,1200,105.669199
-63.022533,810,111.803458
-10.893446,474,119.167001
-103.118738,1500,130.615243
-25.642062,325,133.223309
-7.460621,32,133.516412
-5.327265,17,133.701989
-52.687848,600,142.47888
-34.536252,420,145.740951
-4.312981,19,145.987926
-21.118489,327,148.601193
-22.97849,298,150.911902
-9.42528,139,152.048488
12.276307,122,153.081091
-10.738208,275,155.225306
-68.539957,600,160.224313
-63.153123,600,169.251749
-60.864953,600,174.029146
0.045137,30,174.298975
-55.10454,600,179.01632
-4.173033,38,179.319664
-69.541916,582,184.12296
-0.432145,29,184.371062
-0.267195,25,184.591914
11.460568,210,187.740581
-10.218504,73,188.379627
-15.052362,244,190.412958
-3.207646,22,190.60687
-2.94613,17,190.756634
-25.631054,300,193.213053
-63.235983,600,198.086852
-63.678757,600,202.937463
-67.373135,600,207.641694
-9.636902,94,212.547428
-57.765786,600,217.17863
-69.641118,600,221.87453
-20.911703,283,224.070913
3.709737,107,224.927118
-16.024088,1,224.952517
3.954223,1500,245.928093
13.924204,265,248.022889
13.190723,89,248.888017
-4.219669,35,249.178002
19.884381,407,252.862313
-50.37533,571,257.654004
12.047088,196,259.265158
28.374635,900,273.598797
-15.860307,600,278.31326
-6.251091,21,278.515565
28.401689,900,285.42021
7.494548,600,297.085313
152.486552,1200,306.43165
10.985859,900,313.676077
7.905739,900,329.37008
154.587131,1200,338.802609
19.152329,111,339.793901
-7.455889,249,341.65514
137.549171,900,356.792565
129.126348,900,363.555198
42.758132,149,364.775696
44.720552,120,365.701641
69.677124,181,367.065283
44.27016,137,368.134617
51.907791,600,377.939824
39.927234,132,379.02038
44.560042,125,379.976118
17.087961,600,384.52028
109.446077,298,386.821984
-19.994909,355,389.560693
153.52864,631,394.286886
43.911038,117,400.439841
31.169322,93,401.220916
-3.453242,173,402.542992
77.530784,180,403.925408
95.552667,201,405.557341
13.502963,600,410.156425
47.640001,600,414.842661
45.282575,104,415.64382
46.067768,600,424.751121
211.711259,911,431.757325
40.607335,114,432.731072
120.72457,307,435.284774
220.873116,759,441.270489
