#{"t_start": 1778002848.4525552, "env_id": "None"}
r,l,t
-7.110097,323,4.203586
-8.313866,285,6.856277
-7.928068,321,10.270952
-3.379884,24,10.569917
3.759418,351,14.340686
6.922638,226,16.352373
1.806436,88,17.085722
2.170218,194,18.669641
-19.457538,606,24.020396
19.959898,625,32.074981
-16.612888,619,37.028624
20.125393,379,41.102765
-7.851359,346,44.720585
3.139134,260,47.158316
-26.151122,574,56.580102
-8.067718,1,56.61334
-7.532365,344,59.518005
-9.922798,315,62.261859
-8.586455,525,67.0152
-8.89739,211,69.051873
-30.757661,464,73.971386
-150.950533,584,83.316509
-39.700453,950,91.036872
-74.401623,1096,99.955909
-107.547912,1500,116.603966
-20.596076,300,119.319506
-21.157832,300,122.012808
-22.427245,300,124.560182
-109.368636,1500,141.883472
-24.465433,300,144.340407
-40.170377,697,149.914608
-68.709607,900,160.693692
-56.732282,600,166.959282
-20.802217,300,169.514048
-91.699455,1200,183.435535
-49.785156,600,188.41587
-29.057087,300,191.375067
-58.337084,600,197.253838
-18.735859,300,199.761803
-27.451005,300,202.226412
-19.587111,300,207.907064
-36.949253,600,213.07494
-55.672832,600,218.524587
-52.01405,600,224.555468
-18.767958,300,227.582172
-47.445325,600,236.299658
-44.539896,600,241.33625
-16.025545,1,241.372429
-20.777118,300,243.764286
-30.727788,300,246.222299
-20.104306,300,248.571374
-16.044182,1,248.591729
-48.190575,600,254.765984
-25.323606,300,261.175239
-18.168719,300,263.726199
-55.60658,600,269.272436
-67.742595,600,274.771729
-71.650123,900,287.360518
-72.6667,900,295.03687
-92.202289,1200,304.553944
-45.361771,600,313.828424
-16.035761,1,313.860004
-116.526683,1500,327.594404
-45.256995,900,339.080681
-88.815009,1200,350.706311
-33.77318,743,356.59006
-61.482403,900,372.22946
-16.029013,1,372.255473
-57.58378,900,379.991384
-46.772814,900,386.86152
-53.732884,870,398.663683
-20.078253,435,401.986807
-13.071862,506,405.820891
-17.522632,108,406.669375
-39.095974,791,412.698942
-8.623038,582,421.218849
-53.275492,861,427.878229
-65.722746,600,432.465636
9.913237,219,434.186275
-24.581048,513,442.808653
3.711504,315,445.38599
14.623349,217,447.047632
-8.053213,273,449.183179
-16.049799,1,449.209863
4.507243,258,451.22728
-0.087606,279,453.400802
-10.536202,172,454.762374
-1.365219,52,455.211455
-52.087218,482,459.003661
-5.243125,303,465.485649
-38.971114,600,470.012543
-16.028168,1,470.037721
5.386283,412,473.318228
1.247845,116,474.274101
-1.59095,36,474.550517
-48.446575,600,479.201247
2.173096,269,481.313341
-66.304739,600,489.664774
21.97646,226,491.440657
-40.839925,600,496.076223
-66.070512,600,500.670494
-32.272782,493,504.437151
-35.687843,400,512.4345
-74.110562,600,517.280307
-33.782728,600,521.976426
0.377571,23,522.173609
-8.841898,17,522.348427
-72.809857,600,526.976565
-59.557156,600,531.505646
-13.360919,600,541.523669
-16.044754,1,541.549481
2.492346,64,542.059815
88.4366,1500,553.973035
59.525976,275,556.380296
-37.269566,600,566.08393
3.551397,600,570.993778
59.540481,600,576.050655
22.312004,155,577.3566
79.219478,1200,590.065885
70.333706,126,591.089399
-57.670913,600,595.794178
-20.101241,360,598.636898
-38.970537,600,603.256766
70.480559,115,604.189399
-3.458885,20,604.356077
15.598385,79,605.02299
-16.064611,1,605.055336
31.890113,111,611.269667
69.813943,123,612.250991
-34.123161,600,616.910774
-46.741284,600,621.636935
22.805478,600,626.582208
-40.213688,600,634.473955
50.967133,78,635.111835
51.353773,84,635.807678
9.474499,33,636.090121
33.219972,72,636.699429
3.470556,28,636.935959
32.057952,59,637.473472
-16.049603,1,637.506802
54.975055,82,638.196452
68.793554,92,638.926743
-28.513678,600,643.735162
75.753999,100,644.508236
3.730305,24,644.7089
19.277813,47,645.101598
2.902115,30,645.381139
-14.309926,356,648.234839
-47.427962,579,652.809388
46.605129,162,655.303353
-4.054273,12,655.522149
36.050786,73,656.117905
88.416393,122,657.072607
52.683021,73,657.652051
25.693415,52,658.103641
32.795889,61,658.628038
27.697154,600,663.348808
