#{"t_start": 1777986009.543599, "env_id": "None"}
r,l,t
-4.178993,511,5.630041
-7.116727,364,9.510967
-6.928522,199,11.509964
-12.484088,283,14.187706
-11.434889,601,19.412166
-9.738113,477,23.694544
-35.523906,760,33.181303
-16.264439,744,39.58167
-51.467977,747,46.609886
-50.799057,1225,60.989492
-23.573238,349,64.151847
-102.790167,1500,81.808828
-14.577438,330,84.499889
-99.098603,1500,96.336455
-51.680846,600,105.98178
-75.778906,1426,118.135547
-10.678849,1190,132.736775
-14.807161,581,138.399692
63.551961,1500,150.515961
12.06067,403,158.544753
51.083023,400,162.837528
11.985317,378,166.822458
-61.892697,1200,177.406602
30.354332,174,179.019665
15.408769,107,183.207264
-5.774436,171,184.624844
10.619291,900,192.420262
-35.182845,921,199.613598
33.782971,119,200.578191
39.441209,994,212.444396
32.019616,307,214.735044
-13.736321,1200,223.991718
-63.889988,900,236.444303
13.92731,303,238.787648
10.101366,918,246.06115
14.768428,181,247.462229
1.987567,591,257.167156
5.259197,310,259.579688
5.314944,62,260.105105
-0.554326,69,260.651523
63.027752,325,263.198105
28.79473,103,263.999095
-10.906758,600,268.674891
-4.290675,587,273.228327
39.570959,740,285.914434
-36.985103,900,293.163936
-37.286673,900,300.348632
61.335775,638,310.320048
1.908762,101,311.138783
54.414298,182,312.532604
-8.016112,43,312.90185
-7.965492,52,313.324938
32.862105,830,319.879385
-12.010682,291,322.297648
-7.011098,14,322.429648
29.383682,900,335.588836
-3.86631,900,342.772733
33.115965,180,344.181978
14.287906,194,345.723015
-10.274522,900,352.768808
130.705265,636,366.154274
216.96681,1199,375.376109
2.741878,900,390.255269
49.484348,540,394.721886
35.542019,118,395.687236
-16.059778,1,395.722118
190.586074,861,402.621263
37.070268,104,403.461311
234.715165,1009,418.792293
23.826608,129,419.855651
182.189051,721,425.555457
7.927165,492,429.478348
26.79568,298,431.826747
242.769135,788,444.834514
-0.40256,42,445.206713
237.746394,820,451.848042
30.621083,299,454.403714
-25.816146,600,459.164655
209.448714,721,471.020757
251.137182,810,477.147678
53.484259,246,479.012393
-0.603816,24,479.251066
178.292763,1200,488.164914
191.401703,484,496.94099
547.538103,1500,508.673105
58.135217,245,510.637465
196.896303,901,519.924904
38.588187,148,521.055876
9.776521,64,521.555566
68.886851,170,522.887426
153.910104,1200,531.979726
80.230839,268,534.012448
53.643027,219,541.456925
59.102326,203,543.022076
79.973856,253,544.963438
62.687374,240,546.785471
38.375991,157,547.997956
4.988543,40,548.339537
63.40538,240,550.179363
9.45332,66,550.692552
35.860119,132,551.678452
55.667294,185,553.091303
36.316525,120,554.021425
256.18477,652,559.199775
75.997537,241,567.829019
246.658676,593,572.410494
58.878158,199,573.984496
187.212494,489,577.709177
182.881661,422,581.060764
62.412501,239,582.855336
-6.93583,19,583.009313
582.304439,1500,598.181229
10.787736,56,598.619477
57.144734,208,600.218869
250.243878,597,604.760539
-16.05459,1,604.789963
35.284386,143,605.908184
57.283386,205,607.59275
245.818844,604,617.01144
80.907332,243,618.869665
485.469801,920,625.907421
38.748654,132,626.952173
195.864914,426,630.282184
559.718921,1259,644.700123
178.544732,362,647.482207
58.062196,191,648.878686
18.256305,92,649.593141
82.85278,182,650.987345
21.581351,58,651.464446
231.833144,498,655.490335
82.006071,208,659.368276
9.424845,56,659.815146
9.302975,74,660.415248
-16.064673,1,660.448432
184.298698,385,663.374454
37.063215,95,664.084841
10.517558,58,664.531666
905.701596,1484,676.114415
192.864906,383,682.710805
25.303692,92,683.413262
19.092442,76,684.03733
250.327449,520,688.126358
58.49482,175,689.447042
190.771622,386,692.466896
