#{"t_start": 1777981222.3297675, "env_id": "None"}
r,l,t
17.36672,181,22.023417
2.826916,132,22.174058
19.477518,212,22.411816
13.644838,186,22.612695
27.214822,196,22.851224
12.159865,157,23.035584
12.159865,157,23.232384
2.826916,132,23.377894
12.159865,157,23.564261
17.36672,181,23.772434
-28.230447,300,43.994171
-18.610679,300,44.31867
-37.131837,600,44.996479
-18.610679,300,45.301888
-19.814218,300,45.59846
-22.874843,300,45.908193
-26.338741,300,46.223446
-18.610679,300,46.555078
-37.131837,600,47.209733
-42.965949,600,47.856664
-19.814218,300,67.481962
-26.338857,300,67.793262
-19.012,300,68.080123
-19.012,300,68.375676
-21.576495,300,68.705519
-28.231358,300,69.016255
-19.012,300,69.328069
-19.814218,300,69.642362
-21.574384,300,69.976076
-19.012,300,70.278238
-18.610679,300,90.482913
-26.34986,300,90.78997
-18.610679,300,91.094723
-22.878675,300,91.406996
-24.266897,300,91.719836
-26.34986,300,92.020884
-22.878675,300,92.331613
-16.192305,300,92.673991
-19.01228,300,92.988477
-18.610679,300,93.39052
-18.614705,300,113.049832
-18.610679,300,113.354487
-18.614705,300,113.65166
-38.810623,600,114.266157
-24.266897,300,114.584551
-38.810623,600,115.236371
-19.814218,300,115.556921
-22.876556,300,115.867733
-19.814218,300,116.18428
-19.012,300,116.495337
-28.047295,900,137.486723
3.325889,97,137.668898
-23.033456,600,138.710113
-28.047295,900,139.709269
-15.808828,600,140.482584
-42.21944,900,141.528757
-15.808828,600,142.333857
-26.104259,300,142.718525
-23.033456,600,143.465139
-42.21944,900,144.579523
-0.650806,600,180.297432
25.52081,364,180.809758
-23.121465,300,181.218698
-23.121465,300,181.883376
-17.836174,300,182.415639
25.52081,364,183.070088
-3.789539,538,184.025839
-20.715983,900,185.888964
-20.715983,900,187.848021
-20.715983,900,189.953573
-41.138773,600,243.558394
-33.097374,600,244.869308
24.706262,344,245.617723
-19.025802,300,246.236036
24.112426,112,246.494304
-51.758612,600,247.745007
-19.025802,300,248.342767
24.706262,344,249.030926
-33.097374,600,250.22395
-41.955104,600,251.496277
-45.636923,600,281.230664
-12.266413,900,282.087766
-43.655009,600,282.694443
2.439314,82,282.853681
-43.655009,600,283.467506
-37.601192,600,284.10547
-42.486156,600,284.73978
5.968748,1200,285.970598
2.439314,82,286.071975
-42.486156,600,286.69887
-16.815646,900,306.644209
-8.304833,900,307.469591
-20.369186,1200,308.704671
-45.595977,600,309.354579
-45.595977,600,310.018168
-39.134326,600,310.661963
-16.815646,900,311.560578
4.280887,58,311.641093
-42.466831,600,312.215048
-42.466831,600,312.818588
54.209589,310,335.132604
36.60058,900,335.98778
24.928358,652,336.618931
13.356362,600,337.242192
-13.141772,600,337.863802
24.928358,652,338.673201
191.698627,1404,340.347039
-13.141772,600,341.065376
54.209589,310,341.439565
13.356362,600,342.168619
50.251209,900,362.617667
50.251209,900,363.51063
126.210142,1200,364.70098
195.739179,598,365.31205
82.692022,1200,366.529342
82.692022,1200,367.761425
195.739179,598,368.380463
13.103351,900,369.259276
41.881432,364,369.633796
195.739179,598,370.246696
100.630278,900,390.458414
70.857476,374,390.846502
128.313933,900,391.746892
128.313933,900,392.629455
100.630278,900,393.534153
63.711167,600,394.176036
128.313933,900,395.155572
92.780701,341,395.522416
-12.253177,600,396.112756
128.313933,900,397.012918
32.117435,900,417.598691
196.210445,900,418.475425
26.460475,600,419.045559
11.526434,110,419.177022
56.10129,191,419.386408
32.117435,900,420.34531
196.210445,900,421.257197
96.440707,900,422.171782
56.10129,191,422.37215
56.10129,191,422.572933
14.204512,40,442.041767
142.798775,313,442.358247
22.820295,600,442.917315
3.102949,45,442.979362
93.211585,180,443.167298
14.204512,40,443.231826
93.211585,180,443.41768
22.820295,600,444.013091
3.102949,45,444.077559
195.607566,337,444.434791
52.095495,384,463.623515
237.141816,564,464.197479
500.729858,1500,465.730723
188.643185,389,466.133594
46.162252,100,466.255587
14.094013,39,466.323158
194.647562,332,466.67109
-47.284065,600,467.284132
52.095495,384,467.660188
44.139579,94,467.772384
704.040864,1500,488.186728
-38.331336,600,488.777849
704.040864,1500,490.361319
322.389389,691,491.09503
74.889426,156,491.34125
704.040864,1500,492.851253
-38.331336,600,493.449216
43.594764,98,493.560556
272.350926,548,494.122645
74.889426,156,494.309407
196.541966,319,513.680139
118.579452,255,513.926203
322.288243,719,514.651972
44.633698,96,514.761631
219.595694,900,515.624743
101.006389,207,515.85897
101.006389,207,516.092023
44.633698,96,516.205205
44.633698,96,516.317857
44.633698,96,516.428558
48.751521,112,535.308187
118.463619,285,535.57798
609.607845,1500,537.069547
48.751521,112,537.196172
118.463619,285,537.486274
146.538245,600,538.091458
46.136677,92,538.208566
197.030305,294,538.522234
146.538245,600,539.128621
48.751521,112,539.257777
161.669019,600,559.117417
46.015124,85,559.220856
46.015124,85,559.333836
31.094265,147,559.506013
31.094265,147,559.666225
250.337363,537,560.168429
31.094265,147,560.329384
220.277442,496,560.828417
31.094265,147,561.004969
324.258917,654,561.676867
112.788101,600,583.07625
193.02434,402,583.48242
252.382849,597,584.045126
-44.061468,600,584.638158
224.958086,518,585.14509
325.427584,758,585.91289
325.427584,758,586.687454
600.788651,1500,588.233435
61.796338,900,589.134151
61.796338,900,590.00127
-47.418449,600,609.671334
718.56545,1500,611.140008
223.812453,475,611.602423
253.719369,568,612.184914
-47.418449,600,612.761951
718.56545,1500,614.321844
261.65835,565,614.892396
213.745765,517,615.426016
718.56545,1500,616.979264
327.991025,656,617.65783
48.808489,91,637.411875
46.664588,76,637.500978
79.03899,143,637.666384
48.808489,91,637.762639
79.03899,143,637.918679
1049.052885,1251,639.164992
32.289772,122,639.295841
1049.052885,1251,640.577332
