#{"t_start": 1777990851.7061656, "env_id": "None"}
r,l,t
-0.44927,90,3.006609
2.617972,254,4.190134
-7.457039,264,6.605487
-5.313778,251,9.233008
-3.44027,84,10.11908
1.268401,343,13.879178
-2.557422,69,14.629903
1.179872,199,16.527968
1.169719,356,19.458709
-12.451552,309,22.081095
-10.491592,560,32.149331
-25.00346,578,36.783907
-19.419249,496,41.96652
-1.212212,148,43.551603
-87.628854,1500,61.45584
-42.601466,600,66.350492
-66.206375,900,75.73069
-78.802607,1200,90.2955
-70.134972,900,97.260667
-51.473986,600,103.183022
-74.621773,1500,121.038903
-16.030256,1,121.068541
-40.395018,1500,139.915732
-41.30906,600,144.923476
4.132809,190,146.456668
-26.106705,600,151.234333
-27.130333,859,158.507205
-18.882533,374,167.220313
-34.448294,552,171.846189
-2.857078,218,173.830609
-8.31498,595,179.356709
9.654926,174,180.903129
3.148623,186,182.569633
21.480629,640,194.398298
-51.880227,600,199.451854
13.506524,199,201.012476
-2.901323,313,203.474385
-0.229421,254,205.453861
-51.311282,600,210.133542
1.393146,127,211.131423
-22.067129,438,221.154992
-38.152537,600,225.695566
-46.202309,600,230.487193
-10.69447,458,234.039256
-37.269449,1200,248.642812
13.126718,60,249.292471
-28.287408,900,256.699216
10.830226,590,261.703835
-48.777498,1200,279.649917
93.008341,1500,292.940924
38.644274,600,304.19243
-56.474536,726,311.364504
-29.615936,600,316.339667
3.969816,600,321.371795
17.23231,68,321.932489
40.854124,600,331.365148
171.053002,1196,343.155457
32.525435,99,344.022202
-14.703744,506,348.559708
56.727583,320,353.336259
19.304849,92,354.279709
-5.044918,12,354.418427
-0.5269,28,354.738914
5.727288,31,355.035748
36.995754,103,356.000279
13.490406,88,356.851405
5.403527,32,357.17973
-0.421929,26,357.438056
24.290912,61,357.975936
-25.887158,479,361.849648
0.392036,22,362.045266
35.783846,110,363.065195
-24.792108,361,366.960793
9.680993,41,367.441198
-3.477179,20,367.722191
4.465658,31,368.083748
213.134279,658,374.461211
14.211012,37,374.805218
11.365477,41,375.193606
5.303562,35,375.516175
41.933729,426,380.55097
41.569715,114,381.486724
11.209486,507,386.003034
-8.062051,1,386.045393
-16.056717,1,386.075205
4.103012,33,386.433744
39.070578,138,387.729224
66.467553,98,388.655787
-31.180071,600,393.9026
5.588084,32,394.188141
-54.565415,600,404.447419
5.142663,37,404.77771
-4.251014,600,409.942181
52.396355,124,411.094439
36.5804,75,411.775849
-49.428298,600,417.062682
9.397097,117,418.05521
71.149571,109,418.954629
96.607416,189,420.523121
32.519313,68,421.111681
65.73898,108,422.031584
-16.073262,1,422.058038
74.145381,133,423.13885
242.935429,584,431.585621
42.748997,76,432.435144
65.689058,110,433.674696
248.833748,513,438.107018
178.476123,900,446.378011
1.315509,22,446.611443
-16.043659,1,446.638851
11.990999,335,449.868055
38.871543,73,450.543663
247.034787,507,458.921343
107.530589,160,460.496108
43.988291,67,461.21249
43.400146,82,462.118126
169.457789,310,465.474752
46.925041,68,466.221703
169.945736,306,468.873426
65.66889,134,470.06044
72.816655,103,470.979096
80.805016,103,471.869884
5.336029,600,476.875986
64.230799,122,477.845538
70.773175,114,478.835834
45.714972,72,480.616271
5.471798,36,480.912918
52.754868,142,482.072713
63.290489,109,483.019183
5.449958,34,483.340312
49.592754,72,483.950869
65.078067,107,484.81642
68.740324,95,485.615376
42.709643,89,486.409925
42.509566,86,487.185319
111.227746,192,489.115133
49.549451,123,490.461354
-3.069479,600,496.690886
84.316659,115,497.834201
12.21081,57,498.323098
69.246911,116,499.333768
26.63523,59,499.916473
43.478044,77,500.60239
25.842396,57,501.115386
-5.517618,600,507.522964
42.874421,70,508.223108
50.609591,197,510.101666
47.433948,76,510.889083
68.619219,95,511.748774
53.464529,149,513.256436
22.591189,220,515.067742
34.959448,71,515.633288
214.725497,250,517.852582
44.579286,77,518.518428
98.052946,113,519.450466
48.925712,85,520.145305
105.384667,151,521.607122
4.525345,29,521.945512
67.320687,112,523.16366
96.678413,126,524.40295
44.865012,76,525.130425
103.976197,151,526.72954
49.157344,76,527.566472
51.80758,76,528.424756
49.831804,73,530.376255
13.568063,47,530.794574
79.716088,106,531.802102
53.362619,94,532.648474
29.003104,50,533.100189
46.397939,64,533.713392
33.990245,65,534.276595
43.447316,72,534.940415
100.692516,132,536.156605
48.656228,81,536.933381
36.957582,61,537.590513
44.919001,212,539.723435
47.193007,72,540.422297
48.177916,75,541.220111
30.899804,47,541.738189
22.711849,44,542.155368
44.004539,70,542.932271
12.435845,65,543.621141
192.678216,204,545.517506
105.449253,152,546.880914
22.700122,45,547.363159
