#{"t_start": 1778053451.005252, "env_id": "None"}
r,l,t
7.035029,112,2.727121
-4.196251,196,3.554336
-4.076747,91,4.390237
-6.188509,130,5.56024
-1.55262,251,8.20808
-9.27393,408,12.668932
-16.002151,288,15.811069
-11.430088,267,18.048201
-4.746001,228,19.931951
5.240122,233,21.88591
-2.414923,21,22.084193
-5.011153,361,29.227959
13.147794,305,32.029222
-15.637096,574,36.354448
-55.734025,849,44.952608
-51.79934,900,58.853343
-96.435452,1200,69.672439
-53.825491,600,76.176842
-78.116528,1200,90.103589
-84.00757,1200,99.360959
-26.968869,300,102.277215
-18.553893,300,109.262243
-48.514135,1500,122.385013
-86.854141,1200,138.596579
4.988868,598,144.074836
-43.013716,762,150.209736
-51.323578,900,157.367092
-8.070208,862,172.76652
-36.533597,726,178.950876
-23.578713,487,183.607778
-20.31959,600,194.581283
24.753874,343,198.293227
1.856141,426,202.816455
42.672504,900,209.996957
-49.238664,600,214.730823
-13.479239,385,223.73982
-45.290497,807,232.62453
-2.902243,311,235.150164
5.470922,900,243.058258
0.49614,288,252.53229
122.734294,1414,266.095262
-9.627528,1144,281.819155
-16.036003,1,281.847775
6.963418,900,290.994225
-10.809777,412,295.180885
-1.96989,450,298.912446
35.495252,317,301.796388
34.375436,900,316.021651
39.18928,1200,327.403235
25.623164,1200,342.493449
21.324054,323,345.497413
49.738629,345,349.242413
-24.466243,900,358.102156
53.210322,238,360.068872
32.051997,369,369.511989
15.317363,900,376.60301
32.838042,600,382.788119
7.931181,1200,403.053646
156.238341,900,412.162195
34.83881,900,420.559305
44.613252,900,436.699363
64.779599,526,441.855754
40.489099,415,445.933496
158.038892,900,453.054209
165.647699,1139,467.570719
159.097377,792,476.173504
144.112107,900,490.546371
59.620212,600,495.190461
173.895582,687,501.487068
188.485902,1500,520.928672
149.813359,900,529.151819
129.607884,900,538.778588
267.125744,754,550.732107
3.239229,30,550.985286
281.555421,531,555.02455
213.120098,523,558.994511
68.147836,900,571.471856
283.833951,513,575.879727
326.018767,692,582.423402
44.82364,117,583.576981
83.865983,531,588.403656
387.074812,761,604.245107
231.558885,372,607.328579
48.213818,121,608.292646
329.405236,1200,617.578814
547.788243,742,632.509254
92.949246,495,636.657767
138.392803,289,639.281351
693.67181,802,646.881661
98.229975,193,648.631463
549.206523,699,663.887637
212.626698,327,666.587749
215.564709,500,670.657625
550.057733,646,676.008006
-16.050611,1,676.041057
375.06759,579,680.58885
548.423256,609,691.956576
99.236016,155,693.775457
149.441369,241,695.913382
491.625221,930,704.179223
115.217593,201,706.072085
193.122815,239,708.3669
192.251668,209,710.3181
224.407235,421,717.790447
202.136553,257,720.382598
433.510576,563,726.171315
73.519502,120,727.184263
98.789448,163,728.498561
140.570252,257,730.586357
155.743989,217,732.331363
563.820433,863,742.064552
40.252505,141,743.371645
99.731252,148,744.728574
194.449752,216,746.774397
48.478038,82,747.535356
45.209452,77,748.413612
568.748763,790,757.349192
49.144521,74,757.982603
323.971978,429,761.623129
193.390243,214,763.565332
192.120417,227,768.911489
56.915835,114,769.824836
-36.095843,322,772.350865
56.554658,136,773.472929
99.206236,170,774.763844
194.009632,208,776.382525
77.726812,110,777.230196
49.579884,73,777.79363
55.190356,137,779.019401
56.246736,129,780.342425
278.197269,329,783.63013
-10.203408,600,789.225866
736.361361,824,800.71464
-5.988356,292,803.44571
706.538268,563,808.691554
189.706869,600,815.035392
49.270275,86,815.959624
706.674223,544,826.694001
885.015455,731,832.4251
1052.728137,1095,841.162751
-33.110065,230,843.671001
559.031016,470,854.673409
55.147602,145,855.93206
405.127649,496,860.780872
558.407349,499,865.406533
1051.873704,1004,874.734941
405.361083,459,882.365502
884.662862,649,887.656655
69.976932,88,888.34402
41.254597,150,889.512484
46.124792,68,890.067378
705.570611,534,894.183251
352.231687,391,897.628675
406.760397,455,907.452197
-8.047232,1,907.485525
36.104908,172,909.404189
54.890303,156,911.094233
177.636016,237,913.249561
57.319556,125,914.321316
354.869654,378,917.529765
746.651875,823,925.064822
69.778617,88,925.822562
585.210411,616,933.040595
-5.688432,484,938.043563
50.835983,188,940.075141
888.050512,580,945.50579
99.883854,115,946.465936
887.886402,603,951.808936
353.867864,375,958.952769
889.913309,537,963.865216
355.25917,369,967.596642
222.604619,208,969.981379
148.339802,193,972.137179
67.620185,89,973.242591
37.000741,335,976.75977
415.44199,385,979.970945
355.528291,367,985.667808
295.582012,258,987.732979
43.551556,317,990.309564
100.652208,117,991.264848
284.2957,264,993.264221
151.716379,219,994.965514
401.412229,462,999.098051
884.158448,654,1006.211019
706.612237,495,1015.831048
279.972415,295,1018.661456
888.964716,586,1024.029135
886.907511,650,1030.0672
208.790677,900,1045.03132
229.19032,662,1050.227897
890.336421,591,1054.842319
742.477384,702,1061.735555
889.156567,630,1073.614757
187.304221,900,1082.080297
192.711692,900,1089.533087
405.914555,451,1100.018728
501.439844,354,1102.82596
742.942382,686,1108.218234
14.278472,31,1108.485652
6.84088,600,1113.53692
215.706378,257,1115.945278
290.09819,300,1118.638283
-61.494591,434,1129.175816
159.451941,148,1130.463828
560.670108,387,1133.687177
395.78143,513,1138.191607
337.933983,350,1141.279648
407.291323,419,1144.636646
560.847064,382,1153.120096
11.053851,600,1159.348419
501.153181,324,1162.015117
216.776633,253,1164.090246
561.809329,363,1167.09414
890.332658,532,1172.07866
42.4363,312,1175.041341
26.12432,47,1179.458828
392.850502,329,1182.636579
710.786515,398,1187.099755
561.360835,377,1191.20007
889.538962,531,1195.722095
-16.04249,1,1195.758384
892.044686,535,1199.982355
746.262863,606,1210.168843
503.514079,321,1212.889562
503.192256,315,1216.110654
746.52419,634,1222.235925
503.019704,314,1224.858166
710.117928,440,1228.570226
747.312239,602,1241.307134
342.835225,276,1244.014752
931.080179,592,1250.626142
408.818926,356,1253.955666
105.351118,121,1254.932734
291.140088,253,1257.031538
426.574517,605,1267.418786
452.888009,546,1271.665882
851.935582,751,1278.955904
502.471326,296,1282.069339
1068.170656,747,1288.336402
441.312715,485,1298.460085
748.40663,568,1303.712498
893.394954,473,1309.01237
502.977101,285,1312.098462
631.602324,458,1316.252221
750.677867,564,1324.189687
564.024907,301,1326.676843
503.961366,286,1328.867231
288.724184,271,1330.970937
1069.778332,690,1337.414017
565.657298,292,1340.861961
712.961681,374,1349.004876
57.921246,88,1349.759306
713.752745,344,1352.783023
895.308232,446,1356.986531
894.231653,465,1361.336295
48.173322,211,1363.16201
52.294741,240,1365.058985
440.044371,437,1369.046788
248.839868,204,1371.299829
894.375414,473,1379.336857
54.599705,91,1380.083068
275.567815,261,1382.224022
-16.075684,1,1382.254119
505.144425,249,1384.277949
59.24379,78,1384.904438
714.920161,315,1387.546934
144.105365,129,1388.77085
564.412325,286,1391.462158
713.9924,340,1394.643839
566.343174,269,1397.208412
1078.573713,562,1407.445994
713.238366,365,1410.646045
231.695632,194,1412.34704
714.05198,339,1415.280456
1077.077998,600,1420.251818
899.415916,414,1423.577795
895.16552,453,1430.614263
447.033309,433,1435.349682
48.958967,62,1436.022506
936.587491,470,1440.587145
565.498604,270,1442.847232
60.096822,70,1443.431618
940.917989,466,1447.654305
487.77749,318,1450.607413
141.745845,129,1455.293198
712.67167,336,1458.389758
504.553707,256,1460.772661
897.785343,429,1465.298754
897.931257,428,1470.300055
79.962517,82,1471.247548
937.258071,458,1475.152216
756.138426,387,1478.309117
897.789311,412,1485.230442
939.460439,435,1488.689894
462.026459,390,1491.718122
753.7482,419,1495.947973
145.192247,125,1497.414668
505.130039,239,1500.134717
1077.922703,549,1507.969093
405.919573,265,1510.336452
565.699791,261,1512.884044
566.0334,264,1515.402985
897.210053,422,1519.40367
505.410832,241,1521.540722
1080.479654,513,1525.471228
1078.335714,541,1535.559206
469.879855,389,1538.750801
58.235336,83,1539.424417
59.361686,83,1540.102666
260.703465,211,1541.878089
567.304889,262,1543.916211
58.181654,77,1544.507536
1078.658705,524,1549.413312
35.768981,55,1549.920679
56.124285,86,1550.732548
898.701404,412,1554.559673
1081.217055,517,1563.14686
506.104219,243,1565.930135
-16.047802,1,1565.968928
714.946374,304,1569.060454
68.43565,80,1569.756709
564.071499,302,1572.284938
58.474902,86,1573.025281
113.407719,104,1573.96207
326.293082,498,1578.050178
57.978772,83,1578.714745
715.546302,353,1581.600907
713.875491,329,1587.319954
506.503644,242,1589.225934
-16.057782,1,1589.256471
1079.86559,523,1594.164455
714.625281,328,1597.657014
504.307483,242,1599.69525
431.214453,287,1602.221599
-16.046547,1,1602.25487
505.586198,237,1604.278636
896.590424,444,1608.616067
940.104757,437,1616.218573
473.186155,343,1619.427101
297.351124,204,1621.499434
1081.486514,490,1626.767699
1083.649062,499,1631.315173
470.749297,333,1634.11099
507.175609,223,1636.014329
1079.990744,524,1642.816987
567.048855,269,1644.866321
899.839317,408,1648.057912
3.727342,29,1648.297928
716.825916,319,1650.733145
506.069372,254,1652.668861
714.873914,327,1655.248043
350.890155,238,1657.069767
565.840602,278,1661.921812
900.239364,412,1665.13605
504.803978,231,1666.958027
715.538883,316,1669.356778
714.711242,335,1671.955693
715.872991,319,1674.381686
566.556326,269,1676.448376
566.406326,262,1678.608118
58.089198,78,1679.200942
715.218776,308,1684.784156
1081.436001,488,1688.488117
900.509624,397,1691.428952
898.087355,432,1694.703635
754.308575,408,1697.858493
505.507559,218,1699.57391
756.959533,402,1702.674006
507.243978,232,1707.078266
898.897848,401,1710.905166
716.340468,304,1713.212868
506.420912,232,1715.088999
507.214891,231,1716.890441
568.355359,254,1718.805704
471.492647,364,1721.496389
62.540178,76,1722.096205
715.384126,312,1724.44671
899.179118,414,1730.395427
292.796837,209,1731.9648
1081.435052,503,1735.776322
897.608014,445,1739.095402
757.408211,372,1741.87709
57.929822,104,1742.673121
506.6371,222,1744.283694
716.300334,317,1746.636974
566.677676,243,1751.224697
-5.033127,95,1751.969113
898.053238,416,1755.038061
941.187014,411,1758.222791
942.245739,427,1761.371857
504.603049,241,1763.211675
-16.048725,1,1763.241763
58.430112,86,1763.873308
-8.41081,11,1763.979578
