#{"t_start": 1778067956.3103964, "env_id": "None"}
r,l,t
-4.132045,38,2.66151
4.113296,710,6.818294
-5.236812,181,8.328879
-1.721257,37,8.64403
-5.175004,312,11.183044
-0.540311,303,13.563058
7.48481,146,14.754378
-16.472901,183,16.247996
-20.82659,532,20.269954
24.543661,544,26.080608
-20.392644,674,31.276495
26.657727,416,34.707541
-28.354304,1314,48.661141
-32.982082,961,55.634726
-71.803693,1500,70.647827
-54.232865,710,75.787851
-62.57374,900,82.336086
-86.125541,1200,94.852873
-36.755961,600,99.159026
-34.442475,995,106.500674
1.445925,194,107.931329
-8.035501,1,107.962628
5.468071,648,114.9432
7.44725,74,115.52502
10.478448,202,117.019734
-4.072676,207,118.672367
1.591175,77,119.308975
0.058791,98,120.090711
22.848612,179,121.453364
1.04807,90,122.103579
-16.06793,1,122.13578
11.430983,82,122.784685
-6.322383,56,123.264328
13.239611,165,124.530043
49.621302,379,127.442651
13.21722,73,128.033135
12.390512,83,128.636267
20.49625,162,131.28521
-18.889709,600,135.713999
13.422715,67,136.290144
47.452543,404,139.302239
12.953614,71,139.867659
85.6103,379,142.797749
-1.152974,600,147.464737
36.118605,235,149.168051
91.996904,345,155.744017
-8.065406,1,155.779662
10.35239,121,156.81115
-22.320061,300,158.972305
-60.563793,600,163.502554
31.252664,600,167.90919
-16.090845,1,167.938296
-16.039602,1,167.970303
10.900497,553,172.161906
34.918262,424,181.909398
-12.482767,600,186.499758
102.953078,1500,197.822968
16.878939,627,206.958179
23.919744,303,209.221503
74.091908,239,211.080128
-8.070735,3,211.127126
-2.703174,225,212.804724
-55.307197,573,217.060178
56.604449,633,227.955972
40.58486,215,229.582707
9.893084,136,230.607084
-22.702215,401,233.667803
-23.432926,355,236.313058
72.834303,209,237.888654
-6.341194,446,241.158628
52.070203,600,245.695434
44.302892,123,249.97834
-9.120173,417,253.103697
9.486084,67,253.667694
46.892336,290,255.861972
60.071412,181,257.300271
137.299973,1056,265.013991
95.803714,314,267.372293
89.87074,222,272.525732
5.005457,169,273.777742
9.965557,151,274.922905
25.45975,594,279.285752
25.212114,580,283.602731
8.876447,142,284.705702
-31.488753,454,288.09275
39.585212,463,296.941401
-3.040841,600,301.360012
77.096767,176,302.840779
98.288735,329,305.282184
-0.31151,240,307.204673
72.173834,188,308.715139
-15.928506,400,311.686875
14.445487,58,312.140804
58.261368,279,314.290522
45.222233,116,320.328876
72.743516,169,321.582087
55.188728,156,322.704846
113.79138,270,324.75634
54.347113,600,329.212426
79.169607,183,330.526119
128.902536,388,333.447834
-16.029198,1,333.479561
105.142322,270,335.508133
179.349227,380,338.306628
102.507081,278,344.619804
92.822977,600,349.180258
236.47656,408,352.23153
256.503302,589,356.92402
88.293457,600,361.459928
-8.002129,3,361.504264
-8.045212,1,361.534448
247.494056,577,369.18329
253.551789,587,373.626497
96.087996,211,375.209757
111.066989,235,376.914067
691.396451,979,384.060767
255.898077,501,392.215835
240.920253,559,396.392472
253.689425,386,399.481654
100.665657,185,400.865899
81.209941,118,401.760079
115.60773,184,403.230582
111.615528,178,404.63748
90.356579,143,405.766459
204.413965,255,407.638383
49.093073,78,410.943795
11.266848,84,411.619624
57.74666,104,412.454509
98.297511,159,413.643194
-16.065117,1,413.673374
251.141593,404,416.650251
877.783601,994,424.058671
74.098297,110,424.915907
211.55869,239,426.756434
140.65505,188,428.345682
248.975308,284,433.725568
55.772606,113,434.597372
57.702836,117,435.563443
123.676612,201,437.03732
71.210969,145,438.165411
100.012326,155,439.527879
182.496468,216,441.316502
708.09407,542,445.753262
285.772272,328,448.161457
54.035156,113,449.109265
113.662933,146,450.372989
57.515264,106,451.152184
216.845702,250,454.216646
94.604106,124,455.10451
55.713529,105,455.979233
-8.019264,1,456.006256
45.932751,70,456.594924
194.100171,231,458.365327
293.989269,328,461.014067
228.54804,278,463.261983
46.180723,67,463.808752
99.060794,111,464.717624
190.699083,228,466.426518
104.783795,139,467.55027
98.156264,120,468.557
60.303485,94,469.279368
98.445921,123,470.211245
45.804793,72,470.796737
285.082805,261,472.937277
46.196113,74,473.552519
21.622905,58,476.201954
220.220369,245,478.086002
54.687572,96,478.819819
99.879566,100,479.595063
46.012075,69,480.178023
52.978781,116,481.116074
243.320425,249,482.945604
227.38899,310,485.501807
45.979349,71,486.133254
100.093744,107,487.010787
45.625424,94,487.797743
89.805176,105,488.732243
60.562507,81,489.401998
99.696707,126,490.356056
98.769153,107,491.239445
291.653869,256,493.325862
22.369558,48,493.68966
98.56002,110,494.562049
283.102253,298,499.241185
194.79859,208,500.848893
118.144367,142,501.96807
67.916798,85,502.669913
299.509947,306,505.157789
252.962151,308,507.585583
194.858875,193,509.053408
99.841398,115,509.99077
58.885135,102,510.849057
195.759038,196,512.445546
239.277756,266,514.577235
382.891121,331,517.312163
13.801315,46,517.66488
115.089579,138,520.958597
146.037784,158,522.260814
80.617206,133,523.246162
38.356979,62,523.730214
209.105059,270,526.013271
54.017039,102,526.804373
114.966405,142,527.909703
60.143679,86,528.601857
440.989076,403,531.874322
242.723537,250,533.956915
441.439234,375,536.781084
140.467878,177,538.091509
21.011976,67,538.602823
889.982742,597,546.141674
138.691682,184,547.617819
262.712768,250,549.691307
266.990096,259,551.704246
-7.323798,30,552.112951
376.337896,387,555.267875
559.780693,380,558.231983
559.582308,414,561.267487
125.4006,148,562.488619
263.88285,230,566.321816
39.552979,68,566.841373
265.246398,242,568.895766
72.217864,135,569.972211
41.363648,62,570.413861
259.434492,226,572.313583
559.232492,393,575.191114
295.077312,255,577.220022
709.292376,466,580.834539
68.620077,164,582.232074
225.101475,211,583.86048
894.371153,545,591.142834
59.170847,107,591.931804
54.490462,101,592.741896
243.362367,241,594.551213
636.574468,522,598.618127
21.767993,60,599.068314
401.572085,353,601.687788
709.67011,426,604.973742
290.888089,241,609.602672
239.413107,227,611.308671
402.633208,320,613.720453
635.334745,451,617.160384
381.371373,293,619.472047
61.206608,91,620.160828
22.266064,64,620.648818
22.109449,53,621.079924
70.758771,145,622.148528
230.855828,217,623.837764
384.090656,296,626.089759
261.89757,228,627.786349
401.588426,345,633.365993
246.120702,241,635.296918
223.701751,212,636.951601
59.204042,85,637.609502
283.319066,210,639.183672
711.064732,381,642.18063
503.473934,270,644.196732
233.851884,236,645.997616
564.082705,307,648.319418
711.49852,398,653.974511
70.089125,140,655.045696
565.062083,314,657.358538
641.789595,438,660.770145
252.264148,231,662.479368
713.992864,371,665.307342
295.366387,229,667.173911
268.207802,213,668.861009
268.781222,438,672.142963
269.658108,221,677.92614
222.319127,198,679.486917
564.107126,303,681.776489
268.281895,217,683.444176
710.578121,395,686.481824
139.514756,219,688.109585
788.839353,531,692.301304
255.34732,231,694.139946
291.313572,243,698.263045
58.666159,80,698.90027
1080.012685,582,703.310975
712.645625,383,706.20691
749.69087,506,709.959645
711.004077,410,713.008098
564.716792,300,715.279191
565.662546,282,720.851993
895.920745,511,724.743111
709.960735,432,727.938773
896.44959,494,731.779957
113.589436,128,732.718615
750.689912,549,736.948056
287.767767,232,738.681112
401.528612,328,744.707467
563.955456,314,747.049499
57.548307,83,747.658114
751.379077,534,751.721236
894.532376,512,755.530949
711.268536,402,758.538726
711.331627,397,761.526921
-7.82728,159,766.72735
751.408234,527,770.758816
216.958695,194,772.201494
1079.01344,598,776.779801
894.058573,516,780.75081
15.057031,41,781.075616
461.062502,499,784.839337
562.181887,319,790.834742
289.669873,218,792.487852
750.926244,523,796.445605
265.117784,227,798.241923
59.153661,89,798.988132
413.306328,319,801.388751
261.937926,234,803.159165
322.824939,250,805.052566
15.226368,43,805.379092
1080.328587,582,812.267569
-8.297825,11,812.390966
565.274922,281,814.452474
712.519217,396,817.475096
-16.03824,1,817.504806
897.510532,475,821.261272
564.870718,290,823.413964
98.527257,99,824.145674
1080.548499,575,828.637385
565.215834,286,834.479491
1078.062408,594,839.116787
266.801393,229,840.824463
266.411041,209,842.484647
713.762451,359,845.126817
755.812867,413,848.314637
414.136068,302,850.519549
713.168104,362,855.831856
1080.409057,579,860.260571
755.506342,463,863.922809
753.113309,463,867.441885
107.641084,117,868.293308
411.387997,297,870.550907
565.352368,272,872.592082
334.06284,335,878.064456
55.82048,84,878.683521
60.791798,90,879.337395
63.747343,82,879.968342
564.288495,276,882.06338
89.967335,97,882.859713
754.327432,441,886.1825
565.731469,287,888.332027
74.347671,83,889.014863
98.03563,100,889.848039
505.685054,236,891.676392
413.821615,287,893.937061
505.879668,229,898.271811
406.942028,287,900.457995
1080.086373,562,904.758305
712.809927,354,907.401706
63.546381,89,908.105023
15.119531,38,908.425409
324.314789,252,910.319196
504.925034,242,912.202539
59.149044,88,912.868523
564.645634,274,914.992379
413.593076,297,917.258101
896.506237,428,924.20943
565.114683,285,926.331833
713.602599,357,929.088113
61.567024,93,929.789407
1079.736259,593,934.496608
756.154316,418,937.759699
713.272282,359,943.089114
297.529981,205,944.738472
115.700509,106,945.565991
565.018607,281,947.838877
564.879722,270,949.928943
713.078192,352,952.605094
456.139718,339,955.207473
937.573011,492,958.962562
565.380531,268,960.970408
566.541679,263,966.746235
896.850639,446,970.149163
58.33656,79,970.755279
413.937363,289,972.912158
897.141713,424,976.130466
99.692399,104,976.905274
714.032831,322,979.408597
210.613632,190,980.841186
898.451451,402,983.840019
758.622536,382,989.946362
118.23806,110,990.795162
119.23114,111,991.691772
266.09784,184,993.15878
1084.238089,506,997.046469
565.231514,270,999.135328
505.066187,231,1000.870496
370.756041,266,1002.849854
