#{"t_start": 1778072424.5374599, "env_id": "None"}
r,l,t
0.275383,661,6.294986
6.812284,235,8.184908
-9.126246,105,9.076132
-11.310865,279,11.178587
5.747965,574,15.711442
-28.184131,1060,25.169446
3.214679,271,27.214503
10.116543,335,29.770307
-1.041599,110,30.688674
-7.369919,100,31.414763
1.08213,104,32.3512
3.89344,63,32.866078
-16.045643,1,32.899419
-17.857817,599,37.542557
-3.876763,69,38.132525
-55.33167,1500,54.646628
-92.327048,1500,69.020094
-53.442963,900,75.550097
-70.109967,600,79.99267
-89.028968,1200,92.9276
-67.111214,1500,103.76945
-26.516804,393,106.646522
-30.534733,714,116.724782
-11.613071,298,118.869765
20.758444,1359,128.954464
51.814743,549,139.370188
33.825814,834,145.519746
0.331397,602,149.976427
35.693278,320,152.36435
41.243312,648,157.114449
41.793686,241,168.061078
-45.820887,600,172.604819
0.245577,854,178.894657
93.039196,65,179.375607
47.91673,594,183.74347
17.278325,71,184.290196
-8.067126,1,184.321472
-82.396178,900,198.932728
177.034852,727,204.362633
9.015658,55,204.787027
34.172008,1144,218.343847
-6.021669,1200,227.121805
9.792457,698,232.348953
-34.238649,1012,248.746305
62.900816,395,251.841816
4.634872,38,252.135682
16.813402,63,252.654541
63.208733,368,255.326001
-5.750837,31,255.625841
88.600504,603,260.047609
203.099359,476,270.064942
123.767793,273,272.077831
250.999703,914,279.164107
74.770286,160,280.341884
5.483878,29,280.572112
66.388251,277,282.660375
16.829941,318,285.08088
48.659111,136,286.079009
6.365285,34,286.342069
34.237771,151,287.459637
49.555764,93,292.520557
67.883424,176,293.886808
-11.552833,600,298.402761
62.816019,335,300.844745
21.127499,600,305.266023
20.168897,540,309.37695
11.926087,33,309.659107
48.260549,109,310.476982
56.378459,600,318.701477
17.987011,44,319.04255
109.032741,206,320.624572
-7.200029,600,325.31538
28.791102,367,328.145953
4.865435,26,328.362167
39.937926,254,330.249028
-3.253105,16,330.427839
43.160871,240,332.408356
6.64878,27,332.641766
12.186856,35,332.976365
23.533065,49,333.351527
43.664292,184,336.043356
-3.341812,14,336.188714
8.355351,33,336.474938
41.746528,77,337.07353
124.942838,231,338.934865
31.650611,66,339.47952
16.92781,51,339.96884
49.034934,169,341.344353
18.531567,40,341.677697
175.396092,426,344.897421
236.32248,488,348.575383
84.422186,230,350.360498
50.598058,166,351.689674
76.553864,297,353.907757
81.750763,304,359.014473
81.126028,238,360.802345
28.069118,369,363.519471
101.438122,900,370.396134
89.349672,219,372.022078
38.472539,83,372.64445
18.952339,409,375.748159
120.462396,455,383.419528
39.6731,134,384.419185
71.686591,168,385.888082
105.75179,320,388.309213
76.421301,202,389.903005
79.884485,234,391.730095
114.826812,205,393.296571
176.502326,441,396.68914
34.08701,157,397.876563
4.474006,39,398.206275
225.357581,331,403.428839
4.570462,40,403.766112
63.586152,316,406.271924
79.377456,173,407.549666
137.27524,344,410.230104
86.614919,209,411.78883
84.479282,240,413.643561
75.88251,196,415.197236
77.108052,286,417.377878
36.201294,152,418.571296
39.087841,135,419.714996
214.881333,403,424.977663
229.876229,386,428.031194
246.04794,441,431.267338
75.834034,238,433.074636
17.790612,53,433.512589
116.625726,250,435.378295
224.39924,444,438.741468
200.269051,356,441.422723
125.018394,323,447.863825
-4.738826,12,447.974384
4.65791,33,448.2406
52.519465,105,449.037162
214.387852,345,451.642867
203.38,335,454.111597
4.45316,43,454.437392
289.872658,504,458.474445
110.832835,179,459.852147
17.126995,60,460.380509
30.835613,101,461.262716
117.799059,219,462.898822
87.031116,189,464.530735
259.358773,395,469.492022
261.174228,375,472.46917
249.683096,377,475.337717
112.403955,251,477.392711
374.895721,648,482.457833
80.58695,161,483.729931
225.740754,372,486.825904
112.998689,249,488.747997
117.720426,213,493.949147
375.097744,619,499.108386
68.580012,120,500.063978
81.754734,168,501.349884
197.03143,312,503.862411
226.068419,353,506.658816
69.72718,119,507.630803
4.577775,32,507.903222
264.461908,310,510.472501
162.096211,331,515.611662
244.671169,382,518.59526
755.372563,822,525.078119
228.761652,353,527.728077
127.993117,225,529.448689
373.004274,623,534.462612
129.325102,216,538.043036
228.774755,361,540.795909
-16.045273,1,540.841902
89.916034,142,541.986332
448.707848,689,547.74583
120.340275,191,549.287621
313.063913,423,552.728944
91.379068,118,553.740924
243.738769,470,560.501183
67.807817,99,561.376702
269.559405,341,564.217135
697.599737,841,570.780523
695.170188,833,577.400954
37.824801,88,578.075316
486.937205,568,586.374398
292.414202,350,589.072568
83.138463,107,590.041606
343.721487,475,594.081161
67.259746,100,594.89922
39.337495,90,595.645471
263.745346,281,597.909906
270.960954,293,600.356937
702.200186,825,609.954876
122.180584,158,611.242797
210.415339,226,613.10009
-4.78773,12,613.214875
359.042452,446,616.810066
91.565959,120,617.770936
217.86357,222,619.489286
-5.203096,15,619.623813
249.517831,259,621.647077
318.441081,345,624.194696
91.555387,114,625.100989
116.921936,154,626.32638
217.970328,218,630.656231
773.00703,757,636.390301
208.03976,234,638.22191
252.971165,297,640.554778
870.114179,856,646.983067
55.990363,80,647.582613
455.971335,460,655.428126
327.465591,301,657.789784
319.821688,319,660.220067
88.773032,104,661.005853
65.488509,96,661.735645
92.670633,129,662.717025
217.501471,220,664.370096
283.505087,311,666.703065
129.739193,143,667.818613
714.860048,620,674.856068
113.553587,124,675.874804
-7.961969,1,675.905106
318.107447,273,677.942211
139.563538,157,679.154747
207.965322,212,680.799086
56.143367,75,681.398647
39.478205,57,681.853786
76.611944,97,682.625021
40.363499,66,683.122441
336.051717,295,685.395701
316.004148,272,687.502614
356.517239,322,689.94115
64.684577,86,690.616842
967.664276,557,699.541326
1166.159662,891,706.442879
207.284261,215,708.012819
1170.679719,810,714.257766
269.219721,275,716.349736
112.718512,138,720.952591
205.912382,229,722.658339
261.956373,270,724.702257
875.400016,752,730.340541
1172.610701,763,736.072685
92.68959,95,736.765347
966.246138,564,745.705848
316.479188,245,747.629072
257.102524,248,749.475726
558.221764,421,752.620904
255.691757,258,754.727886
964.939792,530,758.709253
964.94625,538,762.727835
605.464582,313,768.244141
410.237281,313,770.590693
78.837047,80,771.24259
808.440326,616,775.976458
305.406468,268,778.020008
1171.696972,721,783.406008
258.904968,215,785.067089
304.314304,278,790.962083
560.078884,397,793.961051
1172.153979,699,799.191054
966.043752,503,803.031742
602.965559,342,805.595709
477.205563,343,810.922127
288.536368,260,812.937178
311.006758,293,815.143975
447.682679,313,817.518896
527.619748,352,820.248544
966.167012,499,824.003531
303.084104,246,825.846496
60.564572,74,826.452489
303.204592,247,828.290294
479.774434,344,834.382857
1173.898512,653,839.262779
814.800147,477,842.862295
298.551326,220,844.603136
-16.077648,1,844.633257
435.834932,300,846.966756
370.634483,284,849.220963
249.40023,214,850.888073
364.668684,258,857.470714
877.023175,563,861.686921
65.758578,89,862.414843
53.550223,82,863.08348
114.422238,104,863.871473
671.640942,440,867.210763
606.350121,297,869.487561
1176.211968,631,874.274598
604.714454,298,879.435818
479.042754,320,881.801793
968.207744,489,885.558194
968.718692,487,889.254297
172.982922,154,890.437685
605.028163,286,892.595622
817.004689,427,895.831565
817.031036,428,903.115743
969.02296,486,906.836466
