#{"t_start": 1778018210.9750834, "env_id": "None"}
r,l,t
-7.606788,224,2.963457
-0.706594,117,4.078696
0.487428,655,10.517187
3.274184,370,14.190564
-16.39521,485,18.333686
-3.314907,363,21.413809
6.51501,329,29.072926
-1.478082,168,30.622488
-16.077706,1,30.660172
-10.697737,33,30.970668
-8.451488,60,31.536725
-16.811985,507,35.514015
-23.380867,654,41.710374
-43.951408,751,48.353248
-56.099262,900,60.985123
-80.711249,1500,75.572224
-62.477259,884,86.039223
-48.490712,600,90.649759
-92.466935,1200,100.619453
-43.892102,600,109.389834
-65.404364,900,117.177384
-46.949543,600,122.57357
-32.682893,600,131.669513
-7.875501,46,132.185766
-8.036432,1,132.224635
-5.851245,44,132.680768
-108.068315,1200,143.143545
-62.064854,600,147.837214
-7.648292,511,151.836977
-44.611416,1200,169.571239
-95.863281,1200,180.073948
-57.218145,600,191.553949
-8.664367,227,193.901803
-70.049382,1200,204.137943
91.136057,1500,223.697707
-5.25799,381,227.344362
-3.101983,600,232.253268
-10.217313,171,233.834754
14.081479,600,244.807351
19.446194,900,253.421652
9.429323,208,255.580284
11.701453,113,256.761173
3.515453,255,258.963959
24.922675,128,260.053027
-28.028181,600,264.955654
-33.570597,600,273.741624
0.015625,286,276.158841
32.766945,112,277.096571
17.113259,69,277.771856
-5.13741,13,277.903583
4.195093,39,278.317965
8.730023,139,279.656161
11.374559,356,283.09028
17.20964,275,286.128117
11.564415,351,289.472094
0.761944,344,292.63896
-51.239875,600,301.066551
38.67687,490,305.174487
-16.290108,392,308.212246
22.144137,311,310.754542
15.324223,112,311.684553
19.627553,157,312.948545
-0.415707,275,315.092387
7.846376,148,316.297309
13.652273,190,320.354132
54.608853,365,323.280481
13.516908,175,324.745528
13.577248,77,325.37887
41.100577,352,328.273937
13.93605,142,329.371987
8.882015,44,329.743194
17.729802,173,331.066481
3.679617,207,332.730867
-46.606819,600,337.46363
26.218239,98,338.259163
-46.709793,600,345.769332
-2.379931,190,347.300318
5.543484,231,349.127134
19.462045,108,350.001681
16.205453,104,350.877034
14.312262,121,351.901438
-27.05271,470,355.801766
-16.071647,1,355.833182
28.890537,396,358.872657
21.065069,80,359.512187
8.351076,532,365.449185
20.898517,125,366.430532
29.159335,186,367.879775
50.330271,171,369.256783
55.832759,600,373.971889
18.230468,348,376.623958
44.637749,247,378.569058
73.61293,305,381.019785
31.606409,260,383.172955
70.880884,316,387.474573
16.969035,111,388.564746
28.411458,600,393.800318
72.819571,294,396.262579
-8.400767,600,401.216336
-41.671215,526,405.613123
10.93178,33,405.950881
15.685889,154,407.226193
44.774877,154,411.687851
83.994752,238,413.636082
52.350137,137,414.749878
25.645968,94,415.51304
101.150799,253,417.54737
21.468166,72,418.217421
-56.406291,600,423.008995
12.933945,384,426.040139
42.64681,160,427.271264
164.443572,900,439.700884
10.991018,134,440.801282
66.927105,143,441.986793
9.838351,122,443.020494
46.364302,203,444.716151
99.219018,169,446.207247
78.855206,144,447.409425
78.140757,188,448.914001
111.594186,307,451.391931
180.254881,333,454.110142
23.045042,53,454.534777
12.908648,600,463.03106
45.087241,104,463.863734
21.473652,56,464.334413
105.135699,900,471.500899
24.539307,79,472.132368
13.764272,68,472.664551
187.433034,362,475.674656
33.079611,68,476.225039
67.399767,107,477.086701
44.891863,99,477.904421
145.129438,900,489.330115
105.652403,148,490.637902
22.084335,63,491.189378
47.895926,117,492.170188
21.923403,48,492.593499
14.564369,56,493.057889
14.51247,600,497.714694
226.246226,389,500.966347
202.319189,290,503.363386
111.884241,161,504.744029
37.607481,84,506.748646
99.316289,152,508.139001
105.241002,209,509.827848
194.928711,314,512.526394
45.221193,110,513.404156
23.893765,86,514.203736
95.986546,149,515.466276
45.619463,91,516.247607
14.352462,55,516.690967
220.155212,380,519.956758
105.10633,143,521.189363
-16.031507,1,521.226111
203.367685,285,523.573879
98.421637,195,525.169732
73.49612,154,526.388903
17.765801,70,526.965368
99.157743,208,530.663286
14.201779,60,531.296021
196.802231,283,533.616488
99.988904,194,535.322965
45.788612,98,536.127765
14.085899,63,536.703295
119.524943,239,538.65816
47.803016,100,539.510931
99.587533,205,541.265628
101.491341,179,542.819593
99.44042,197,544.492149
114.293663,202,546.174677
104.744565,160,547.476616
112.877572,214,549.270832
11.642832,600,557.363844
94.522305,170,558.775064
113.83632,204,560.513575
221.510426,334,563.269843
120.769585,230,565.116204
98.287158,206,566.815337
103.977531,183,568.241122
194.576297,300,570.715111
13.725797,69,571.267877
195.256885,286,573.554865
194.748803,263,577.342947
31.371943,333,579.967977
106.52009,177,581.386575
109.518214,181,582.842211
178.460515,600,587.469857
13.908768,68,587.979425
183.478311,281,590.229176
93.57102,325,593.103364
46.564681,87,593.846527
-16.021711,1,593.880096
88.378694,519,601.661623
113.940702,281,603.934986
44.750798,93,604.691323
46.716248,88,605.397744
206.828496,298,607.867025
45.2168,102,608.681607
196.15193,248,610.956816
204.237682,251,613.559047
216.073287,285,616.769077
206.990193,280,619.83715
173.867514,234,622.093121
47.02134,79,625.455209
112.550594,386,628.918282
79.556372,134,630.204044
133.690312,585,635.506055
182.677711,270,637.625127
204.550232,222,639.451772
339.213977,490,643.383879
-8.03659,1,643.414624
46.912454,74,644.156625
46.225988,85,645.118673
14.275305,59,645.748955
181.391728,210,652.158937
279.610524,321,655.001302
175.153151,197,656.66012
280.693424,311,659.350976
45.434432,89,660.145572
197.296911,199,662.047028
207.658085,243,664.35445
286.386374,326,667.423782
79.904324,124,668.607572
209.392368,245,670.909932
58.559704,111,671.967538
46.732776,77,672.590371
342.176671,381,677.935281
65.246965,128,679.311865
59.40004,103,680.492115
148.480596,225,683.015344
55.287512,97,684.055221
238.955453,233,686.351712
46.819944,74,687.014592
240.487187,221,688.91163
280.978693,307,691.535171
344.749744,344,694.394163
81.032159,117,695.366314
278.886146,286,697.700685
237.272377,218,701.732935
679.10082,627,706.852472
35.065041,69,707.486351
72.527159,102,708.48902
47.166501,68,709.254222
147.269259,195,711.414547
49.028736,83,712.310631
133.183004,222,714.759418
80.177878,132,716.195206
342.238855,338,719.137127
111.705239,213,720.960007
114.940687,178,722.473309
285.295854,293,728.069164
-8.029006,1,728.100448
79.827978,125,729.253659
47.573036,70,729.906713
58.25009,83,730.687452
240.609142,214,732.736438
79.961837,119,733.79514
100.465472,142,735.081667
887.620118,568,739.775707
59.722324,93,740.604741
320.092542,327,743.88114
708.143831,448,748.405048
286.159963,294,754.626874
113.92651,195,756.150397
64.056401,77,756.778755
80.785091,113,757.681041
283.769731,241,759.682836
114.964543,154,760.965768
59.579306,92,761.77241
63.417411,77,762.505557
71.444152,89,763.31938
50.039005,205,765.212978
890.535104,525,770.034261
79.442349,107,771.171834
221.336838,279,773.793725
258.827845,228,776.171623
286.949518,268,781.301994
129.202594,141,782.513371
61.208531,89,783.337802
285.351626,227,785.370358
286.507445,225,787.367786
287.047665,256,789.61934
259.2394,270,791.953633
-8.06388,1,791.997229
218.497782,266,794.197735
841.022143,655,799.408296
562.022828,320,806.021986
104.133244,133,807.195533
562.267934,349,810.711239
711.39685,363,813.806753
644.442653,416,817.420711
266.913614,227,819.598628
691.905773,471,824.104217
232.260472,186,825.86028
-16.045483,1,825.892365
565.550094,301,830.005057
237.007702,184,831.691725
106.01874,114,832.786002
33.564009,80,833.676424
50.646562,81,834.578576
230.875059,211,836.850266
34.951868,74,837.627799
57.254066,91,838.425974
235.716423,209,840.216421
33.712794,70,840.823277
564.330009,303,843.498312
311.40941,231,845.422519
-8.00919,1,845.465785
321.886831,249,847.495428
1075.563042,631,855.907956
712.653695,355,858.798772
693.206911,486,862.696992
303.271555,233,864.836195
563.765588,306,867.787077
1076.045714,599,873.8609
899.018505,428,880.62056
105.149273,114,881.730108
713.343128,346,884.904708
111.084399,118,886.069689
317.775714,229,888.250771
82.720575,92,888.970986
26.884324,54,889.424031
898.934609,438,892.970263
567.211492,282,895.456156
81.859915,98,896.499933
315.076611,229,898.942542
34.420296,73,899.783342
318.713581,229,902.182932
499.717354,352,907.714506
299.343468,194,909.332817
296.775079,215,911.12207
566.867528,283,913.749595
47.294807,73,914.417055
110.043942,110,915.509577
714.547823,355,918.796849
899.316531,425,922.69513
901.006446,413,926.415525
350.445133,231,928.880011
223.777887,200,934.815666
124.455264,121,936.030067
507.556251,239,937.999537
231.51744,205,939.673238
566.740602,283,942.046782
144.191571,139,943.224454
238.406624,201,944.846866
333.456438,262,946.999203
231.781973,202,948.684036
263.507348,226,950.497844
107.372207,111,951.387886
898.900334,426,956.859815
716.570697,344,960.409369
274.854737,188,962.432389
57.931561,90,963.432682
567.166025,270,966.396242
601.081844,363,969.490619
34.872206,78,970.248976
296.269037,226,971.992268
109.887489,102,972.857127
111.78998,118,973.930489
59.469457,88,974.744373
756.292034,410,978.501887
59.640762,81,979.236367
568.562381,278,984.916603
715.381081,347,988.069552
40.796014,59,988.618916
3.646492,25,988.869046
1081.809052,523,994.374254
715.630123,353,997.949883
290.942394,195,999.685694
567.958418,267,1001.917148
499.329983,345,1004.726182
566.976184,266,1009.276909
414.549447,284,1011.517473
247.484044,204,1013.190453
146.509756,127,1014.244926
1081.245657,570,1019.380822
452.547608,328,1022.788593
280.71649,218,1025.154012
713.758554,361,1029.064066
505.891191,246,1031.265524
412.850305,297,1036.502763
414.509185,293,1039.132143
1082.174562,536,1043.782226
323.104898,241,1045.729844
412.103839,307,1048.117903
716.97233,341,1050.86492
1083.417926,522,1056.192381
112.939283,108,1061.028874
239.46765,196,1062.630525
188.88192,157,1064.058981
716.871495,334,1066.879867
60.6368,85,1067.598514
54.994829,90,1068.424817
-16.065235,1,1068.458427
430.925907,299,1071.34107
60.216362,75,1072.062155
152.627301,131,1073.336279
233.608252,198,1075.228969
314.290183,219,1077.236892
1081.657295,520,1082.022863
898.805434,420,1090.639673
1082.964748,536,1095.935891
238.947426,196,1097.578152
1082.027536,551,1102.148986
46.252674,68,1102.738425
566.445529,260,1105.202774
1083.218779,516,1109.360048
239.80245,200,1114.253714
714.597658,332,1117.320065
714.942931,352,1121.05187
57.172287,85,1121.984508
149.783901,127,1123.367911
57.963177,83,1124.271518
46.213799,68,1124.940598
112.844102,103,1125.931073
1081.739096,554,1130.642401
567.250466,259,1133.036978
898.245471,457,1139.905197
54.531895,90,1140.689549
567.075172,277,1143.186861
899.619805,448,1147.032707
14.973856,43,1147.3838
116.199981,113,1148.45489
344.770603,245,1151.061089
760.049391,373,1155.102281
56.294896,84,1156.025685
900.572742,432,1159.792461
898.175939,447,1166.706325
414.44859,285,1169.16602
759.777397,355,1172.413886
1083.057286,512,1177.064426
267.45747,201,1178.931819
238.886091,188,1180.791818
714.730924,338,1184.434904
757.6544,386,1188.638614
567.846268,272,1193.595756
57.74535,83,1194.343482
899.85257,418,1198.090411
275.785359,228,1200.107333
759.102892,383,1203.622099
118.869458,105,1204.54385
276.073761,227,1206.311509
939.301283,476,1210.054832
57.723726,80,1210.697668
898.224614,461,1218.892681
715.644643,326,1221.986449
898.303227,450,1225.828115
717.144564,333,1228.772041
1082.546447,536,1233.719458
758.320088,394,1237.184498
1085.662368,509,1244.836513
715.510362,346,1248.612887
714.746583,353,1252.426879
239.536543,186,1254.096452
218.245725,166,1255.507187
116.168886,112,1256.437068
566.065543,254,1258.596589
898.343764,439,1262.490001
1081.497404,531,1269.971752
565.735092,253,1272.013561
1081.004267,536,1277.008442
505.679921,232,1279.540137
566.853297,272,1282.583539
758.081398,375,1286.084528
566.969873,278,1288.469423
506.393115,224,1290.482276
61.680793,90,1291.327744
716.463794,342,1297.465696
714.634064,347,1300.648484
1082.607807,540,1304.968549
714.664519,339,1308.264609
506.916548,224,1310.612493
507.3901,224,1313.024536
416.636638,259,1315.62957
414.603627,287,1318.069927
506.270624,223,1323.125872
1082.136917,533,1327.424231
1080.687758,552,1332.532155
716.383348,343,1335.404366
149.379775,126,1336.462155
220.043831,169,1338.036594
57.921156,80,1338.946042
758.075477,382,1343.073109
940.077819,448,1350.49568
628.169677,403,1353.966291
897.525741,437,1357.669395
58.71953,80,1358.334295
59.158901,72,1358.941806
566.262069,259,1361.024503
756.485486,364,1363.910173
470.31004,342,1366.58861
261.79668,192,1368.176085
1082.904303,540,1376.716527
279.160549,231,1378.706267
898.02413,433,1382.481913
714.548451,320,1385.371433
246.625462,185,1387.141329
566.490078,247,1389.435993
244.622894,204,1391.352667
296.27108,209,1393.309864
507.070482,219,1395.272601
505.634499,227,1400.60421
897.489315,442,1405.148762
61.148421,86,1406.082348
115.300222,111,1407.238285
1083.885655,497,1411.911958
715.932504,323,1414.565517
565.595474,265,1416.730783
716.075428,331,1419.35974
1084.028066,507,1426.069448
758.699111,372,1429.180912
258.821663,206,1431.056543
505.578702,224,1433.293204
507.014015,228,1435.515348
1082.639311,516,1440.84635
61.456599,92,1441.657712
898.708038,416,1445.244616
758.902239,354,1451.412145
941.211061,436,1455.495019
899.341428,427,1458.884174
757.177028,370,1461.76432
1084.7274,498,1466.764406
506.455049,224,1469.023638
297.724353,201,1471.195764
758.637027,350,1477.318326
899.141096,422,1480.86326
899.181212,412,1484.739064
58.716783,72,1485.409561
258.276908,204,1487.327363
899.341021,407,1491.071501
339.84515,234,1493.248817
900.021684,417,1497.546322
1083.366963,496,1505.390925
58.322428,84,1506.140697
611.54822,385,1509.435988
566.671689,258,1511.526951
566.033237,237,1513.493249
941.398418,429,1516.878859
942.057789,435,1520.376322
715.734406,332,1523.0451
61.531919,92,1526.368452
474.103908,319,1529.719483
321.914309,213,1531.942674
506.325186,227,1534.059138
716.989713,324,1536.775557
415.40758,275,1539.094696
506.271616,221,1541.030577
1083.980072,526,1545.87005
1086.16294,491,1553.158714
506.959187,227,1555.220438
1083.992773,510,1560.142675
942.391233,447,1564.800955
901.510809,402,1568.106758
758.340187,360,1571.085319
900.052074,414,1577.442911
715.653754,326,1580.18288
59.543287,76,1580.892402
714.846682,331,1584.032948
449.356098,306,1586.827767
432.291134,286,1589.697343
263.927765,209,1591.992249
758.17853,367,1596.005106
568.085713,257,1598.55766
59.651962,79,1599.246784
506.819392,227,1601.200277
341.214749,245,1606.065305
758.656521,370,1609.260848
1085.2217,487,1613.183508
506.739637,220,1614.932104
407.445271,270,1617.086359
565.901356,253,1619.019646
1086.145104,503,1624.262574
1084.016787,507,1632.64215
623.762874,376,1635.868989
339.408319,235,1638.107545
568.517354,252,1640.442977
1083.785944,513,1645.190201
900.099593,399,1648.874086
506.367358,235,1651.046485
-8.059978,1,1651.078239
1085.584135,503,1660.435162
757.877159,349,1663.607748
613.083785,386,1666.72424
899.376992,398,1669.944245
1085.092202,499,1673.974446
759.840563,341,1676.678705
506.29377,226,1681.52689
505.722719,224,1683.591575
899.89972,415,1688.036956
791.314096,468,1692.856626
940.68018,438,1696.586703
567.439739,256,1698.784544
283.074204,219,1700.771172
759.740185,351,1704.172911
758.632112,357,1709.493952
792.448605,475,1713.271764
758.783896,344,1716.363915
715.794763,335,1719.780966
901.501493,403,1723.926698
716.43103,328,1726.601786
233.198348,174,1728.087384
758.306399,373,1735.174209
941.190085,454,1739.405894
899.458224,414,1743.126766
717.291591,317,1746.000729
289.753909,185,1747.912739
1083.903832,506,1753.358934
506.930408,221,1755.747776
478.922674,319,1761.411724
506.366077,229,1763.306736
62.742286,74,1763.974139
1085.242648,499,1768.212572
788.768811,480,1772.01661
1085.305924,486,1775.823605
758.563344,354,1778.961976
714.949112,335,1786.33782
60.522564,78,1787.006895
293.60931,194,1788.646485
715.951833,320,1791.373451
939.461312,452,1795.472115
474.281016,331,1798.408518
898.758165,423,1802.285738
57.069758,93,1803.13329
54.345021,89,1803.982402
901.170085,414,1807.699409
1082.292728,525,1817.213358
1084.005564,509,1821.666152
-8.063108,1,1821.697897
899.840573,402,1825.034046
506.282859,221,1826.855909
408.39384,263,1829.099984
567.129397,256,1831.293847
941.949228,425,1836.942262
1086.534286,489,1841.641388
58.279815,82,1842.547709
1084.343873,523,1848.207299
898.258889,437,1852.179583
716.627982,326,1854.893973
480.244222,315,1857.675502
759.892305,350,1864.286859
716.127892,318,1866.955729
566.991166,262,1869.03544
567.021987,251,1870.959655
567.187664,250,1873.473411
504.957018,225,1875.851287
758.896427,347,1879.547233
716.806755,315,1882.37566
