#{"t_start": 1777940032.9950325, "env_id": "None"}
r,l,t
-5.561491,33,2.827623
-9.194579,920,8.658715
-3.854778,309,10.975956
-1.297661,31,11.219707
-0.419588,202,12.723742
1.156441,307,15.039067
-16.055662,1,15.072389
-5.381019,906,23.737489
-2.777209,81,24.428756
-4.56457,43,24.764886
-1.95835,489,28.432616
5.136657,672,33.767431
3.800242,37,34.049677
-35.491447,1500,49.921976
-1.047542,143,51.000888
-8.034978,1,51.031492
-22.006997,702,56.270038
-66.05058,1500,70.818944
-16.056501,1,70.851444
-87.686837,1500,82.023358
-93.112002,1500,96.715515
-12.125542,66,97.215365
-30.907819,300,99.450948
-20.785198,300,101.739929
-28.81356,600,106.145091
-97.934681,1200,120.458773
2.361057,48,120.831689
-0.538899,84,121.477502
-3.976777,423,124.820412
1.760805,46,125.197088
-17.13055,473,128.821477
-12.436793,449,132.289101
-5.226203,180,139.680049
-17.906565,456,143.202417
55.08022,250,145.24425
13.902856,44,145.600981
5.211875,42,145.933996
-4.326772,547,150.161615
-26.469841,300,152.526724
13.118463,75,153.123039
8.197245,315,155.55216
24.741154,175,156.876044
20.203462,600,163.008431
-37.501515,600,167.751676
22.034614,84,168.468134
59.218573,242,170.346161
21.11842,295,172.654696
20.575113,141,173.789955
-57.840413,600,178.416587
165.822246,1500,193.896534
32.983364,600,198.431272
-9.795238,600,206.187875
-16.068311,1,206.22493
52.430972,111,207.098775
84.008994,195,208.624626
188.690728,277,210.764538
61.775364,181,212.201821
5.052817,88,212.883009
17.828296,85,213.553517
64.690835,151,214.767104
2.366422,310,217.178842
21.745115,98,217.968494
20.774672,117,218.86263
78.799376,246,220.669828
15.266106,161,221.888865
3.0868,38,222.208949
-15.385088,436,228.765987
20.4253,141,229.835422
-61.466084,600,234.444631
6.798312,600,238.969732
195.315018,289,241.101586
2.056656,600,245.645744
-6.369336,16,245.773088
29.610115,77,246.463413
53.331793,110,247.308192
50.304655,97,250.550467
18.277221,600,255.336907
79.13246,154,256.529328
26.397263,82,257.204773
-8.046329,1,257.240168
-62.948148,1200,266.411827
95.96521,171,267.736501
141.955685,216,269.463596
13.000062,83,272.667656
12.872686,68,273.224061
79.377071,137,274.424276
43.698582,135,275.509798
77.887746,180,276.897712
-18.218589,600,281.5303
13.38587,68,282.045072
46.453942,108,282.858152
13.25424,63,283.368891
-53.675465,600,288.118058
89.00169,150,289.254593
-14.269406,600,298.503148
58.247968,141,299.570384
-7.00261,23,299.759954
61.34725,600,304.330292
103.289818,187,305.769306
63.202241,217,307.388717
72.766593,328,309.929583
21.755863,70,310.46446
75.773435,224,312.151007
9.246933,48,312.526371
44.099033,139,313.6606
56.200505,600,319.94508
25.454529,900,326.788104
60.035817,600,331.421286
49.161252,600,335.932304
12.91371,72,341.117965
-8.032796,1,341.149813
45.258172,123,342.142094
55.024075,600,346.71727
142.041966,900,353.532885
7.573579,600,358.048037
154.186707,600,366.429138
47.681222,600,370.965273
45.766499,101,371.747505
49.008932,600,376.288075
213.155842,407,379.373936
2.276893,600,387.896042
44.36422,600,392.422776
43.040896,86,393.115262
215.531653,356,395.829547
162.072488,532,399.939169
47.279388,95,400.645236
19.468929,128,401.65536
-6.035519,14,401.777011
171.165538,600,410.082435
45.026832,139,411.211989
48.84662,112,412.04611
174.325715,224,413.84423
0.933656,600,418.640412
151.538269,565,422.96202
136.956203,600,427.540609
52.05986,600,435.300003
-5.861702,15,435.435526
-6.555726,23,435.619865
87.985707,275,437.802131
21.696014,85,438.455869
108.523815,159,439.635138
358.887494,1160,448.392106
283.234749,640,457.121598
108.104667,173,458.485109
2.173351,50,458.890219
214.461788,316,461.355602
-6.157048,12,461.461716
51.441381,680,466.622944
2.220304,600,471.032678
1.961324,58,471.488866
46.256386,129,472.504447
45.929431,87,473.203257
108.612322,148,474.39113
288.81218,523,483.684119
95.930455,184,485.159049
48.454212,94,485.934692
204.76223,237,487.685305
399.950481,812,493.807253
40.571008,355,496.561011
101.043169,192,498.0177
287.495111,541,508.173668
205.749321,236,509.957127
49.182981,87,510.61512
630.09198,1500,522.082841
50.140921,85,522.727384
-16.035427,1,522.759432
95.770093,198,526.719846
7.682975,155,527.993043
136.93407,478,531.627904
50.592184,88,532.302932
-6.861489,21,532.50262
92.369191,113,533.471933
136.990057,600,538.065493
56.491543,91,538.756556
196.842993,221,540.454877
9.415224,132,541.570285
175.623001,461,545.160958
178.525315,206,551.979818
206.16109,240,553.843065
205.227349,230,555.586354
302.494176,669,560.734022
74.816375,105,561.575542
206.689747,234,563.418068
211.032824,249,565.365609
206.156755,221,567.074152
98.159832,128,568.124939
49.600069,76,568.759224
182.607263,211,570.358871
50.396112,74,575.320177
198.068234,219,577.090667
198.342698,213,578.725825
13.338144,82,579.410934
198.094207,206,580.991925
209.142239,238,582.82614
615.322428,1168,591.868358
72.789882,132,592.93379
209.546988,235,596.827682
69.579057,98,597.603516
-8.029695,1,597.636704
70.053323,110,598.526398
101.841862,140,599.648748
14.13273,590,604.231529
399.770394,709,609.67504
70.215251,98,610.453817
175.851704,194,611.990115
107.904094,160,613.238135
177.50938,203,614.795323
95.563704,185,618.267199
73.270999,135,619.323723
220.55113,246,621.32456
69.919952,91,622.021638
46.697815,72,622.602263
46.492557,73,623.232946
44.652405,73,623.901056
45.009525,71,624.455741
68.282718,93,625.262551
119.097306,186,626.719052
400.612049,685,631.960847
341.357332,540,636.11597
246.421851,351,644.265324
49.153913,83,644.9132
14.35594,46,645.283313
252.04027,358,648.025032
235.45268,290,650.233765
559.29077,511,654.106253
234.623364,306,656.389962
215.444997,279,658.587869
143.331434,211,660.163527
211.119576,244,662.035805
197.699393,209,666.017505
15.193356,203,667.647332
3.787356,600,672.283522
251.523141,360,675.062831
1065.811956,1323,688.062725
140.227006,205,689.616742
200.557409,234,691.503957
97.298605,118,692.432952
409.718664,564,696.759792
116.938805,184,698.157694
265.29853,372,700.991104
321.257319,448,704.426846
186.111618,315,711.540516
1.058962,600,716.066102
239.31809,350,718.743313
145.034311,197,720.253644
-16.05307,1,720.292111
114.820726,166,721.539649
377.782345,579,725.976338
253.658185,359,728.695057
230.356205,307,736.939237
14.395381,37,737.300336
502.590712,438,740.611938
25.458461,71,741.166739
226.119167,294,743.381892
188.510769,235,745.138175
501.896043,416,748.328036
118.331626,163,749.588692
561.339924,494,753.326209
390.939007,500,760.839855
15.801169,38,761.157261
560.27786,530,765.301762
630.111649,943,772.540046
117.004396,175,773.892823
188.988329,238,775.763595
294.622325,356,782.613209
375.827839,570,787.139959
14.05593,50,787.549763
624.514717,952,794.737135
886.355821,788,800.656728
559.848946,497,807.924169
321.009851,455,811.423203
224.57375,265,813.464644
-16.03779,1,813.497291
522.684469,720,818.960796
745.888837,828,829.667932
409.782705,562,833.921422
34.410111,87,834.587522
264.602359,368,837.491843
710.4914,576,841.786528
14.619839,34,842.069437
712.959668,532,846.031684
254.968986,327,854.764897
561.91047,472,858.420365
247.496746,236,860.171926
711.079443,559,864.381366
14.877412,30,864.619723
503.221162,386,867.530481
14.528584,36,867.832609
330.090242,408,870.912327
97.612159,111,871.822966
563.301349,439,878.778259
55.102947,122,879.741259
14.908885,32,880.000275
241.559418,230,881.755316
5.909829,24,881.955442
713.751993,517,885.950954
26.154325,58,886.411736
751.098073,729,891.962141
242.657161,308,894.353457
268.966426,328,902.633888
893.073998,676,907.774263
57.979048,129,908.778395
-16.067274,1,908.80848
563.640426,414,911.896706
409.430949,539,915.965424
14.809786,31,916.224113
544.526841,687,925.448288
58.794689,128,926.420799
407.601816,505,930.338938
65.844919,89,931.054077
410.320225,490,934.754856
-7.393653,600,939.271028
1074.530398,1079,952.497228
1079.76259,991,960.011757
564.682245,396,963.008891
714.252501,488,966.655118
258.61347,374,973.620249
244.89946,218,975.231602
564.565544,375,977.976312
503.34763,357,980.737168
1077.358564,1033,988.564941
564.772271,369,997.490598
1079.521454,996,1005.099465
503.467997,372,1007.941254
1081.278924,952,1020.756345
97.549126,110,1021.59527
15.790167,34,1021.879725
412.606788,494,1025.655699
168.222906,148,1026.852474
581.855381,601,1031.450754
754.640349,663,1036.496864
546.307204,644,1045.1359
336.19385,454,1048.612868
625.883413,639,1053.471483
566.535379,351,1056.231271
337.879823,468,1059.821696
-9.80682,168,1061.102042
38.359718,172,1062.449796
-66.268916,432,1069.211589
237.36978,252,1071.184286
337.806512,448,1074.641804
516.851871,591,1079.147025
564.888088,361,1081.904723
-8.05927,1,1081.938112
71.022694,80,1082.571221
264.6104,298,1084.918461
938.65889,707,1092.420672
60.917751,71,1092.975888
196.427185,192,1094.506452
1080.596504,861,1101.098655
166.959358,165,1102.401203
56.995762,94,1103.105204
334.950326,398,1106.121573
609.692937,618,1115.32663
504.469504,329,1117.789415
56.566144,100,1118.629236
566.928616,366,1121.37238
