#{"t_start": 1778048474.5135858, "env_id": "None"}
r,l,t
-0.109001,503,5.548808
-3.254017,380,9.117286
-17.633912,395,12.794672
-5.679191,215,14.741205
-29.66572,841,22.107975
-22.185557,728,30.929951
-6.450899,117,31.942138
-14.616302,699,37.606304
-13.294344,300,40.342306
-13.448743,341,43.39944
-20.951769,518,51.806265
-65.694839,1150,60.624609
-94.141493,1200,70.299659
-76.604128,1200,83.302958
-93.556568,1473,99.167852
-37.72792,600,104.692216
-53.685477,1500,118.307528
-23.99227,755,130.851134
-1.608933,1103,139.361368
-45.931067,900,146.330097
-7.273046,1500,169.439503
22.753707,539,173.736977
4.148134,136,174.803456
20.472861,296,177.075685
28.691486,572,191.005317
21.12131,368,193.863098
29.934587,351,196.870355
47.740141,601,201.712243
7.553483,192,203.177863
25.014664,297,205.628582
20.431941,284,217.158768
-2.399735,900,224.259819
-18.187347,386,227.354345
-33.00066,900,234.669082
19.258323,130,235.865427
16.937473,217,240.407961
9.967598,143,241.762398
-17.540379,900,249.2922
-23.00541,900,257.584982
-6.151421,33,257.895843
17.796881,215,259.690149
12.455898,879,271.40669
31.263757,161,272.761102
40.352097,310,275.3625
1.459952,29,275.629769
-6.804324,22,275.815063
-5.073789,45,276.278343
3.88263,36,276.626703
38.042288,367,279.860911
112.09693,1500,298.015752
-8.429077,59,298.580324
-7.494882,37,298.93117
18.536133,900,306.75597
139.402094,1055,320.049742
1.619535,63,320.605683
-35.528756,600,325.819404
9.431728,348,328.715239
4.569268,55,329.26618
8.106202,150,330.675137
39.447902,343,333.741097
17.807625,75,334.370636
2.628874,45,334.788732
41.555045,287,337.200302
17.142412,240,339.297408
49.227499,688,349.300109
13.804603,77,350.013112
35.76088,112,350.967604
5.128743,41,351.355235
123.964215,490,355.536235
0.600053,87,356.37402
99.331165,270,358.905128
29.05901,93,359.836374
59.815514,296,362.377191
212.975739,592,370.646286
12.114761,76,371.378698
94.240385,255,373.715404
45.190101,114,374.785406
49.188706,217,376.575204
86.965882,490,380.878436
63.269249,164,382.290022
57.98348,167,383.73739
8.313432,61,384.277484
92.792262,241,386.245176
191.070256,365,389.373505
93.140518,431,396.206138
64.208433,233,398.359795
124.754586,900,406.309192
45.649031,116,407.436372
35.40513,149,408.76141
111.375413,279,411.146564
113.073484,209,413.003066
78.015804,170,414.432201
13.65986,57,414.920007
62.745838,261,420.154648
77.724302,176,421.769147
61.450806,279,424.190927
43.786674,132,425.286171
7.015309,47,425.712472
22.615804,509,430.233916
1.184338,72,430.864464
44.732023,113,431.779593
13.367045,51,432.240944
45.79856,108,433.183203
147.914743,328,436.20473
77.102243,183,437.82529
210.657103,542,446.686935
32.131645,89,447.518333
22.44695,64,448.080747
204.683006,321,450.978102
28.204019,63,451.676193
14.779646,63,452.271825
83.968226,453,456.075624
14.571656,76,456.701981
50.241993,289,459.173828
26.762717,76,459.830064
13.811399,54,460.296672
46.010909,108,461.160409
16.854894,600,466.442151
184.998515,627,474.019023
70.746776,204,475.830783
45.638415,109,476.878018
46.098816,112,477.964857
180.272364,445,481.997436
43.929594,91,482.902015
98.760918,170,484.41427
64.45938,157,485.779542
32.401292,124,486.844629
187.898224,596,497.396838
68.019187,137,498.624713
142.075274,844,505.669589
9.750043,600,511.205007
-8.040673,1,511.241137
24.275885,116,512.30175
14.112374,48,512.702376
231.112577,471,516.81924
181.971224,318,521.84261
4.532242,45,522.260714
83.733975,508,526.733702
135.979708,1500,539.980977
12.903649,99,540.898601
-6.79809,25,541.159426
200.095287,474,550.659408
94.835476,307,553.327233
29.368676,65,553.950331
165.703564,1500,566.847155
157.653912,1500,583.851356
50.974555,600,589.294093
107.618364,283,591.730475
232.92571,568,603.210763
207.496082,748,609.730672
44.996207,600,615.233407
224.999967,558,619.967623
163.3222,644,631.3426
102.780583,239,633.57484
312.019832,808,640.582652
48.84025,97,641.547063
218.126326,666,647.402035
175.735888,313,650.247133
-6.063491,16,650.393435
224.769881,315,656.395613
139.226159,256,658.919693
220.444802,357,662.110863
701.952656,741,668.847148
104.205659,144,670.134191
116.90687,200,671.758464
623.08702,1231,686.510705
49.725723,97,687.342722
282.852908,444,691.22301
114.159003,178,692.77172
234.126015,410,696.314385
50.928135,77,697.002586
72.315041,108,697.969268
210.516456,773,709.405965
104.267128,179,710.914677
100.77983,158,712.243009
702.867239,704,718.262817
49.683629,89,719.055253
39.149333,56,719.654481
51.022172,74,720.357966
45.750384,127,721.536105
50.592953,73,722.236149
314.232076,513,726.699143
104.303753,171,728.061779
155.613892,195,729.680959
216.794416,278,735.072283
-23.266048,600,740.084185
56.625365,75,740.729217
218.632868,281,742.923223
51.360759,69,743.588547
116.044933,185,745.157064
197.134887,242,747.262511
95.338675,121,748.304385
317.809728,440,752.01205
