#{"t_start": 1777967079.920758, "env_id": "None"}
r,l,t
-0.060231,154,3.593159
8.21697,251,4.43674
-9.048683,157,4.911638
0.147492,43,5.094405
2.854539,251,5.801122
-3.986643,574,10.292221
-4.482291,144,10.632596
6.475936,201,11.299328
-0.895536,124,11.733839
3.212284,61,12.008141
-2.112207,361,15.054177
8.630078,74,15.288972
7.098417,266,19.211786
16.81831,105,19.541086
-4.931178,24,19.694253
1.638599,196,20.357073
-0.4952,58,20.547463
0.105913,110,20.91027
-2.237506,52,21.099118
18.067959,95,21.383816
21.499485,780,25.080434
4.674343,50,27.131058
7.495979,195,27.756602
3.47086,37,27.912278
-4.829056,24,27.986895
-4.302397,91,28.32717
-7.596359,51,28.5458
-37.683625,220,29.461443
0.24853,71,29.69536
22.730856,149,30.401655
1.441933,108,31.983242
-5.94509,49,32.216383
5.10581,106,32.588739
0.276602,31,32.707424
-0.574528,55,32.961421
15.855346,89,33.28609
-3.059481,134,33.784239
-1.413453,22,34.030643
5.058903,81,34.36387
-16.045551,1,34.391405
-6.641485,69,34.645438
8.734781,342,35.962794
22.66329,129,38.324733
37.372095,178,39.932392
1.90761,110,40.373215
4.601427,80,40.761812
1.027544,54,41.072283
2.247819,31,41.264852
4.837779,104,41.789159
15.783335,47,42.088582
3.068756,49,42.295795
2.766052,43,42.490147
-7.23511,28,42.581884
8.147217,58,42.963612
11.433309,77,43.533251
0.218378,25,43.697826
0.564158,49,43.963898
12.147694,61,44.200994
0.541818,57,44.516854
8.496441,40,44.735331
26.632661,91,45.209849
12.706266,71,45.50672
-5.262238,43,45.703433
1.184903,63,47.173491
19.631383,104,47.657917
-9.068857,57,47.90527
43.244521,154,48.562851
7.811082,55,48.819739
3.817965,70,49.13485
15.931706,78,49.543036
0.511836,31,49.739916
13.233929,48,49.952017
3.143542,46,50.162061
15.240565,56,52.415965
12.757488,78,52.825851
18.176389,105,53.238626
3.818491,34,53.446419
-4.249494,26,53.558658
15.909526,125,54.158074
1.910131,51,54.42976
21.898466,111,56.066664
10.597964,99,56.560182
22.212518,112,57.164928
-6.181265,22,57.318619
12.901015,70,57.614663
23.634243,93,58.015267
-3.248824,48,58.211121
11.129156,87,58.710891
11.510656,143,59.438246
8.185027,57,59.757138
-8.021068,1,59.784295
17.478623,77,60.141542
8.228163,56,60.532912
-6.784339,19,60.620797
40.352408,105,61.290337
8.408988,51,61.602162
-1.684472,28,61.749124
11.79605,75,62.051087
19.387015,85,63.681241
-4.633031,21,63.755871
19.454995,75,64.146086
11.74874,93,64.589175
-8.069249,1,64.615414
96.180817,165,67.434728
26.689128,77,67.75176
81.062952,170,68.566441
-6.702715,16,68.6616
35.58125,162,69.435955
11.956256,58,69.63605
-8.059524,1,69.669457
3.982781,48,69.863986
44.878438,88,70.305803
2.363119,33,70.468595
35.353385,89,70.860641
12.402435,55,71.102624
11.594612,67,71.48536
57.370773,128,73.197759
27.607621,82,73.527335
13.786689,58,73.823933
18.16704,72,74.142581
7.832146,52,74.438997
12.476031,65,74.751346
18.179553,72,75.050898
34.109462,96,75.563432
20.548349,133,76.236621
-6.568938,17,76.327339
22.933029,67,76.757513
-4.234727,13,76.815728
77.528535,201,77.961047
42.297867,121,80.515997
34.916101,109,82.056556
-6.383087,14,82.200393
25.710894,77,82.483109
1.209191,54,82.680571
48.120436,100,83.149832
27.132005,64,83.464632
8.345474,39,83.715482
27.168259,77,84.133632
10.50316,41,84.329878
55.178562,112,84.80135
29.887259,105,85.244414
40.592553,104,85.783845
4.040082,50,86.010908
18.502095,63,86.368535
55.151706,102,86.888537
12.735324,54,87.081589
22.983621,92,87.545325
-2.822488,9,87.591667
17.020524,58,87.845247
37.548558,91,89.87411
46.32982,151,90.404801
11.47469,56,90.653097
18.982014,52,90.879535
20.43538,76,91.188361
48.110935,122,91.743924
10.693422,42,91.950525
14.943795,56,94.096344
17.380014,54,94.417277
30.8345,80,94.733167
14.067293,53,95.001311
75.913581,154,95.68159
71.945434,200,96.459545
9.685927,51,96.660662
13.425416,42,98.30267
22.375296,72,98.661762
42.535747,115,99.159394
18.898053,60,99.409164
12.649597,48,99.60898
18.488254,62,99.907961
36.254591,70,100.230238
35.665481,84,100.598239
21.511887,58,100.813545
72.559643,122,101.350117
61.253799,113,101.936635
13.824134,69,102.241163
45.98022,115,102.784856
103.193666,163,103.585201
13.143169,51,103.841712
12.522344,48,106.026256
11.682326,65,106.221848
6.148131,40,106.495185
12.802352,56,108.71702
31.208381,74,109.033484
55.010461,100,109.449479
7.157778,32,109.632257
41.924565,91,109.942319
96.198072,157,110.57185
57.316198,94,110.911172
54.694455,98,111.453149
56.7346,91,111.800337
24.473405,67,112.039213
106.342141,150,112.678848
4.951794,36,112.87101
35.845143,79,113.084566
28.106385,62,115.217584
51.435819,103,115.617887
47.835082,107,116.020865
75.713546,141,116.606283
4.879802,40,116.713624
48.499852,104,117.172033
46.74551,107,117.663199
25.727243,63,117.927775
14.53284,51,118.103971
14.433786,45,118.376905
13.93977,60,118.599302
62.709056,112,120.978752
31.247817,67,121.238104
10.440667,44,121.453808
60.840677,104,121.934129
37.46629,68,123.659431
42.063252,85,123.978338
75.637573,140,124.432077
-1.029981,33,124.590634
44.082655,97,124.910511
63.281058,98,125.263932
176.551094,282,126.311732
24.804728,62,126.606137
55.269808,85,126.907654
113.96034,140,127.531173
-0.603073,22,127.672956
77.756143,124,128.359067
103.807039,141,130.673939
25.66643,62,130.921352
77.685773,115,131.491386
173.364138,194,132.333512
103.660894,129,135.38897
65.657212,116,135.912418
68.859844,118,136.484618
45.097134,96,136.905632
55.400766,105,137.283617
231.176966,303,139.964112
253.803783,306,140.913895
31.373646,79,141.158303
43.536344,89,141.646143
65.664997,112,142.137658
57.606821,82,142.427738
67.147745,105,142.851873
3.176005,28,142.971345
75.246283,143,143.549139
185.69776,258,145.843831
186.768032,237,148.694297
100.378275,133,149.133986
125.131676,187,149.782528
77.059422,111,150.182684
40.407761,71,150.460112
172.270177,217,151.247534
13.429235,48,151.42131
14.604821,45,151.617225
254.788987,295,154.343303
102.539825,132,154.893415
97.635316,136,155.44072
73.733108,110,155.802216
194.788414,239,156.690649
77.68737,102,157.050382
67.484891,109,159.324363
63.723771,91,159.579079
91.569969,109,159.961107
-8.088835,1,159.988067
254.33337,300,162.149032
67.213056,114,162.50257
13.522561,46,162.755897
194.273786,244,163.626975
254.514671,270,164.512715
77.269033,116,164.894931
-8.054115,1,164.923336
214.020806,268,165.712266
44.57801,84,168.290885
193.72376,265,169.151525
48.706643,79,171.394309
65.067364,114,171.75188
59.642687,89,171.992978
195.103995,240,172.716442
236.211921,238,173.68065
71.840806,89,173.974846
43.239694,66,177.211632
173.672447,197,178.034124
13.485051,48,178.252911
48.124255,78,178.528029
297.067681,322,179.785052
14.051414,40,179.959026
335.035955,379,181.426558
95.659608,131,183.847097
73.356434,107,186.366199
68.52072,98,186.70692
68.057278,104,187.087105
191.604234,225,187.876251
14.088835,45,188.112781
106.35637,122,188.51388
204.483894,241,189.209541
253.42495,282,190.13113
63.604611,104,193.303279
44.894639,69,193.623739
360.284179,394,195.128073
-0.328229,20,195.244888
194.569991,218,197.889061
47.934354,93,198.205125
355.067262,359,199.474553
78.792639,115,202.75503
105.881247,119,203.172706
68.460187,105,203.51225
78.000895,111,203.87699
48.518332,76,204.109594
14.57742,41,204.282529
68.004808,105,204.612467
386.223069,395,206.215335
14.58792,46,206.431878
106.082016,119,206.810019
68.202263,98,209.352261
235.985395,230,209.99947
77.29554,114,212.321655
206.260217,231,213.013244
95.531198,118,213.403979
296.561177,316,214.402295
3.171764,33,214.553224
291.265886,300,218.070101
14.474865,45,218.1895
69.444527,97,218.518636
66.882049,93,218.989872
72.407325,93,219.305014
44.976444,78,219.595869
73.686541,102,219.908911
278.026699,303,220.931301
79.059693,99,221.257041
299.135281,296,226.295499
13.988083,58,226.467638
195.429198,200,227.116036
779.720749,732,229.386887
5.253469,31,229.539717
69.00851,91,229.883586
72.587735,90,232.480794
237.25384,217,233.135072
73.072479,106,233.565674
