#{"t_start": 1780565054.1475294, "env_id": "None"}
r,l,t
-87.819628,451,0.363593
-49.698154,226,0.513049
-11.734094,56,0.551494
-35.452378,199,0.687346
-45.796313,267,0.849584
-18.254171,60,0.912359
-6.879408,151,1.54561
-30.955628,318,2.637058
-100.924926,41,2.782995
-244.831044,5000,20.2392
-5.583622,17,20.311617
-9.814988,76,20.622187
-6.18855,8,20.665773
-346.267623,5000,36.939393
-10.572897,65,37.199555
-169.939114,5000,55.036631
-6.917347,14,55.099772
-259.475252,5000,72.837248
-101.445874,3436,85.476763
-311.079445,4883,101.704555
-6.77382,23,101.798316
-4.375729,26,101.905091
-7.8814,21,102.040793
-7.281444,14,102.102871
-3.094805,31,102.212943
-64.871197,611,104.526469
-5.552532,23,104.619455
1.89964,70,104.946982
-5.339385,36,105.074521
-5.645668,19,105.153507
1.993946,77,105.477099
-16.176273,1,105.496099
-2.645991,42,107.242107
20.130525,104,107.621715
11.938604,75,107.965843
11.858771,70,108.241905
-7.125586,16,108.307888
0.103203,39,108.484295
-0.776749,42,108.635736
-3.87647,31,108.782007
-5.665855,19,108.860358
2.786313,50,109.081855
-0.829128,40,109.240282
-0.674392,37,109.408879
13.136956,81,109.738569
-1.08122,38,109.918389
0.165567,40,110.077122
-5.657534,42,110.265857
2.765546,68,110.52443
6.063168,57,110.775426
1.699942,66,111.043055
-5.455112,27,111.163157
-5.026571,25,111.275628
4.203037,67,111.548799
7.099013,55,111.788895
-2.321477,36,111.945853
9.854372,71,112.23932
4.919772,48,112.427386
1.462962,47,112.626121
-0.664254,39,112.77586
-1.978058,43,112.970715
8.31585,63,113.24818
1.35216,45,113.441925
-7.600919,14,113.512967
8.912126,65,113.800378
-4.710826,40,113.980405
-4.488998,32,114.09734
6.020895,55,114.344677
2.33619,57,114.592824
-1.966483,30,114.707479
-6.380918,22,114.821438
-4.394769,24,114.92978
5.807589,60,115.172534
0.532897,40,115.35176
0.149107,40,115.53611
0.728742,55,115.803866
11.616024,62,116.054171
-1.860053,40,116.233617
1.940514,42,116.420759
0.396908,38,116.596166
1.419036,52,116.823133
-5.068786,26,116.920449
-4.268409,29,117.027411
-3.521921,29,117.160779
6.052001,60,117.43139
11.847278,69,117.727308
8.23416,53,117.931252
-3.117844,31,118.062108
1.9885,45,118.256358
7.03062,56,118.448749
4.574349,47,118.660715
-3.957144,32,118.79841
0.179128,40,118.984174
3.157742,42,119.146128
0.376064,36,119.305071
0.892642,36,119.467056
1.334041,32,119.588653
-1.065439,33,119.751876
6.623378,56,119.979264
0.891265,38,120.138266
-1.538393,36,120.31423
-1.101891,33,120.456326
0.701909,40,120.635863
4.952817,40,120.796253
13.708226,74,121.140352
