#{"t_start": 1780565958.8058276, "env_id": "None"}
r,l,t
-13.202729,70,0.131841
-57.711495,255,0.272254
-56.026695,249,0.460635
-142.602451,889,1.555146
-7.923683,13,1.612276
-3.54306,63,1.851011
-4.175877,43,2.009394
-3.657641,85,2.302052
-7.344692,31,2.416348
-7.356154,24,2.507252
-7.165509,28,2.654952
-8.883042,31,2.765247
-3.657272,49,2.959362
-17.054201,195,3.705935
-7.487895,30,3.823456
-6.59354,20,3.914664
-6.693749,28,4.044336
-7.975134,32,4.174191
-5.187622,28,4.303699
-7.314832,25,4.415593
-10.779998,271,5.346338
-4.231747,84,5.620576
-76.309373,1114,9.327017
-24.867524,243,10.176636
18.722882,85,10.455642
-161.677225,3562,22.784736
12.443918,121,23.259544
0.506531,39,23.476042
36.877453,144,24.036689
-3.666993,27,24.146986
25.144585,185,24.932364
38.397341,141,25.440986
36.705618,149,25.972084
42.683562,158,26.546492
9.560811,72,26.805596
4.92709,56,26.99743
23.545802,156,27.562455
1.485208,37,27.717655
16.486487,85,28.146969
11.302928,71,28.412894
35.629436,136,28.919411
0.938476,33,29.084887
12.831471,77,29.381212
3.205132,44,29.551064
14.269575,102,29.944245
3.112702,45,30.155932
5.22774,49,30.353674
20.481988,81,30.6723
24.184065,94,31.026392
-1.407938,32,31.193186
-45.661223,81,31.496473
9.150982,58,31.733597
25.089098,142,32.244454
91.220274,308,33.362149
-0.747254,43,33.536802
23.366418,136,34.036032
22.773384,131,34.536895
14.962848,73,34.809081
24.277679,88,35.156161
40.884381,126,35.626116
11.202521,68,35.891183
36.411607,150,36.481486
15.429177,84,36.82341
67.785947,209,37.57804
88.964523,284,38.594963
14.499814,67,38.840562
9.336901,57,39.066094
72.913238,210,39.862853
24.174363,100,40.248473
26.138631,106,40.628794
26.437301,90,40.964627
77.736145,252,42.234345
95.92404,326,43.35038
18.951518,75,43.620867
96.598519,334,44.798757
70.115299,206,45.532592
4.360439,50,45.751001
151.159581,447,47.287859
85.508706,249,48.162344
22.887139,120,48.586693
25.125963,151,49.082676
128.965373,429,50.551726
40.357946,131,51.028801
15.377478,84,51.338339
37.961966,128,51.799229
22.903268,119,52.226431
26.75019,134,52.71536
28.476147,106,53.085322
24.376794,98,53.44118
39.288738,161,54.016183
-86.250359,5000,71.773549
36.948397,152,72.323303
29.617865,117,72.762388
15.664054,82,73.052592
40.118655,168,73.700803
31.778129,117,74.142286
15.345265,85,74.478188
29.271772,113,74.903381
-16.138918,1,74.922042
28.384976,123,75.365466
29.375637,117,75.795173
38.171341,141,76.310331
38.698091,142,76.811714
28.997997,119,77.224365
37.080204,135,77.730434
72.96,234,78.576987
37.812648,157,79.159483
29.55342,112,79.61972
26.631896,137,80.107802
14.054201,70,80.384984
42.301755,141,80.926752
-3.567388,41,81.082306
37.663788,150,81.607335
37.817896,139,82.115142
17.983649,97,82.471709
37.976304,177,83.079166
153.70147,486,84.807033
15.970336,80,85.090762
141.382145,425,86.574123
39.241549,130,87.924585
40.186087,124,88.408014
-1.08777,46,88.581801
24.915234,71,88.868747
-3.443497,32,88.984248
44.032053,174,89.590916
40.318335,130,90.061073
28.705577,109,90.463346
15.946195,83,90.763142
-1.089263,44,90.93634
24.092787,65,91.171653
38.456518,147,91.74241
25.264073,72,92.017546
29.1452,109,92.436055
-4.738188,29,92.543018
26.27112,98,92.889322
34.188026,126,93.348967
38.494831,173,93.952536
24.070752,100,94.323685
37.008819,150,94.840597
563.837387,992,98.285068
25.169755,63,98.532352
15.393073,99,98.934325
25.324374,61,99.157278
104.412417,289,100.242528
14.718624,87,100.562904
156.076822,453,102.129115
40.584171,130,102.594507
90.134463,314,103.694334
36.371901,142,104.180525
0.923366,107,104.57459
15.161038,89,104.874008
21.241902,83,105.158138
328.527815,909,108.327455
38.241325,120,108.761679
-8.086381,1,108.780572
-7.142641,106,109.181664
24.945978,62,109.419985
28.636646,102,109.762286
25.482382,60,109.972029
156.04221,434,112.314681
574.542862,953,115.571973
87.856294,313,116.730061
328.705552,897,119.848853
23.312817,63,120.085018
22.885927,66,120.310986
78.270167,321,121.463335
82.97061,308,122.530309
74.540167,250,123.410164
577.015471,889,126.416484
88.185157,282,127.409081
353.899862,897,130.569013
118.572976,307,131.590127
53.595166,181,132.221984
38.603702,156,133.4904
-5.320912,30,133.614431
83.767235,257,134.506583
109.875827,290,135.619763
118.133302,320,136.739708
23.543372,69,136.977937
40.023844,139,137.477913
85.590637,303,138.508314
-16.056393,1,138.527674
119.385584,297,139.548969
74.354668,265,140.481337
117.417714,302,141.51922
119.357056,298,142.55012
75.070897,233,143.361102
78.118124,245,144.192998
-16.123377,1,144.211576
51.857805,214,144.991118
91.302094,280,145.916794
50.158992,182,146.589918
92.977998,258,147.502457
55.246486,181,148.166156
57.099042,187,148.827568
40.730948,121,149.25729
87.771615,285,150.304365
37.130139,127,150.755707
40.005269,130,151.242069
26.113314,66,151.473263
44.514019,159,151.990173
163.191222,391,153.347386
23.435877,68,153.599751
21.641714,85,153.927681
15.94151,72,154.171578
38.121503,128,154.655459
170.398204,428,156.757724
140.933346,372,158.067826
101.982859,318,159.183757
24.28976,71,159.445241
87.054935,298,160.47854
53.915915,194,161.118882
15.819163,73,161.365348
93.743001,265,162.277842
25.585413,66,162.502229
25.65409,65,162.765373
59.703804,332,163.928819
117.736276,333,165.08526
12.225816,72,165.356028
95.260184,251,166.220881
36.204631,123,166.680554
77.157516,220,167.42995
52.665302,164,167.978264
44.180936,158,168.550247
89.944004,289,169.534768
0.707954,32,169.660817
38.682938,134,170.1351
60.232959,318,171.247531
52.09502,163,171.824342
119.773925,295,172.869969
119.797402,312,173.973148
121.314574,301,175.000497
0.438103,35,175.133155
119.717938,304,176.190766
-16.157328,1,176.20999
52.64294,175,176.780089
574.184079,865,180.561043
41.120658,132,181.002928
110.67023,274,182.003854
-3.163816,26,182.122092
38.96444,121,182.543348
78.918075,207,183.250593
41.955196,134,183.716208
121.31726,277,184.723495
38.338399,120,185.147885
132.114996,364,186.351243
91.705458,275,187.303464
350.480771,374,188.566922
573.422155,826,191.439931
135.59237,355,192.648287
419.003822,503,194.377911
22.786696,67,194.633806
420.499135,492,196.252797
96.696858,231,197.044119
79.43,197,197.747782
23.123484,65,197.990976
-1.503433,45,198.153055
41.944239,128,198.581938
352.160494,356,199.810995
112.910422,273,201.428524
-1.040706,40,201.574359
-16.276716,1,201.593867
52.046669,164,202.15122
38.608945,119,202.592611
27.917988,60,202.801293
37.126369,104,203.177365
-16.236063,1,203.198408
16.117642,67,203.449924
82.591007,201,204.141038
16.015057,72,204.4111
573.847017,787,207.115871
419.860715,458,208.705601
45.351388,132,209.166399
37.331575,103,209.541683
141.776657,322,210.685311
115.533839,251,211.566395
115.544534,263,212.506048
43.80303,132,212.948694
26.14435,64,213.173214
120.236593,262,214.078786
25.655033,92,214.395208
-0.723845,95,214.738192
136.355464,298,215.817425
421.677836,426,217.234759
52.594192,152,217.764955
421.176685,418,219.232447
41.048696,125,219.636809
86.192377,179,220.278052
119.066451,225,221.086967
39.022582,107,221.488237
138.429117,283,222.458975
38.764414,107,223.398588
118.456354,234,224.227622
170.839517,352,225.491671
44.451199,149,226.022292
38.657622,106,226.40503
13.69046,65,226.667247
42.061142,125,227.098536
571.994078,748,229.847332
122.605858,256,230.724794
348.685166,380,232.041005
16.478396,68,232.328272
118.9659,232,233.147906
29.321636,93,233.480147
573.378068,770,236.129984
293.638983,637,238.395
-8.140096,1,238.414074
-1.064964,40,238.55587
0.166454,40,238.701446
42.274811,142,239.197869
17.203311,65,239.423933
-0.916778,43,239.578162
110.021259,252,240.468884
-0.295377,38,240.632017
0.81616,43,240.785855
117.399467,237,241.68765
570.963371,790,244.475878
28.196211,99,244.798503
47.757607,168,245.368931
424.676116,421,247.412392
39.552899,117,247.832267
17.137122,63,248.095234
-0.15374,40,248.275863
38.96594,110,248.667832
53.118631,187,249.320604
-1.834929,40,249.481927
421.616607,411,250.921974
421.324507,424,252.415453
40.070798,122,252.833354
54.304943,173,253.443923
333.631391,683,255.84107
422.614861,423,257.346133
89.167152,256,258.204031
137.968492,285,259.201643
-8.17063,1,259.221425
41.016985,133,259.662391
118.982543,232,260.467113
167.995265,383,261.850908
52.101035,179,262.483912
118.493657,235,263.295671
578.89514,771,266.013261
578.687759,749,269.193799
40.227422,135,269.656911
39.843887,112,270.059074
576.141971,740,272.596532
355.439998,312,273.667482
84.968564,172,274.275323
-1.837693,42,274.426368
165.426369,324,275.557131
39.039479,117,275.957048
72.358307,146,276.461998
137.522839,278,277.4484
106.820776,252,278.319568
119.432331,247,279.18758
93.115455,227,280.01001
419.599569,379,281.301776
422.662683,379,282.613907
422.025753,395,283.989104
356.991916,309,285.007368
357.121571,300,286.051504
10.640838,93,286.386813
422.168879,391,287.717636
297.818746,618,289.873472
498.354897,512,292.180827
130.714167,262,293.117478
44.978225,129,293.573458
92.834211,223,294.369883
38.873288,104,294.775467
91.760538,221,295.529552
121.065549,232,296.370573
424.414481,386,297.698825
93.558902,247,298.535357
91.959602,232,299.351045
106.387692,232,300.128757
40.156351,117,300.548833
28.631198,55,300.760772
422.251285,399,302.109038
496.702514,552,303.977678
171.114815,349,305.167709
108.921998,243,306.049099
490.955632,549,307.962296
43.93256,111,308.337193
1.410848,58,308.551632
92.285941,230,309.434552
72.455864,147,309.955942
357.290414,315,311.01238
-0.262634,47,311.2194
118.309075,224,312.007999
79.522739,162,312.543063
142.621244,273,314.031353
89.851632,244,314.850791
57.624417,173,315.451506
0.005816,44,315.602527
333.016464,643,317.801214
423.918177,382,319.112069
54.182764,162,319.678119
501.184778,493,321.353249
141.862563,270,322.312637
119.090394,249,323.212774
578.247382,697,325.620298
73.178012,152,326.18752
100.909722,293,327.191536
501.958717,520,328.960068
357.662054,311,330.058564
123.351978,251,330.928279
495.863713,517,332.697481
56.483145,174,333.30915
121.350218,233,334.141871
171.684223,353,335.886473
-1.456154,40,336.029202
357.236579,313,337.138781
0.084741,38,337.276383
497.608946,507,339.052209
579.645591,696,341.461412
496.77796,514,343.228
206.668092,494,344.945281
51.50043,147,345.477645
357.794765,310,346.59648
500.54494,536,348.395002
358.846264,287,349.412416
223.889322,413,350.836795
581.041312,684,353.249668
20.393035,77,353.527763
428.649509,496,355.21012
421.615269,381,356.529923
37.44659,106,356.893331
501.652835,486,359.073833
90.575594,239,359.921773
422.1712,388,361.270428
97.377031,283,362.230916
425.399583,379,363.532153
423.385597,383,364.847862
97.90745,234,365.675653
170.636566,374,366.961786
59.184816,146,367.495842
178.696698,372,368.759281
501.066257,489,370.434735
101.549191,288,371.409157
577.817873,654,373.650745
335.1299,604,375.709216
428.202596,462,377.363633
499.847681,486,379.080816
579.193956,662,381.862966
357.351235,289,382.865688
14.301341,100,383.204852
358.216915,281,384.161343
58.641756,151,384.703125
576.371603,641,386.970934
172.929809,320,388.074675
579.917795,626,390.219821
40.816391,93,390.55822
435.257064,444,392.151153
101.996329,309,393.225686
331.964735,250,394.056655
44.360869,107,394.472571
435.119419,443,395.992745
174.929892,317,397.076854
580.735559,647,399.25314
425.667425,368,400.505284
56.203224,136,400.979399
44.354095,104,401.362245
329.691527,249,402.705768
359.008366,277,403.684905
358.714678,272,404.642318
172.817566,333,405.766184
-0.860423,44,405.923657
501.826056,483,407.596014
357.316617,276,408.546172
2.171658,53,408.750987
-4.424824,30,408.861214
329.272548,255,409.734671
357.931254,281,410.72347
168.57313,304,411.736578
-4.536606,31,411.851018
102.238202,236,412.68908
499.815668,505,414.392025
136.47555,259,415.299675
499.746772,477,416.947362
-0.379119,43,417.121078
111.923509,209,417.855532
422.425336,364,419.066788
112.609942,207,419.784729
498.892064,502,421.557013
581.349963,644,424.228903
186.651787,372,425.526314
110.945923,208,426.290733
165.345665,306,427.326465
171.048183,294,428.36232
423.604301,366,429.621817
111.139902,198,430.344429
170.169158,297,431.355378
110.373572,224,432.117307
42.570801,93,432.438053
498.862656,472,434.076102
2.968546,44,434.23539
169.549256,300,435.322076
165.29276,294,436.366536
579.996392,631,438.560516
357.978212,271,439.454621
53.119205,132,439.95997
170.644388,293,441.003174
329.167223,248,441.885363
143.867163,255,442.757431
578.638628,625,445.000065
