#{"t_start": 1780567766.197615, "env_id": "None"}
r,l,t
-9.58783,451,0.377939
-11.780096,226,0.530557
-3.701262,56,0.577522
-2.921957,199,0.730539
-2.510292,267,0.909179
-6.369353,60,0.974972
-5.147057,53,1.210494
-7.196561,53,1.473165
-2.349482,28,1.619558
-6.403715,16,1.716388
-3.247216,37,1.902078
-4.358908,145,2.467043
-5.270292,26,2.574611
-5.584626,17,2.642974
4.744789,53,2.876299
-2.944473,35,3.073163
3.777208,50,3.305633
9.899537,67,3.556158
-0.251833,33,3.700799
-3.082223,33,3.851964
-1.853074,29,3.97813
-0.456858,59,4.182818
-6.458038,23,4.268639
-1.890431,76,4.524615
1.033501,55,4.712768
2.438441,98,5.115699
3.866752,57,5.344846
-190.901425,2080,12.260599
-0.023383,31,12.396923
-6.25436,13,12.51202
3.217829,50,12.713494
9.59045,50,12.939677
6.24611,46,13.182328
33.358355,115,13.63976
14.920172,65,13.923116
7.549316,51,14.231636
14.547188,63,14.483063
-7.619836,18,14.570073
-2.731827,31,14.711194
1.724072,32,14.832928
0.068701,32,14.989837
101.409268,242,15.92333
2.141693,31,16.036122
-76.94372,185,16.722407
109.661677,269,17.755686
31.217631,101,18.16449
-2.662571,30,18.29181
19.727616,75,18.600545
7.297345,70,18.880749
0.32498,32,19.02869
6.762577,81,19.322988
-2.628571,28,19.440641
-3.183729,25,19.550885
0.328559,35,19.71002
1.800598,33,19.863759
40.784756,125,21.899794
110.594524,256,22.881356
2.390909,33,23.00317
37.946059,123,23.440657
-2.988279,25,23.536697
43.649972,159,24.087608
115.2146,268,24.978219
113.476138,296,25.96245
15.32762,64,26.205337
118.605096,346,27.359839
82.793258,301,28.321727
75.672498,308,29.316815
-7.333613,13,29.376416
36.080462,233,30.146124
97.755848,323,31.28161
16.867636,71,31.534854
49.309831,232,32.301039
12.578819,152,32.810885
121.126794,393,34.251988
78.072519,297,35.311611
25.86381,189,35.935654
374.488346,935,39.149808
41.651165,144,39.629167
39.027162,216,40.366865
28.01788,116,40.749198
35.142207,160,41.26836
-1.879705,24,41.362794
26.487531,102,41.714334
122.682105,314,42.767282
16.236135,82,43.762041
-12.351126,20,43.849644
42.064771,165,44.444278
9.78677,52,44.628901
17.364037,97,44.951002
2.284077,34,45.068886
16.136975,86,45.357609
38.370058,118,45.788322
98.2257,286,46.740001
16.835553,104,47.084456
123.005888,364,48.294901
97.173059,297,49.289132
87.329075,238,50.121495
101.656441,272,51.074312
120.896822,292,52.117246
16.115199,67,52.360759
27.295555,108,52.755365
30.761243,132,53.20605
123.784261,347,54.44237
21.330169,90,54.747291
39.951244,166,55.377842
28.254429,107,55.753232
19.840669,141,56.231389
39.89863,167,56.845173
102.14014,294,57.906629
19.244264,112,58.314833
37.630124,118,58.740526
40.984437,141,59.266125
28.976112,137,59.756946
17.281591,91,60.063234
115.86117,242,60.917683
2.021516,34,61.06509
167.208862,402,62.54216
28.610274,138,63.045997
25.969572,141,63.510493
10.409318,93,63.855854
-2.736754,25,63.964248
14.718455,73,64.215836
40.594894,148,64.758089
40.258468,158,65.342689
28.181931,140,66.628446
-7.672558,12,66.694128
30.88247,114,67.123085
15.888205,80,67.442316
26.919502,132,67.915825
27.95583,138,68.375512
28.801749,135,68.871705
72.512148,216,69.632687
254.529989,598,71.833723
21.031591,101,72.198135
73.470886,184,72.891329
-3.267635,26,72.990125
26.335768,131,73.474935
96.640221,298,74.552111
94.652378,306,75.681798
16.426786,84,75.972439
26.274319,135,76.459679
26.055317,137,76.95155
188.083836,473,78.711771
93.582801,265,79.677566
