#{"t_start": 1780569580.5585375, "env_id": "None"}
r,l,t
-11.502071,174,0.20685
-7.601976,12,0.224308
-15.697434,424,0.527016
-19.116819,398,0.78404
-14.617168,242,0.963302
-7.725542,23,1.054429
-6.371018,28,1.163766
-8.720933,32,1.354892
-2.864422,190,2.135329
-9.543667,45,2.298572
-7.791097,43,2.449934
-5.128714,22,2.530846
-19.942493,435,3.979761
-4.019718,99,4.303599
-8.189456,4,4.334179
4.287079,78,4.620097
-14.447427,547,6.46854
-0.395176,35,6.602805
8.67523,131,7.08665
-19.440719,283,8.078195
22.596349,127,8.588697
-2.203441,23,8.697227
-4.858509,21,8.790711
-0.743442,37,8.922126
-94.37984,2291,16.24038
-334.160297,5000,34.505507
-2.554057,37,34.716388
1.301276,51,34.900661
-184.176732,2817,45.832626
28.768964,163,46.599228
-159.507743,5000,64.8157
17.916372,91,65.14464
17.563096,94,65.463928
29.773301,126,65.88941
32.067916,149,66.426235
28.307479,210,67.141502
20.504669,104,67.491047
-11.418443,36,67.624025
29.753538,127,68.057675
0.412535,54,68.246814
-3.83266,35,68.371227
18.107133,94,68.688223
-204.053526,5000,85.152089
-3.433294,26,85.252909
-3.269323,29,85.362382
-7.507926,14,86.939132
-11.572131,333,88.067763
-3.348687,28,88.170162
-124.677586,2044,94.880527
1.544151,45,95.084386
5.096626,69,95.314372
31.981233,152,95.85521
16.617109,187,96.516548
30.933676,145,97.023701
25.978081,152,97.549343
-3.268599,23,97.63818
31.776226,165,98.198632
-78.987723,1572,103.441488
-138.103274,5000,121.315224
102.592481,332,122.419976
-17.733682,1360,127.011006
-229.239206,4080,140.651089
-7.764431,18,140.720455
-16.063507,1,140.739813
-2.503349,35,140.868816
4.282617,57,141.065147
1.621614,44,141.222129
10.973234,90,141.529338
39.839986,125,141.962726
-147.088331,5000,159.540046
-8.081821,1,159.560053
-345.163456,5000,177.129361
-16.095896,1,177.14888
-196.338691,5000,193.494453
101.360482,312,194.809177
27.170199,280,195.756039
12.975197,82,196.036485
26.662715,146,196.547533
-3.015592,25,196.650417
-4.18984,55,196.839052
1.389968,45,197.023822
-3.843892,38,197.162479
21.923864,115,197.561478
-3.26158,28,197.667162
110.559557,360,198.914334
101.584269,303,200.00141
8.994079,69,200.253054
-3.58086,34,200.389163
-2.346908,30,200.502583
-11.573273,230,201.316444
-3.605004,33,201.451021
-1.967626,41,201.638136
-334.433258,5000,220.275894
1.423031,38,220.420902
46.571598,230,221.223778
14.733581,87,221.536731
0.810133,52,221.718274
13.66829,91,222.056108
-4.767637,23,222.165969
28.681581,145,222.696275
575.484013,1263,226.966773
38.288123,167,227.529655
-139.629582,5000,245.136641
0.693394,51,245.332071
-159.155927,3519,257.185767
1.508421,38,257.340382
121.225123,359,258.638674
30.769153,134,259.108644
16.085941,81,259.420244
79.619485,221,260.209439
19.217142,77,260.474197
86.608724,255,261.502406
2.051237,38,261.664397
-16.069773,1,261.683719
50.621508,200,262.428918
2.068761,37,262.564305
17.620108,88,262.89022
50.923219,172,263.477175
369.449443,1021,267.12755
45.456594,180,267.735741
81.797355,207,268.450908
7.163685,50,268.661273
19.208962,73,268.963641
2.721475,40,269.124056
106.037948,286,270.166869
2.015986,36,270.297283
36.171926,109,270.710465
2.072207,38,270.885503
79.309576,247,271.754221
80.198512,222,272.546211
26.383067,100,272.908132
45.142052,168,273.495947
74.862574,286,274.51961
43.692442,167,275.06939
20.066778,95,275.42221
6.142208,54,275.629514
5.50553,44,275.855184
16.70897,87,276.173347
20.92519,100,276.600076
6.297511,54,276.792952
7.254009,50,276.974674
21.964192,107,277.351986
42.575332,166,277.952434
29.02886,148,278.466819
135.823682,401,279.859251
33.319397,127,280.329871
26.282905,101,280.678912
14.857413,68,280.937396
136.01118,401,282.382848
43.583414,179,283.039518
7.086974,49,283.241687
44.705016,173,284.587854
1.651091,39,284.727482
42.11446,171,285.39981
37.128294,125,285.842586
5.207236,60,286.049592
34.504466,156,286.606942
-8.044919,1,286.629042
104.776899,283,287.607613
28.367647,123,288.055557
42.926878,175,288.646663
36.953118,137,289.127083
19.331351,100,289.480214
-16.04427,1,289.499097
43.268045,159,290.066068
123.065314,351,291.311666
26.711221,95,291.63629
45.644864,165,292.20529
5.962824,63,292.442579
16.15321,71,292.693573
41.500663,173,293.303957
1.462582,43,293.457539
14.645486,64,293.677665
-8.033635,1,293.696793
120.181552,366,294.93704
124.608573,393,296.257251
36.355085,158,296.774475
15.648411,65,297.039554
15.91553,75,297.298077
43.526207,193,297.982742
118.914883,358,299.269545
145.530748,431,300.867055
1.36923,45,301.030306
15.866339,80,301.30605
96.051329,285,302.349958
42.782771,197,303.069276
19.301048,107,303.487962
38.180233,152,304.032378
73.444983,249,304.926613
80.881395,228,305.705271
16.646365,85,306.018184
119.99976,363,308.125965
58.730121,231,308.939795
16.528252,86,309.234007
-1.229197,317,310.322169
40.232476,198,311.046013
-23.080328,920,314.26487
-16.068274,1,314.284413
146.32565,421,315.75731
15.754255,77,316.023273
42.559241,187,316.716393
80.078273,205,317.398071
37.71549,157,317.927348
119.889622,355,319.166832
99.163066,259,320.072329
375.769536,960,323.446389
125.032199,382,324.756213
421.048867,584,326.810693
73.794192,276,327.805756
123.343436,339,328.981829
252.92024,674,332.079226
12.523555,74,332.348696
32.861994,132,332.817962
84.21619,222,333.624027
15.7927,68,333.864357
117.824736,325,335.008377
15.896452,71,335.248211
22.357463,103,335.617957
422.92451,573,337.577797
421.608642,580,339.550027
101.534602,353,340.755084
99.481287,360,341.99346
97.091869,320,343.094081
97.985232,318,344.223034
27.674355,96,344.583059
65.105053,237,345.374325
420.385518,550,347.253293
117.480456,329,348.410851
13.605937,79,348.695454
94.143593,303,349.779778
79.48998,184,350.452418
80.223998,198,351.150577
584.332271,925,355.064953
112.993973,408,356.424499
10.252383,67,356.693208
78.219043,207,357.412287
30.160054,116,357.825223
120.945983,340,358.969948
89.977889,316,360.049278
87.621963,287,361.022712
108.617434,354,362.276313
16.73338,80,362.548841
88.611847,318,363.642751
-8.052683,1,363.662366
420.028105,589,365.688103
88.788534,290,366.676631
106.330891,339,367.851613
86.943026,206,368.549801
99.385894,226,369.315288
1.337723,47,369.504167
182.770379,487,371.21131
92.457685,215,371.96977
367.084376,891,375.671225
182.785035,458,377.252911
19.748116,111,377.645682
95.090189,307,378.664776
95.964377,296,379.701105
368.26475,923,382.873691
89.568916,321,383.974098
372.60974,875,386.982077
423.558,491,388.646847
45.625377,151,389.202
583.971482,917,392.266362
163.305985,414,393.674156
109.505064,282,394.671531
18.86365,100,395.015575
376.063963,852,398.6905
119.630583,300,399.699023
96.360627,285,400.687497
47.806643,151,401.189526
109.177951,303,402.239611
91.969396,307,403.292702
96.834855,268,404.230432
79.629528,210,404.973338
375.345944,840,407.839791
115.535165,315,408.902577
92.268378,296,409.964516
99.785295,231,410.751711
-16.082848,1,410.771059
87.802404,192,411.403894
-7.917475,292,412.393561
89.969148,342,413.573863
112.627744,288,414.574896
425.673612,483,416.243635
14.249497,102,416.590519
95.301014,310,417.682205
116.446911,350,419.546831
588.827901,809,422.34459
424.850984,484,424.012796
119.217883,277,425.00144
-2.432445,29,425.108653
110.028351,321,426.226901
358.567401,421,427.612836
138.816914,345,428.853369
19.260489,106,429.296542
-7.405477,11,429.348459
165.263985,375,430.706952
49.614108,126,431.169382
142.017766,336,432.337969
94.379043,257,433.217652
95.521058,302,434.223284
587.368017,802,437.011788
102.023639,205,437.762789
93.616774,292,438.842397
-16.055719,1,438.86096
