#{"t_start": 1780570931.1548603, "env_id": "None"}
r,l,t
-11.05715,273,0.305154
-4.357784,938,0.918448
5.409006,102,1.263714
5.325117,23,1.418931
19.309181,56,1.739359
2.533588,38,1.963276
-2.753739,22,2.073754
-3.826835,20,2.199419
-4.068458,17,2.290858
-3.072752,19,2.392584
-16.064178,1,2.411326
-3.462631,24,2.539309
-5.010794,16,2.658468
0.799832,30,2.808087
-5.948594,24,2.976581
-3.644095,18,3.084332
-1.875146,20,3.213549
-8.039139,81,3.637839
-3.621439,12,3.767903
-1.70091,12,3.850673
-3.871694,13,3.928139
-0.446996,18,4.038989
-6.160787,22,4.154696
-2.749517,14,4.221586
72.706175,132,4.734464
29.383016,58,4.937073
27.461488,50,5.11206
-5.016063,17,5.241126
-6.608963,64,5.464063
34.65546,57,5.664892
43.936194,63,5.890195
-9.520697,254,7.006952
8.993779,163,7.618808
0.121718,25,7.717545
2.274869,42,7.887086
3.468883,39,8.1039
33.681257,66,8.364498
26.183918,50,8.593089
5.710184,31,8.73846
5.356247,45,8.970557
0.209019,22,9.074573
-0.773416,27,9.194233
0.32188,20,9.311083
30.391458,47,9.526695
4.817228,31,9.677698
10.468629,30,9.862763
4.401713,34,10.022124
1.593118,20,10.125765
25.647577,58,10.357814
44.476093,57,10.690362
-16.065624,1,10.708859
1.725997,22,10.837856
35.111061,72,11.135276
2.078202,26,11.265993
1.78088,17,11.341387
12.174553,39,11.527992
41.510278,68,11.841639
-3.338835,27,11.970191
-0.713253,23,12.078944
0.647758,24,12.196435
4.277787,57,12.473356
-8.045351,1,12.492674
51.953596,64,12.769257
3.185776,30,12.928625
2.330136,24,13.063047
9.050868,30,13.217764
50.293598,83,13.627148
15.728876,41,13.839578
-4.913593,15,13.926347
5.895297,25,14.04011
0.901395,23,14.16338
-3.279331,19,14.284426
1.822423,18,14.384305
23.600782,51,14.608021
27.587603,45,14.79843
0.467032,19,14.89911
7.355127,34,15.067134
-3.325798,22,15.168952
34.885417,53,15.442068
-3.407647,19,15.517806
1.701747,17,15.649501
43.102301,67,15.930585
-16.010063,1,15.949051
-8.046707,1,15.96731
20.662275,45,16.160878
22.649263,43,16.367066
16.333143,44,16.584737
35.449617,58,16.868058
11.205981,33,16.999813
41.750383,57,17.274527
38.330847,52,17.506793
50.837234,74,17.826276
44.361673,57,18.09537
26.075797,51,18.341003
-3.429903,24,18.440802
10.434263,35,18.6181
16.224176,45,18.813278
59.127322,65,19.090354
26.66445,43,19.275542
11.887693,29,19.419603
40.086366,49,19.664865
16.080948,36,19.825523
27.80364,48,20.064139
93.557584,89,20.436234
15.575201,36,20.611372
-8.040544,2,20.635135
38.653996,54,20.902382
40.40138,49,21.130718
25.173164,41,21.320871
14.883737,33,21.499619
34.033816,55,21.731116
16.265013,34,21.891505
16.880399,38,22.069123
48.507602,58,22.324007
21.509708,41,22.510267
40.564081,54,22.712464
71.954276,83,23.062803
15.05196,45,23.257185
65.579437,71,23.540395
75.23267,75,23.846596
110.283386,101,24.272456
23.318551,46,24.703869
108.090372,93,25.085129
104.288857,97,25.510334
69.331164,84,25.843238
67.976797,76,26.180611
14.586213,35,26.333393
69.619768,73,26.620275
15.950629,34,26.779863
70.912202,79,27.084246
101.216999,90,27.468533
72.469535,74,27.768614
99.988433,93,28.133646
100.582756,94,28.504441
88.739097,80,28.831635
78.634966,75,29.128602
59.434534,65,29.406691
51.504354,64,29.6543
51.369096,67,29.921529
54.202291,61,30.191618
103.043056,90,30.563992
220.746837,155,31.177014
15.420355,37,31.310426
96.668222,90,31.735555
56.240227,73,32.028975
100.843462,91,32.363322
106.643192,90,32.716179
96.553733,86,33.063016
225.96015,153,33.649848
108.152108,88,34.007598
222.286403,153,34.603661
74.514591,72,34.862611
96.848094,87,35.211875
186.07369,142,35.762297
51.972913,64,36.010738
101.039353,92,36.37447
221.399609,153,36.953384
234.847398,161,37.608788
71.467489,77,37.923113
15.424528,41,38.092839
97.81399,90,38.449036
107.759591,93,38.815357
195.434445,137,39.351577
223.136784,154,39.920018
70.592461,85,40.256048
67.699812,81,40.560278
54.461301,62,40.811765
14.897431,38,40.968397
71.070878,87,41.319721
44.140646,101,41.710926
23.108741,43,41.866663
70.924513,80,42.169493
55.624938,92,42.543434
67.862454,69,42.793231
223.032419,154,43.416551
59.617923,63,43.725406
75.620453,70,44.011443
236.994555,152,44.575264
52.144073,72,44.852296
194.907796,144,45.407637
108.021144,86,45.734677
108.241402,90,46.113364
197.371461,136,46.618734
229.060056,149,47.205009
14.694236,40,47.358848
143.176629,147,47.960841
255.352406,159,48.663454
197.800167,134,49.141699
200.042702,164,49.948203
-8.060241,1,49.967438
16.015193,33,50.088043
196.156849,138,50.589945
246.669085,151,51.195577
173.503964,159,51.791937
7.238572,31,51.910431
197.163002,138,52.469297
81.83949,74,52.744069
44.574919,100,53.134545
81.447814,79,53.447904
108.28556,90,53.798678
52.849071,71,54.074959
203.294292,139,54.625166
82.497602,79,54.962986
82.156857,78,55.282682
236.534404,153,55.837942
77.648983,76,56.115334
144.433596,147,56.655101
203.696324,143,57.251426
108.168815,90,57.584133
210.553712,137,58.100552
56.087258,75,58.419064
55.716681,76,58.727301
46.842721,59,58.965982
82.750555,74,59.257787
115.466131,94,59.655933
14.250123,37,59.793567
52.625346,73,60.058962
14.308313,36,60.236908
82.229298,77,60.548445
78.295694,70,60.820336
214.130696,143,61.379825
210.280598,134,61.855156
204.557255,143,62.41582
48.414205,56,62.636541
180.370768,130,63.120421
14.404858,42,63.29138
203.727696,138,63.821339
55.394636,78,64.11692
81.477852,76,64.415511
230.162829,146,64.977979
47.69065,68,65.249513
203.515586,140,65.799784
108.967626,90,66.18583
108.533653,85,66.537872
214.327309,141,67.056805
55.785596,77,67.364601
180.368216,128,67.821955
82.752107,76,68.110509
55.861526,77,68.442927
181.52084,129,68.935468
83.934595,76,69.212535
-16.066036,1,69.232224
55.736474,80,69.5475
202.097948,144,70.101059
230.538443,151,70.655468
47.669209,61,70.876287
212.847423,142,71.444164
83.491626,78,71.724647
71.132768,78,72.034593
201.583621,136,72.537129
108.771409,87,72.901169
108.206814,86,73.247992
71.202776,76,73.535043
49.355336,71,73.803467
254.667879,160,74.839732
48.026181,59,75.101684
107.969655,92,75.449968
108.028186,90,75.831608
179.386902,133,76.352261
49.841615,63,76.670976
48.136417,73,76.971618
50.764268,59,77.206649
196.288466,135,77.69777
35.887419,56,77.917817
104.232146,89,78.291509
71.572449,77,78.563195
15.693268,42,78.754384
108.977581,88,79.087863
83.006765,72,79.360314
202.783181,140,79.88927
237.185024,157,80.507212
-16.051306,1,80.525912
230.113395,150,81.085167
71.099588,80,81.393501
202.955094,145,81.959118
230.244859,155,82.521792
263.854192,166,83.165126
50.872648,63,83.424014
71.686149,83,83.740584
82.893692,72,84.030192
47.686048,55,84.254326
51.660377,59,84.51098
291.096664,191,85.186974
201.912474,146,85.72313
215.770182,147,86.316438
71.646283,74,86.613461
57.99016,83,86.941226
82.772486,75,87.232335
58.207707,79,87.542455
82.51452,79,87.875196
48.392183,62,88.112426
87.275186,98,88.50319
263.912952,170,89.133778
230.05804,150,89.735776
-16.06497,1,89.754859
203.249515,137,90.279026
108.459315,87,90.644487
51.099361,61,90.89437
203.076606,148,91.47592
4.43925,31,91.590551
201.866265,141,92.109234
