#{"t_start": 1780571401.5023482, "env_id": "None"}
r,l,t
-5.028347,28,0.107933
-2.233204,395,0.34748
-22.970981,778,0.868011
-5.14335,102,1.077357
4.341232,36,1.205087
4.863442,43,1.401226
-2.379762,20,1.495412
7.492317,82,1.848592
5.796609,36,1.991502
-5.462838,89,2.385299
-3.899056,15,2.476881
1.499144,24,2.598575
5.494979,35,2.786982
-8.188626,9,2.837418
-3.389171,20,2.97458
-4.201475,20,3.080789
-4.844914,14,3.156253
2.324639,26,3.312455
-8.036733,1,3.331875
48.722497,96,3.839543
-6.402851,25,3.944432
-8.057429,1,3.963049
-1.666543,11,4.036621
33.260535,58,4.280735
46.129929,79,4.58655
37.208351,75,4.928985
16.948835,47,5.134858
3.081234,37,5.298822
7.836782,29,5.520283
15.497443,45,5.76662
-4.170467,22,5.883023
1.158181,20,5.994309
-2.421714,25,6.190136
4.464188,31,6.357039
9.66468,42,6.599122
0.596283,28,6.724325
-3.448,25,6.855898
3.464115,32,7.031332
6.075658,47,7.264941
-3.817773,23,7.3662
6.007581,31,7.535565
-0.197897,31,7.686697
1.393406,36,7.859184
10.133913,33,8.014679
-3.483481,21,8.110479
1.291511,26,8.295834
0.952765,22,8.412393
-4.081749,16,8.495341
-4.746874,17,8.582276
-7.535601,46,8.816929
0.383515,23,8.941047
-8.005028,1,8.959681
-3.436882,24,9.058446
-4.007333,24,9.184861
-4.105355,29,9.340463
-1.321511,29,9.451753
-3.263013,39,9.657907
3.636395,35,9.842626
9.15863,45,10.095119
28.545867,50,10.364082
-16.037865,1,10.382796
-4.824107,15,10.474034
-8.036002,1,10.493362
7.519625,35,10.640622
9.53389,38,10.82745
15.295884,40,11.012399
14.369816,45,11.217196
0.159731,20,11.313673
10.114826,35,11.49476
4.726121,39,11.656896
7.917023,29,11.767585
43.66399,66,12.065801
3.701765,32,12.198135
-5.091275,31,12.334625
6.144702,25,12.44472
0.331077,24,12.557262
-2.528691,27,12.687419
22.770722,43,12.898445
4.207505,34,13.026921
-3.854059,14,13.111718
52.294771,84,13.467265
14.620994,51,13.65973
33.734064,56,13.878644
14.537231,38,14.018318
0.379177,18,14.105313
49.290613,70,14.356679
25.629935,45,14.533998
29.189009,47,14.721256
44.331093,67,14.989726
14.621861,35,15.133533
28.336509,48,15.331448
-8.021908,1,15.350974
15.762048,40,15.520839
46.285965,63,15.780721
35.276141,49,16.010777
38.265987,60,16.287137
15.233487,43,16.484728
33.903789,51,16.705046
30.428037,45,16.897181
71.743098,81,17.242559
77.964103,80,17.551226
24.040521,45,17.744995
77.04153,78,18.107726
9.956142,29,18.278121
52.156987,58,18.501871
78.197093,74,18.781318
58.983398,64,19.046937
58.336161,62,19.350353
81.148258,80,19.67831
24.313781,43,19.864377
-8.013102,1,19.883907
50.76537,62,20.146517
54.30368,57,20.3823
229.590669,147,20.955202
71.696388,74,21.26676
76.299502,66,21.537175
52.811607,57,21.780966
69.85274,73,22.072333
54.562606,59,22.318431
228.279253,162,22.897281
71.740983,74,23.189165
97.279048,83,23.735281
71.732541,75,24.026401
96.54342,79,24.411841
64.800988,60,24.640794
52.109779,64,24.899908
24.289744,42,25.086559
-75.474272,600,27.427181
230.20346,151,27.962544
-8.04511,1,27.982047
51.214057,58,28.188832
110.084644,85,28.502693
71.313516,72,28.805944
75.740492,69,29.06879
76.621973,73,29.366286
53.927707,57,29.599437
15.457099,42,29.780544
26.045674,48,29.964641
82.687646,75,30.250819
16.152238,32,30.39569
198.782493,130,30.90355
229.247938,149,31.469906
196.561252,135,32.014444
223.767474,144,32.583858
26.095531,54,32.786178
309.3304,189,33.536201
15.765831,40,33.687256
71.766762,73,33.976578
72.33467,72,34.257287
4.939373,25,34.351579
23.141604,38,34.527122
51.99313,58,34.750215
235.449897,151,35.321835
75.868357,72,35.617936
0.900941,19,35.695556
48.481816,56,35.920251
234.048838,145,36.539071
-3.578523,13,36.600656
77.353621,80,36.897701
77.6823,71,37.175699
188.192359,129,37.713075
225.22537,142,38.222999
47.563725,57,38.473131
382.228664,229,39.435275
51.272824,58,39.633417
-16.047239,1,39.651913
74.984085,68,39.958605
15.826694,37,40.118892
106.974027,83,40.473009
47.513076,58,40.681347
3.966965,23,40.765377
212.692687,135,41.29462
78.192726,70,41.62841
47.545686,58,41.825527
107.028027,81,42.181683
26.582659,46,42.341081
113.229381,101,42.765925
212.326577,141,43.277225
108.225938,83,43.644336
236.085679,149,44.191608
340.197605,205,44.953579
14.818476,34,45.092757
107.623429,81,45.434063
