#{"t_start": 1781035007.6979985, "env_id": "None"}
r,l,t
1.745998,356,2.256409
-2.307327,41,2.444137
-2.618402,295,3.64845
4.234554,88,4.0183
-14.692979,581,6.438891
-11.032479,191,7.234691
-16.718708,430,9.00361
-128.929455,263,10.103462
-19.676973,618,15.554444
-16.038017,1,15.575914
-13.981407,785,18.73433
-8.242625,273,19.819335
-22.156215,390,21.360092
-92.768989,1200,27.881536
-61.988352,600,30.243275
-21.760266,300,31.435203
-18.829759,300,32.632848
-24.525772,300,33.821716
-51.152448,600,38.146274
-19.843725,300,39.364597
-54.943472,600,41.780591
-48.035261,600,44.267032
-19.128517,300,45.483512
-29.286959,300,46.682089
-51.813155,600,50.762112
-24.221701,300,52.072237
-17.874758,300,53.317503
-72.239545,900,57.089757
-44.300458,600,59.387948
-25.767813,300,62.730734
-44.721346,1047,66.919131
-49.426751,600,69.27153
-49.431508,900,74.704713
-19.57685,865,78.046384
2.051249,148,78.635218
-44.942619,900,82.207246
6.522935,373,86.145337
-47.171827,946,89.847067
-4.653002,37,90.029964
-37.510561,600,92.437982
2.483091,656,95.022787
10.614732,119,95.515619
-43.822941,600,101.239276
4.285271,150,101.860303
7.901014,88,102.22519
15.351761,206,103.081296
3.491731,57,103.34006
1.352574,57,103.582932
9.243506,84,103.950244
6.220036,96,104.367041
-6.569408,29,104.489088
13.211691,600,106.930993
-12.447106,717,111.567615
-57.966883,600,113.979206
24.197083,107,114.416135
28.469223,405,116.076959
-56.125154,900,119.600544
-3.518794,600,124.909073
86.435379,357,126.317142
79.754104,1500,132.193503
34.856652,197,132.986188
33.136563,202,133.778389
17.601532,329,138.959062
70.467737,442,140.828112
-4.117418,17,140.932997
-64.545203,600,143.331416
-4.011822,27,143.446564
9.590265,43,143.634875
-10.830075,259,144.654269
-3.959645,25,144.777822
-55.081532,571,147.006933
1.157123,600,152.203526
-8.04275,9,152.256983
11.841537,121,152.729907
-3.567362,23,152.837956
-32.609317,600,155.232851
41.771018,216,156.121506
75.704191,244,157.125704
109.465855,339,158.49813
22.697453,97,158.899981
17.430926,227,159.862418
67.716444,216,160.745361
89.263473,215,164.338733
16.365148,88,164.712854
196.940244,443,166.544647
15.926744,360,167.959219
24.373598,103,168.395398
43.095202,413,170.038048
-3.667516,23,170.167715
13.403507,55,170.415131
43.293833,128,170.970679
94.99688,254,172.043688
36.25558,480,175.204878
44.895315,120,175.745363
34.275643,119,176.283181
98.498039,237,177.277007
45.546539,114,177.734282
59.495157,313,179.007625
44.856868,131,179.533194
0.729513,16,179.636635
113.51876,242,180.587305
56.081654,600,183.108659
196.54756,312,184.426479
99.722662,256,185.551634
170.577548,283,187.876336
178.013799,316,189.175668
56.883193,118,189.704988
0.411612,19,189.797187
57.045273,387,191.34273
48.712177,108,191.777527
357.846375,855,195.17269
13.283716,50,195.432025
102.957339,299,196.600487
196.006965,272,199.276234
49.555107,98,199.663876
73.191801,173,200.426915
160.426632,385,202.096122
104.687303,208,202.942884
168.524592,381,204.513206
196.094047,301,205.842019
77.177497,134,206.402744
12.937122,59,206.652455
13.013322,55,206.900177
14.386005,56,207.139053
102.87,186,207.888764
147.166421,900,213.888865
100.091002,178,214.620501
48.954654,102,215.041149
31.438497,119,215.538755
13.97257,62,215.787772
195.846852,252,216.842883
13.766759,76,217.179324
80.000247,119,217.68234
23.854166,88,218.05956
231.152338,382,219.573067
194.643751,268,220.670262
69.027881,136,221.215362
94.269965,160,222.807976
194.019875,265,223.914866
376.94098,683,226.808552
13.557116,62,227.07905
48.380577,89,227.450505
19.84261,151,228.120643
254.420018,390,229.716015
48.905632,97,230.134063
185.023558,285,231.298562
86.300626,140,231.883126
196.078656,236,232.846507
42.512845,350,235.387922
14.449889,61,235.655116
69.073975,137,236.22175
95.264082,150,236.866726
186.688462,274,238.033051
204.839877,282,239.240591
0.06757,20,239.351829
25.043877,63,239.649766
23.19173,94,240.062662
