#{"t_start": 1778098266.4218798, "env_id": "None"}
r,l,t
25.014278,155,22.15209
13.652946,93,22.267028
11.546681,155,22.441841
2.609821,99,22.555378
-6.57643,75,22.671846
12.540354,136,22.833558
8.761622,105,22.967436
12.329606,137,23.136117
18.711053,155,23.319751
10.733579,132,23.489312
-18.077242,300,43.957547
-20.661793,300,44.263958
-27.671358,300,44.609216
-18.193207,300,44.951954
-17.026056,300,45.269014
-20.766731,300,45.591365
-26.708141,300,45.912396
-19.487652,300,46.240871
-24.648481,300,46.626152
-19.989363,300,47.023808
-23.360334,300,71.040633
-27.088434,300,71.411216
-54.319044,600,72.048442
-47.363372,600,72.640984
-27.034129,300,72.970582
-29.387743,300,73.291614
-57.448346,600,73.872809
-19.227566,300,74.173706
-17.863717,300,74.502292
-19.704025,300,74.805713
-18.974663,300,95.755632
-18.75629,300,96.075318
-21.015348,300,96.424204
-16.979766,300,96.827989
-65.677351,600,97.511115
-26.704783,300,97.871246
-8.049103,1,97.897563
-23.240159,300,98.262089
-21.720997,300,98.627769
-19.391303,300,99.058684
-22.251929,300,121.8357
-56.377786,600,122.388269
-31.98803,300,122.66762
-27.682091,300,122.978266
-2.673293,112,123.11446
-19.507221,300,123.425893
-46.700052,600,124.053399
-8.035449,1,124.074664
-19.632751,300,124.438244
-37.52722,600,125.139326
12.766296,373,147.410647
13.199221,242,147.66586
-48.571079,600,148.187776
22.087555,269,148.450813
-57.553468,867,149.33191
7.016501,107,149.442155
-26.498399,558,150.028889
-42.995769,600,150.603899
-43.217564,600,151.173204
-44.854542,600,151.727479
4.324916,900,176.01456
-16.043465,1,176.043089
-20.143615,300,176.336335
-24.130095,300,176.637934
-57.564576,600,177.200896
-49.31529,600,177.801208
-12.417163,300,178.099474
-53.80706,900,178.999766
-80.080386,1200,180.194658
-47.484045,900,181.095625
-0.262967,600,204.239168
15.871988,224,204.458951
40.882328,131,204.599449
-1.023672,23,204.638053
11.982965,75,204.722763
10.596828,40,204.791646
6.693333,138,204.934582
30.725118,103,205.044848
12.499092,87,205.177963
60.921679,205,205.396801
-44.10429,600,229.694438
-21.644428,900,230.547351
4.222929,1200,231.813527
-26.8315,300,232.162852
74.111333,225,232.400693
3.792566,600,233.121228
