#{"t_start": 1781039129.5978017, "env_id": "None"}
r,l,t
1.739138,478,1.771099
13.965715,442,3.466718
-12.627814,330,4.793642
0.136674,241,5.74881
-8.033829,35,5.894734
-14.550794,387,7.418995
-23.246706,380,8.900992
-15.944686,381,11.727649
-5.669932,44,11.954314
-118.514709,998,15.826443
-1.471131,132,16.33151
-5.634661,241,17.247979
-106.624575,1385,23.983591
-44.812749,600,26.29772
-69.623039,721,29.019495
-20.692082,300,30.173992
-43.587291,519,33.572798
-46.396654,600,35.880936
-65.221221,600,38.298234
-17.603892,226,39.162446
-24.890336,300,40.295188
-26.14718,300,41.464314
-30.07438,300,42.576709
-25.503565,300,45.152911
-75.941967,600,47.520651
-20.095232,300,48.65321
-54.374814,600,50.930665
-17.814583,300,52.082287
-25.412766,300,53.292129
-93.277732,1200,59.253781
-19.004691,300,60.387211
-18.851069,300,61.521449
-28.023071,597,63.724658
-21.798955,300,66.704192
-52.335029,618,68.994949
-22.701362,300,70.099094
-8.068141,1,70.119486
-21.523535,759,72.924618
-33.532067,300,74.146786
-30.59211,300,75.31982
-25.177372,300,78.047902
11.011781,588,80.221104
-39.242337,900,83.570817
-35.975524,900,88.645861
-3.127607,14,88.719695
-6.066584,232,89.60235
-40.935022,600,91.946857
-0.426402,36,92.102462
-3.969316,47,92.309857
-14.499624,1200,96.850888
-33.740821,580,100.916341
22.256541,1200,105.490392
-11.765842,78,105.793455
-4.474946,13,105.856633
9.144112,214,106.658816
-0.113474,27,106.778733
-41.020794,600,109.167575
37.705101,235,111.639903
27.259016,297,112.73191
-70.660364,1200,117.330302
113.648678,1500,124.364848
12.11897,301,125.505732
22.501856,137,126.047562
55.397812,294,127.22919
3.749456,60,127.454838
22.263177,504,129.336599
15.470117,136,129.872635
4.542368,54,130.094893
77.216965,427,131.747203
-3.967965,189,134.665512
42.155063,600,136.980372
10.348084,339,138.326614
-71.244032,600,140.692453
2.460043,40,140.853193
11.268412,113,141.306064
29.371922,600,143.749899
-60.909993,600,147.405187
-77.898025,204,148.249044
9.3439,43,148.468265
44.698338,465,150.40994
10.439046,166,151.171453
19.78941,116,151.704676
33.493786,90,152.117246
64.047201,152,152.753765
61.3419,201,153.624362
-44.614019,600,158.283749
42.140246,122,158.840771
8.266548,66,159.127292
12.587357,104,159.581551
55.813945,420,161.368589
48.765319,202,162.264085
13.640363,211,163.196952
38.263605,214,164.053143
46.733023,524,166.250286
62.282895,223,167.143962
32.338921,234,168.030224
14.224498,425,171.409038
-7.773937,600,173.852295
52.580164,237,174.780228
3.453352,34,174.955616
40.43455,145,175.579664
49.022911,274,176.713664
42.610099,186,177.574705
79.193966,286,178.785093
63.548964,369,180.382835
105.735698,374,183.720478
-59.546482,900,187.541572
188.041279,399,189.260398
84.449212,172,189.941632
3.695507,240,190.930716
14.823516,46,191.128298
66.49321,178,191.893028
31.684749,105,192.350685
-8.608181,330,194.703865
76.328922,153,195.364332
-16.04439,1,195.387855
4.129262,29,195.508656
19.916946,119,196.05444
20.206574,600,198.544349
26.735457,63,198.845995
42.950232,130,199.424196
43.878643,130,199.979782
51.678046,99,200.429639
100.462033,213,201.406044
115.583489,252,202.391555
-12.323381,367,203.893085
3.327881,31,204.029419
-49.378243,198,205.907429
110.622349,240,206.903548
52.489427,184,207.700255
29.325035,215,208.634059
20.677193,82,208.95171
28.70154,154,209.558035
20.681877,80,209.916031
188.270618,348,211.319106
42.943196,93,211.699462
15.026259,45,211.907857
141.935254,707,214.977821
86.697523,148,215.636568
3.467472,34,215.827358
43.683336,290,219.616287
82.833486,203,220.423065
17.671012,570,222.765655
-10.390737,486,224.744004
90.665621,164,225.541075
88.774487,183,226.278284
62.250227,176,227.056934
86.509028,448,228.946251
76.738674,172,231.082582
83.551096,180,231.865993
25.466322,600,234.300025
29.549541,900,237.99919
202.442152,900,243.655915
-28.432357,600,246.118899
266.091899,691,248.957741
47.042314,137,249.517104
196.510355,358,251.061348
187.14895,425,252.902897
4.012983,600,258.571083
161.594328,621,261.122533
45.09585,116,261.668137
84.4383,158,262.326339
25.441384,426,264.170085
167.560233,424,265.930546
57.13288,370,269.909089
256.225682,624,272.56265
34.261496,99,273.073323
96.410575,214,274.059281
44.216609,121,274.567783
-15.823744,517,276.765659
195.427057,305,278.0659
30.402956,89,278.452991
29.549915,323,279.871139
64.55783,245,282.245294
96.035026,312,283.598568
177.617522,269,284.769136
46.557989,146,285.415108
260.463594,492,287.594731
258.195478,523,289.875047
3.145866,28,290.006533
269.926507,561,293.811275
206.464089,332,295.243345
67.639956,228,296.222047
98.415252,196,297.076853
57.938141,112,297.551724
14.487252,53,297.803426
201.409482,266,298.900886
173.820881,303,300.218158
90.687544,192,301.032851
102.508079,244,302.122418
43.357154,81,302.494205
45.296131,103,302.965125
205.421693,349,304.484498
53.060797,154,306.65921
200.521077,280,307.808455
32.772566,100,308.261173
43.802441,87,308.655175
63.350951,112,309.147168
50.945555,367,310.692563
102.776753,256,311.822919
192.315191,257,312.900272
308.86212,580,315.349993
77.849665,206,316.241965
20.169348,252,318.31224
304.797215,580,320.736864
33.991029,86,321.138996
99.797753,189,321.985945
194.24721,238,323.047009
206.807924,302,324.332927
108.911972,239,325.301936
15.534472,40,325.514954
30.446829,81,325.874575
165.092275,276,327.029329
43.800029,118,327.540005
59.901449,90,327.918735
266.207878,466,331.124823
105.628969,242,332.243838
70.244207,149,332.897089
229.94924,362,334.432139
58.130146,116,334.928439
94.217785,212,335.867955
36.517798,107,336.34992
33.107973,93,336.7636
44.908747,92,337.16284
14.977048,42,337.36567
71.962094,127,337.916307
165.607847,289,339.178448
203.579331,285,340.477374
25.041805,67,341.46005
228.972582,382,343.150034
262.83002,411,344.906248
47.656959,85,345.270651
334.673635,524,347.517742
76.102479,196,348.331898
94.480379,347,349.822952
78.334178,172,350.561198
71.944042,123,351.075637
562.467211,770,355.878457
576.215051,793,359.250397
-21.193703,250,360.33236
165.476347,600,362.895269
-8.827624,182,363.658574
112.515505,186,365.563759
233.55248,570,367.993099
110.73851,204,368.903221
875.090914,752,372.102503
194.215096,208,372.978304
47.957813,84,373.338685
106.423521,135,373.999079
78.30325,149,374.713217
20.214149,47,374.930529
47.789734,70,375.246253
636.327041,760,379.569576
19.921152,48,379.806293
108.392627,168,380.543247
192.638574,219,381.544328
239.651317,279,382.791074
198.604852,240,383.873763
35.245756,69,384.177303
187.107429,226,385.195747
110.953989,208,386.102703
72.763409,110,386.606082
62.32224,84,387.006775
112.980861,136,387.641986
194.64117,199,388.476293
43.034147,62,389.973475
15.023654,44,390.163512
47.276256,78,390.592324
33.519779,60,390.861988
185.645258,202,391.778375
143.292739,260,392.965894
241.545843,278,394.35866
48.125264,97,394.903074
107.793076,125,395.510181
47.905979,86,395.888637
63.990897,103,396.346413
361.452652,419,398.22568
665.609823,706,402.420702
-29.66523,134,403.044321
26.185459,55,403.268741
79.547299,105,403.720412
265.809732,312,405.132828
45.201058,75,405.436188
93.136151,108,405.891281
47.886688,98,406.321123
46.540017,67,406.650539
173.031524,182,407.405403
116.567297,600,410.001643
48.963345,84,410.357477
82.472953,186,411.170154
216.425088,372,412.796057
109.435022,217,414.79943
65.766685,79,415.129895
206.946864,228,416.117993
1059.420638,901,420.078368
86.473631,186,420.920821
1062.82398,888,424.657591
45.428474,71,424.973968
171.087914,168,426.878847
128.228776,168,427.626465
282.175232,250,428.686826
51.806998,165,429.441057
49.000685,90,429.838187
263.850049,252,430.870013
-38.547668,163,431.558427
176.411633,191,432.385455
-16.011721,1,432.484373
280.132155,263,433.625677
107.631652,137,434.250415
71.724112,85,434.647041
70.251024,214,435.601773
48.715129,75,435.916681
1065.557551,830,441.131946
73.527257,103,441.55285
14.121209,39,441.733042
65.960686,66,442.005016
77.376803,88,442.383775
