#{"t_start": 1777908767.255718, "env_id": "None"}
r,l,t
9.515567,81,3.115759
-9.660977,212,3.882526
-1.136333,229,5.77482
4.174473,335,8.433091
-0.939355,702,13.940895
-12.511161,308,16.393136
-2.566718,162,17.713979
2.046437,172,19.112789
-4.089611,31,19.37969
-8.010067,1,19.4131
0.332756,168,20.863631
-2.635108,302,25.421283
-13.098307,166,27.004657
-18.803154,480,30.675073
26.265559,139,31.756483
5.610914,182,33.280788
9.739976,145,34.387242
-10.725747,98,35.236894
-49.954755,900,42.596469
-13.844135,420,51.387327
-22.039223,300,53.61128
-73.092331,1500,65.032238
-44.713251,600,73.28346
-51.006919,600,77.782572
-19.482028,300,80.066253
-44.282941,600,84.59477
-24.314826,300,86.886485
-67.648583,600,94.933658
-21.10213,300,97.352182
-26.302717,300,99.794378
-17.72865,300,102.386317
-67.858759,900,110.729547
-67.756563,900,122.236193
-67.068824,900,130.378434
-45.719939,600,135.160616
-82.873828,1200,147.775176
-91.075242,1500,161.967938
11.707716,127,163.080582
13.148624,66,163.709984
0.836888,97,164.783938
21.884708,246,167.071182
2.872409,20,167.277595
3.933006,62,170.112114
1.353829,23,170.344694
-0.356161,128,171.495493
0.854054,102,172.393137
-12.759957,277,175.054151
4.406392,33,175.374043
4.406081,30,175.722797
15.281842,126,176.770357
-4.970722,27,176.989305
-4.300921,29,177.222778
-1.241177,334,180.086867
-71.224984,600,185.897629
-6.698239,231,188.087629
-14.648588,538,195.223464
-16.271536,370,198.123025
-8.076402,1,198.157493
15.037823,62,198.759091
12.594451,53,199.229591
-51.712813,900,207.306664
25.35094,97,208.230308
-15.505498,763,215.803905
34.67609,138,217.224981
26.456559,93,220.140843
13.604556,63,220.67959
18.712839,106,221.548275
18.663703,62,222.087336
43.636611,100,222.906422
2.045577,79,223.607005
5.916899,69,224.201331
-10.770727,234,226.119229
5.204672,40,226.449782
-102.057471,1200,236.128008
13.086967,71,236.683867
26.296702,119,237.696752
-39.175068,507,245.935988
4.659526,174,247.887538
0.394162,272,250.469016
19.210143,84,251.201442
-12.595747,455,255.350356
10.703117,55,255.84341
36.868559,86,256.660747
19.10693,51,257.158572
1.24899,214,259.241908
19.883531,86,260.037824
2.442594,222,262.198104
62.291405,131,263.471762
31.77621,67,264.08983
-62.158275,600,272.522864
22.740768,91,273.489569
36.366169,85,274.432652
26.603845,68,275.235802
23.019469,86,276.249161
-16.036867,1,276.346904
79.208435,194,278.351575
17.856538,262,281.022123
20.010105,58,281.688816
-66.349649,600,286.79341
57.294253,444,290.346702
68.307573,307,292.753163
64.816793,125,293.732377
89.783355,268,299.661691
56.258287,429,303.437269
48.765795,600,309.79513
-1.111112,600,315.625055
-32.473206,600,320.612067
76.616549,222,325.743064
27.649468,174,327.411462
184.754056,425,331.078973
50.649659,83,331.778664
24.078035,99,332.533904
75.96709,211,334.261948
53.852483,467,338.728784
-10.491421,600,344.97171
35.644616,233,346.943641
58.164463,80,350.779804
22.120266,368,353.836969
111.192169,167,355.412781
204.00676,320,358.464072
203.427312,314,361.336739
13.892892,78,362.083667
24.976273,76,362.776494
13.845647,79,363.552583
77.327501,169,365.112974
203.560983,319,368.016246
74.412825,222,370.388764
39.64433,228,372.894443
-4.117529,600,384.346392
13.462968,97,385.143232
105.714696,151,386.395272
11.582388,146,387.584074
77.518494,166,389.023857
9.60078,136,390.173141
211.090702,900,397.243177
263.221161,305,400.033374
69.41278,136,406.065091
293.323476,376,409.581548
105.444295,135,410.688793
779.082751,1001,419.525146
27.907829,188,421.404876
69.686805,122,422.56937
21.005071,185,424.281368
232.321283,255,426.561008
46.120055,79,427.29442
181.287428,205,433.446387
231.179018,265,436.342159
205.598411,207,438.574867
69.541645,102,439.75617
8.866152,191,441.487562
45.523844,84,442.221241
199.280991,208,443.919281
183.910614,200,445.596391
107.657454,129,446.626425
8.548997,37,446.980616
-25.730261,600,452.048525
14.350868,58,452.571365
79.783563,100,453.457625
-29.930994,600,460.124561
180.273109,207,462.096776
106.414096,136,463.528204
69.749121,101,464.66353
112.785418,141,466.250279
14.717063,61,466.95848
14.683162,54,467.552834
283.198159,264,470.474231
80.041045,101,471.666476
105.100661,116,472.821727
105.631631,127,473.991633
103.58234,123,475.138805
104.992737,134,476.445472
224.048601,226,478.410443
-16.081394,1,478.441923
46.836695,77,479.099109
15.13672,53,479.671138
73.764503,101,480.615724
105.875033,130,483.413827
107.549489,125,484.631383
13.855261,80,485.466383
79.447402,110,486.570533
258.532848,242,488.761416
-8.019752,1,488.792938
224.126363,229,490.724001
103.993142,116,491.670755
199.142806,196,493.304123
224.608128,225,495.157195
284.988899,263,497.899418
287.819299,280,500.924082
14.05918,42,501.394461
14.809549,48,501.897023
286.316955,247,504.613625
79.578295,105,505.746351
283.907059,249,509.094578
21.657313,55,509.571299
15.21149,40,509.899125
267.36023,252,512.025813
69.815371,94,512.888054
80.348844,98,513.869308
101.25339,129,515.096639
71.100623,90,515.990384
124.739532,153,517.386913
328.57115,306,520.284825
68.025717,87,521.132254
96.410089,117,522.22876
45.736116,75,522.951147
140.817275,168,524.564379
407.44529,353,527.879491
315.436543,296,530.845464
50.009467,77,531.701098
14.65597,56,535.026682
82.075744,100,536.158274
81.440717,109,537.360326
50.73746,70,538.113885
285.964155,236,540.216058
14.009328,68,540.775007
79.035477,67,541.335293
75.45148,89,542.06311
73.10373,94,542.876307
106.614555,136,544.031235
104.246932,105,544.894829
108.609928,127,545.995151
104.048154,118,546.98851
79.101111,101,547.923193
236.884792,249,550.032427
81.555133,108,551.019736
101.799206,122,552.027764
80.990727,107,552.957955
72.470938,81,553.633427
80.13786,92,554.362523
282.265097,274,556.516359
426.906765,376,562.790353
103.533214,112,564.065722
79.989457,98,565.228019
391.717625,338,568.886449
82.099015,96,569.959901
102.211423,105,570.91983
263.294241,250,573.170834
174.027433,211,575.030633
571.245147,516,579.926966
23.513757,50,580.391919
228.764541,242,582.671364
889.735887,560,590.559065
185.241727,204,592.127493
320.478159,281,594.717908
223.047883,257,597.488123
325.5079,321,600.956007
81.187228,97,602.021616
562.225494,353,604.984092
1073.378323,704,613.106018
47.07549,64,613.682076
711.524959,382,617.348558
57.300697,106,618.354405
711.530255,375,621.793196
72.917809,82,622.532844
239.243264,193,624.275388
-27.444991,600,630.470757
3.65729,27,630.778608
102.057122,109,632.009
563.454478,331,635.582763
284.471365,230,640.328338
-34.629791,313,642.99542
116.147941,109,643.890682
109.502545,112,644.869597
82.633961,99,645.687294
54.55693,104,646.60279
73.640966,86,647.306921
110.40569,110,648.252873
564.670664,306,650.751753
244.907993,198,652.294854
563.301231,315,654.815676
780.510606,635,663.271892
245.166831,203,665.470131
231.454185,227,667.647219
238.807835,197,669.230517
1073.85271,672,675.434285
893.558059,498,680.086763
286.310578,210,682.042059
116.702215,112,683.113302
35.506441,62,683.690698
323.995292,261,686.15308
564.135056,317,691.410594
35.204112,65,692.110941
342.786359,291,695.174029
238.475534,201,697.329403
110.370665,106,698.449896
713.212041,371,701.57952
82.186517,96,702.402367
241.315326,189,703.995254
895.712502,481,707.960287
266.384644,227,709.783794
325.205593,254,714.307664
236.495429,215,716.207527
286.049583,225,718.324591
283.631505,238,720.492981
101.96629,99,721.406827
407.839266,331,724.996322
24.111405,44,725.482067
238.537959,220,727.861811
1076.684308,625,733.781598
413.171762,312,736.426443
566.644395,287,742.236212
566.54008,294,744.618237
896.916612,448,748.140808
111.117218,124,749.143471
1079.863383,580,754.086025
387.947347,276,757.115475
217.90205,179,759.012348
56.106318,91,759.984566
3.326343,32,760.372367
-16.030516,1,760.407635
250.634629,229,762.680993
58.870904,86,766.68773
1079.883672,580,771.983421
3.650636,29,772.270633
46.533659,72,773.008286
682.115495,437,777.14476
1083.18451,570,782.387033
506.075254,254,784.672692
