#{"t_start": 1775582685.0984092, "env_id": "None"}
r,l,t
-109.867934,944,18.508337
-106.907351,286,23.088763
-49.329495,329,28.564686
-212.386353,422,43.211487
-93.02318,363,49.417561
-261.618418,859,63.808138
-114.853538,1178,90.737906
-207.520533,491,99.512142
-115.767027,426,117.177199
-159.67859,749,129.43423
-139.718907,1044,154.683882
-116.109762,1500,186.056387
-30.778583,1,186.121981
-124.253766,1500,219.363661
-176.859809,420,227.414322
-90.39479,362,233.210515
-60.631343,900,256.953208
-149.38236,320,262.01039
-86.578318,886,276.711488
-70.923844,900,301.84286
-103.658029,446,308.725959
-71.810537,900,331.605276
-55.470063,1500,370.560534
-95.470721,1500,395.101608
-64.798152,1500,429.287806
-30.707825,1,429.340904
-137.176441,886,449.927539
-23.935258,900,465.277094
-8.124429,900,492.930102
-36.843926,1200,525.507463
13.206563,1257,546.113058
-100.768861,900,568.882312
63.223171,1500,608.253744
76.257362,1215,639.168198
-9.300117,600,649.6835
-30.192165,1,649.743202
-20.889816,635,660.927093
23.619982,343,677.422074
-29.87351,306,682.678757
-30.739101,1,682.735351
-27.922653,600,693.315591
-30.06497,546,702.701029
-27.306551,600,725.562366
98.959148,464,733.260097
-83.51962,128,735.50398
-12.017927,600,746.104735
53.1742,1359,778.823298
127.140638,900,806.024291
-30.230543,1,806.078424
-81.289546,1500,839.53122
-26.633046,900,853.584935
115.356778,1200,882.557009
103.289359,909,910.4068
167.418673,600,919.58269
27.203154,600,929.891199
161.845777,557,945.959705
796.235847,967,962.691011
145.357355,900,984.258178
195.286286,900,1001.028193
47.230313,678,1026.924337
7.423348,600,1036.151592
207.076259,358,1041.559446
501.589382,463,1062.294154
-42.539497,204,1066.178961
-84.927188,600,1076.751468
315.732393,547,1086.741582
588.805027,723,1109.058687
215.966309,336,1114.89948
-30.723524,1,1114.960565
86.734743,504,1123.670683
518.211089,1200,1151.980378
380.100165,318,1157.264015
407.720348,470,1164.268608
17.625791,202,1175.433564
463.069241,632,1187.181061
115.83765,277,1191.490645
272.441502,354,1197.689324
282.633105,364,1212.243622
634.653268,760,1225.30202
442.721976,603,1234.568397
158.470998,257,1247.373713
576.48241,389,1254.046969
344.226589,453,1262.049886
188.875096,500,1270.570133
203.958579,253,1282.376559
177.258049,274,1287.033357
-30.738682,1,1287.095974
51.646437,201,1290.53814
-33.653017,171,1293.359002
766.272956,469,1301.548692
418.313158,531,1311.695672
145.14928,302,1327.626291
589.956319,385,1333.864031
217.608076,303,1339.637162
285.140106,326,1345.703667
381.990763,270,1350.063976
946.966088,764,1371.367787
202.147447,269,1376.755076
150.140254,205,1380.429767
906.985597,730,1401.034003
272.787954,281,1406.510142
97.597994,335,1412.269434
-214.032282,156,1414.700653
477.470857,459,1423.076341
328.520164,326,1437.971602
216.487854,239,1442.092164
129.889642,191,1445.593234
337.713171,341,1451.886782
467.476497,297,1456.639622
479.394337,289,1461.157088
-30.205971,1,1461.215673
332.230294,409,1476.451874
286.241043,296,1481.7094
194.786257,237,1486.059198
-30.230844,1,1486.12031
-30.749972,1,1486.176408
658.610168,343,1492.125122
604.646494,407,1500.423055
837.939306,397,1516.500884
608.189603,327,1521.279763
410.72916,239,1525.349335
-141.265518,156,1528.251267
212.532061,294,1533.494083
809.204974,425,1540.822453
101.812029,262,1551.695909
344.667808,326,1557.788996
-30.690516,1,1557.851083
244.139881,274,1563.226984
192.989713,382,1569.319962
-54.585421,600,1584.880477
93.630199,185,1588.453932
669.151608,436,1596.436738
216.761284,331,1602.27983
816.149988,451,1610.549802
402.525302,358,1625.849147
-30.744278,1,1625.907706
593.681096,399,1632.640856
1031.608422,596,1642.165081
390.383925,321,1647.342143
-42.213597,157,1656.569826
410.287874,219,1660.225012
510.063907,443,1668.159307
-30.259636,1,1668.216403
1053.972732,544,1677.515434
818.473758,441,1693.823787
-52.669854,161,1696.590471
493.449124,253,1700.818097
376.38457,314,1705.83209
406.846858,429,1713.579863
300.92509,292,1719.302912
1015.166018,505,1736.290567
-86.516975,459,1744.312389
9.466846,96,1746.05606
353.062055,319,1751.425507
-58.08939,163,1754.19627
496.36532,238,1758.236584
-151.329829,161,1767.300394
1063.975741,534,1776.95757
157.677182,202,1780.66123
464.363592,211,1784.276063
710.064363,400,1791.544528
523.193477,243,1802.287712
435.96404,223,1806.582348
-53.328303,92,1808.462639
-75.277165,105,1810.524334
348.358467,309,1815.657542
463.082636,214,1819.223833
989.094978,498,1827.941088
684.556701,340,1839.497946
417.265108,357,1845.983891
1063.505408,489,1854.25222
450.9941,208,1857.417823
699.294953,331,1862.494271
687.513804,312,1874.384158
437.050528,219,1877.916782
844.523096,439,1885.388428
488.172379,352,1891.851745
757.8097,389,1898.485217
688.169816,310,1910.918011
826.787857,390,1917.194995
507.335637,243,1921.728517
1044.187777,501,1929.694673
608.049486,362,1941.914894
643.542795,300,1946.895961
757.476714,400,1954.173008
620.52774,309,1959.299584
839.171127,397,1966.519319
-30.76772,1,1966.576443
480.980623,251,1977.342633
423.108788,214,1980.867556
509.176624,225,1984.572804
839.446102,410,1990.878021
621.08435,343,1997.299639
1029.396755,504,2013.812113
515.176628,375,2020.765771
495.441243,385,2026.730288
-30.195841,1,2026.787396
298.816839,280,2032.186317
1065.036765,514,2041.032698
851.622668,420,2053.860168
832.25594,429,2061.422643
743.428403,394,2069.140356
1065.170807,501,2082.433507
684.918214,345,2087.794605
1066.262453,483,2096.257382
535.077445,241,2100.564221
-30.772799,1,2100.617797
276.170899,277,2105.123727
193.300389,255,2109.598189
346.408793,359,2122.349102
687.257856,308,2128.249521
-30.226089,1,2128.305596
276.890209,314,2134.065194
619.309452,379,2140.290257
553.984559,435,2152.56795
333.468137,335,2158.571175
1066.501084,479,2166.794573
449.915422,202,2170.436461
818.293003,417,2177.782429
853.10288,382,2192.096869
827.459941,376,2198.688645
294.846023,290,2203.730659
852.643802,375,2209.774883
320.597365,308,2214.867707
853.402617,382,2228.471227
377.702671,316,2233.957784
-30.224066,1,2234.016883
609.170666,346,2240.484175
495.877957,229,2244.288367
521.148124,238,2248.123092
-30.74292,1,2248.17666
385.204588,331,2259.549393
-30.743786,1,2259.607619
833.381194,406,2266.366004
811.292494,379,2272.993802
-48.442557,87,2274.519623
1042.715752,490,2283.100664
-30.711849,1,2283.159776
684.949322,348,2295.720853
229.53362,257,2300.528638
451.021705,202,2304.150641
811.106371,375,2310.34633
-30.722546,1,2310.399414
209.928272,233,2313.944905
709.738559,351,2320.565822
840.236837,385,2334.074646
-30.725193,1,2334.135766
522.749027,233,2338.669384
489.505121,205,2342.112288
248.303335,260,2346.987888
685.138093,354,2354.043711
799.704523,370,2365.488261
687.767884,307,2370.559576
506.387388,370,2376.420208
-30.767136,1,2376.474964
-25.931901,92,2378.323936
546.016849,389,2385.764863
477.485159,205,2389.060792
-30.641177,81,2390.396952
1070.532768,496,2405.520186
517.284004,393,2412.923582
-30.714558,1,2412.982667
738.441582,338,2419.012373
810.488864,373,2424.995966
523.529128,401,2436.377253
270.383752,285,2441.099282
-30.716631,1,2441.15936
463.609839,203,2445.328351
1066.189094,490,2453.264766
772.757804,368,2460.026869
-92.039235,409,2472.900815
725.195523,337,2479.382709
492.679634,395,2485.805355
548.585434,234,2489.554148
1070.773796,477,2503.827585
609.677942,325,2510.478795
-52.325567,128,2512.929086
610.38135,330,2518.403799
711.460131,340,2524.705585
725.741348,346,2530.718781
606.333402,336,2542.68693
1031.867113,482,2550.50703
361.946529,330,2555.745345
682.974242,300,2561.076974
